date,operatingCashFlow,symbol,enterpriseValueMultiple,debtEquityRatio,operatingCashFlow_3y_percentile,enterpriseValueMultiple_3y_percentile,debtEquityRatio_3y_percentile,operatingCashFlow_ticker_decile,enterpriseValueMultiple_ticker_decile,debtEquityRatio_ticker_decile,sector,operatingCashFlow_sector_decile,enterpriseValueMultiple_sector_decile,debtEquityRatio_sector_decile,SP500,NQ,SP500_decile,NQ_decile,Total_Returns,operatingCashFlow_custom,enterpriseValueMultiple_custom,debtEquityRatio_custom,Total_Returns_custom,grades
2019-04-30,252000000.0,A,85.1649,0.7604,3,3,4,5.0,3.0,8.0,Healthcare,4.0,3.0,6.0,True,False,7.0,,,3.0,4.0,2.0,,
2019-07-31,242000000.0,A,73.5218,0.8169,4,4,4,5.0,4.0,7.0,Healthcare,4.0,4.0,6.0,True,False,7.0,,,3.0,4.0,2.0,,
2019-10-31,314000000.0,A,74.487,0.9907,2,4,2,4.0,4.0,7.0,Healthcare,4.0,4.0,5.0,True,False,6.0,,0.0913413052874226,4.0,4.0,2.0,4.0,4
2020-01-31,-59000000.0,A,84.3698,0.9598,4,4,3,10.0,3.0,7.0,Healthcare,10.0,3.0,5.0,True,False,10.0,,0.0899009900990099,1.0,4.0,2.0,4.0,2
2020-04-30,313000000.0,A,114.5251,0.983,2,1,3,4.0,2.0,7.0,Healthcare,4.0,2.0,5.0,True,False,6.0,,-0.0714631782945737,4.0,5.0,2.0,2.0,3
2020-07-31,290000000.0,A,97.5586,0.9165,2,2,4,5.0,2.0,7.0,Healthcare,4.0,3.0,6.0,True,False,7.0,,0.2565875293503783,3.0,5.0,2.0,5.0,4
2020-10-31,377000000.0,A,85.613,0.9756,1,3,3,4.0,3.0,7.0,Healthcare,4.0,3.0,5.0,True,False,6.0,,0.0597944565555902,4.0,4.0,2.0,3.0,3
2021-01-31,238000000.0,A,93.7199,1.0137,4,2,1,5.0,3.0,7.0,Healthcare,4.0,3.0,5.0,True,False,7.0,,0.1835635223822117,3.0,4.0,2.0,4.0,3
2021-04-30,472000000.0,A,113.9961,1.1617,1,1,1,4.0,2.0,6.0,Healthcare,3.0,2.0,5.0,True,False,5.0,,0.1060167177025572,4.0,5.0,3.0,4.0,5
2021-07-31,334000000.0,A,110.784,1.1211,1,1,1,4.0,2.0,6.0,Healthcare,4.0,2.0,5.0,True,False,6.0,,0.1465878479497157,4.0,5.0,3.0,4.0,5
2021-10-31,441000000.0,A,88.3077,0.9865,1,2,2,4.0,3.0,7.0,Healthcare,3.0,3.0,5.0,True,False,5.0,,0.0249951053971155,4.0,4.0,2.0,3.0,3
2022-01-31,255000000.0,A,103.2046,1.0037,3,1,2,5.0,2.0,7.0,Healthcare,4.0,3.0,5.0,True,False,7.0,,-0.1129504647905259,3.0,5.0,2.0,1.0,2
2022-04-30,283000000.0,A,85.7356,1.0412,3,3,1,5.0,3.0,7.0,Healthcare,4.0,3.0,5.0,True,False,7.0,,-0.1439132931380993,3.0,4.0,2.0,1.0,1
2019-03-31,168000000.0,AA,40.8214,1.7206,2,1,4,6.0,7.0,5.0,Basic Materials,7.0,6.0,5.0,False,False,,,,3.0,2.0,3.0,,
2019-06-30,82000000.0,AA,-63.7005,1.7344,3,4,4,7.0,10.0,5.0,Basic Materials,8.0,10.0,5.0,False,False,,,,2.0,1.0,3.0,,
2019-09-30,174000000.0,AA,53.2877,1.8198,2,1,4,6.0,5.0,4.0,Basic Materials,7.0,4.0,4.0,False,False,,,-0.1243455497382199,3.0,3.0,4.0,1.0,2
2019-12-31,262000000.0,AA,-143.3279,2.1267,1,4,2,5.0,10.0,4.0,Basic Materials,6.0,10.0,3.0,False,False,,,0.0717488789237668,3.0,1.0,4.0,3.0,2
2020-03-31,-90000000.0,AA,5.8812,1.8339,4,4,3,10.0,9.0,4.0,Basic Materials,10.0,10.0,4.0,False,False,,,-0.7136215713621572,1.0,1.0,4.0,1.0,1
2020-06-30,288000000.0,AA,91.4287,2.1528,1,1,2,5.0,3.0,4.0,Basic Materials,6.0,2.0,3.0,False,False,,,0.8246753246753247,3.0,4.0,4.0,5.0,5
2020-09-30,158000000.0,AA,15.2117,2.719,2,2,1,6.0,9.0,3.0,Basic Materials,7.0,9.0,2.0,False,False,,,0.0346975088967972,3.0,1.0,4.0,3.0,2
2020-12-31,38000000.0,AA,22.8212,2.9731,3,1,1,8.0,8.0,3.0,Basic Materials,9.0,8.0,2.0,False,False,,,0.9819432502149612,2.0,2.0,4.0,5.0,3
2021-03-31,6000000.0,AA,13.1412,3.0967,4,3,1,9.0,9.0,3.0,Basic Materials,9.0,9.0,2.0,False,False,,,0.4095444685466378,1.0,1.0,4.0,5.0,2
2021-06-30,-86000000.0,AA,11.4865,2.3932,4,3,1,10.0,9.0,3.0,Basic Materials,10.0,9.0,3.0,False,False,,,0.1338873499538319,1.0,1.0,4.0,4.0,1
2021-09-30,435000000.0,AA,13.8967,2.2527,1,3,2,4.0,9.0,4.0,Basic Materials,4.0,9.0,3.0,False,False,,,0.3284473398479911,4.0,1.0,4.0,5.0,4
2021-12-31,565000000.0,AA,18.3526,1.8875,1,2,3,3.0,9.0,4.0,Basic Materials,4.0,9.0,4.0,False,False,,,0.2174090723334695,4.0,1.0,4.0,5.0,4
2022-03-31,34000000.0,AA,19.3744,2.1251,3,2,3,8.0,9.0,4.0,Basic Materials,9.0,9.0,3.0,False,False,,,0.5110775427995973,2.0,1.0,4.0,5.0,2
2019-03-31,1651000000.0,AAL,92.4954,-96.577,1,1,4,2.0,3.0,10.0,Industrials,1.0,2.0,10.0,True,False,2.0,,,5.0,4.0,1.0,,
2019-06-30,736000000.0,AAL,42.4035,-2817.6818,2,2,4,3.0,7.0,10.0,Industrials,2.0,8.0,10.0,True,False,4.0,,,4.0,2.0,1.0,,
2019-09-30,828000000.0,AAL,54.752,381.3438,1,1,1,3.0,5.0,1.0,Industrials,2.0,6.0,1.0,True,False,4.0,,-0.1797445255474453,4.0,3.0,5.0,1.0,3
2019-12-31,600000000.0,AAL,54.5786,-509.4322,2,2,4,3.0,5.0,10.0,Industrials,2.0,6.0,10.0,True,False,4.0,,0.0634037819799777,4.0,3.0,1.0,3.0,2
2020-03-31,-168000000.0,AAL,-14.7317,-23.2231,3,2,3,10.0,9.0,10.0,Industrials,10.0,10.0,10.0,True,False,10.0,,-0.5749651324965134,1.0,1.0,1.0,1.0,1
2020-06-30,-908000000.0,AAL,-18.7906,-21.3673,3,3,3,10.0,9.0,10.0,Industrials,10.0,10.0,10.0,True,False,10.0,,0.0721903199343725,1.0,1.0,1.0,3.0,1
2020-09-30,-2604000000.0,AAL,-17.1355,-12.3555,4,3,3,10.0,9.0,10.0,Industrials,10.0,10.0,10.0,True,False,10.0,,-0.0596786534047437,1.0,1.0,1.0,2.0,1
2020-12-31,-2863000000.0,AAL,-20.467,-10.0299,4,3,1,10.0,9.0,10.0,Industrials,10.0,10.0,10.0,True,False,10.0,,0.2831570382424736,1.0,1.0,1.0,5.0,1
2021-03-31,174000000.0,AAL,-52.3412,-9.6405,2,4,1,6.0,9.0,10.0,Industrials,5.0,10.0,10.0,True,False,8.0,,0.5155358275206087,3.0,1.0,1.0,5.0,1
2021-06-30,3470000000.0,AAL,124.5128,-10.4514,1,1,2,1.0,2.0,10.0,Industrials,1.0,1.0,10.0,True,False,1.0,,-0.11255230125523,5.0,5.0,1.0,1.0,2
2021-09-30,-1740000000.0,AAL,87.4935,-10.2022,4,1,2,10.0,3.0,10.0,Industrials,10.0,2.0,10.0,True,False,10.0,,-0.0325318246110325,1.0,4.0,1.0,2.0,1
2021-12-31,-1200000000.0,AAL,-79.607,-10.0554,3,4,2,10.0,10.0,10.0,Industrials,10.0,10.0,10.0,True,False,10.0,,-0.124756335282651,1.0,1.0,1.0,1.0,1
2022-03-31,1185000000.0,AAL,-35.3293,-8.5393,1,4,1,2.0,9.0,10.0,Industrials,1.0,10.0,10.0,True,False,3.0,,0.0161469933184854,5.0,1.0,1.0,3.0,1
2019-03-31,14913000.0,AAON,118.056,0.2319,3,1,4,8.0,2.0,10.0,Industrials,8.0,1.0,9.0,False,False,,,,2.0,5.0,1.0,,
2019-06-30,20959000.0,AAON,114.1732,0.2936,3,2,2,8.0,2.0,9.0,Industrials,8.0,1.0,9.0,False,False,,,,2.0,5.0,1.0,,
2019-09-30,34711000.0,AAON,116.798,0.2596,1,2,4,8.0,2.0,9.0,Industrials,8.0,1.0,9.0,False,False,,,-0.0762115423285742,2.0,5.0,1.0,2.0,1
2019-12-31,27342000.0,AAON,95.9171,0.2802,2,4,3,8.0,2.0,9.0,Industrials,8.0,2.0,9.0,False,False,,,0.0755333043099695,2.0,5.0,1.0,3.0,2
2020-03-31,37597000.0,AAON,73.3184,0.2915,1,4,2,8.0,4.0,9.0,Industrials,7.0,3.0,9.0,False,False,,,-0.0220603116777979,2.0,4.0,1.0,2.0,1
2020-06-30,25165000.0,AAON,96.8199,0.3319,3,3,1,8.0,2.0,9.0,Industrials,8.0,2.0,9.0,False,False,,,0.1235513245033112,2.0,5.0,1.0,4.0,2
2020-09-30,34233000.0,AAON,93.8816,0.2755,1,4,4,8.0,3.0,9.0,Industrials,8.0,2.0,9.0,False,False,,,0.1097808067784122,2.0,4.0,1.0,4.0,2
2020-12-31,31819000.0,AAON,104.9544,0.2797,2,2,3,8.0,2.0,9.0,Industrials,8.0,2.0,9.0,False,False,,,0.1058921161825725,2.0,5.0,1.0,4.0,2
2021-03-31,28838000.0,AAON,137.7186,0.2958,2,1,2,8.0,2.0,9.0,Industrials,8.0,1.0,9.0,False,False,,,0.05072790034519,2.0,5.0,1.0,3.0,2
2021-06-30,34074000.0,AAON,96.7246,0.3139,1,3,1,8.0,2.0,9.0,Industrials,8.0,2.0,9.0,False,False,,,-0.1059848593058134,2.0,5.0,1.0,2.0,1
2021-09-30,11791000.0,AAON,119.8643,0.2901,4,1,3,8.0,2.0,9.0,Industrials,8.0,1.0,9.0,False,False,,,0.0439367311072056,2.0,5.0,1.0,3.0,2
2021-12-31,-13520000.0,AAON,317.694,0.3947,4,1,1,9.0,1.0,9.0,Industrials,9.0,1.0,9.0,False,False,,,0.2156412610958065,1.0,5.0,1.0,5.0,2
2022-03-31,-6803000.0,AAON,100.9769,0.4942,4,3,1,9.0,2.0,9.0,Industrials,9.0,2.0,9.0,False,False,,,-0.2983759284904949,1.0,5.0,1.0,1.0,1
2019-04-20,204542000.0,AAP,45.0637,2.124,3,4,4,5.0,6.0,4.0,Consumer Cyclical,5.0,6.0,4.0,True,False,8.0,,,3.0,3.0,4.0,,
2019-07-13,287619000.0,AAP,51.8036,2.0692,2,2,4,5.0,6.0,4.0,Consumer Cyclical,5.0,5.0,5.0,True,False,7.0,,,3.0,3.0,4.0,,
2019-10-05,216385000.0,AAP,50.69,2.2148,2,3,3,5.0,6.0,4.0,Consumer Cyclical,5.0,5.0,4.0,True,False,7.0,,0.0085761130029006,3.0,3.0,4.0,3.0,3
2019-12-28,158363000.0,AAP,60.5112,2.1694,4,1,4,6.0,5.0,4.0,Consumer Cyclical,6.0,4.0,4.0,True,False,8.0,,-0.0099412279604852,3.0,3.0,4.0,2.0,2
2020-04-18,10908000.0,AAP,57.5049,2.4132,4,1,2,8.0,5.0,3.0,Consumer Cyclical,8.0,4.0,4.0,True,False,10.0,,-0.2493842753394379,2.0,3.0,4.0,1.0,1
2020-07-11,437302000.0,AAP,29.1123,2.2016,1,4,3,4.0,8.0,4.0,Consumer Cyclical,4.0,8.0,4.0,True,False,5.0,,0.1311627124347971,4.0,2.0,4.0,4.0,4
2020-10-03,361008000.0,AAP,40.006,2.182,1,4,3,4.0,7.0,4.0,Consumer Cyclical,4.0,7.0,4.0,True,False,6.0,,0.1565637783562663,4.0,2.0,4.0,4.0,4
2021-01-02,160470000.0,AAP,52.2715,2.3262,3,2,2,6.0,6.0,3.0,Consumer Cyclical,6.0,5.0,4.0,True,False,8.0,,,3.0,3.0,4.0,,
2021-04-24,329932000.0,AAP,45.8087,2.3895,2,3,2,4.0,6.0,3.0,Consumer Cyclical,4.0,6.0,4.0,True,False,6.0,,,4.0,3.0,4.0,,
2021-07-17,446227000.0,AAP,51.4365,2.5858,1,3,1,4.0,6.0,3.0,Consumer Cyclical,4.0,5.0,4.0,True,False,5.0,,0.0305381727158948,4.0,3.0,4.0,3.0,4
2021-10-09,148777000.0,AAP,55.2411,2.7116,4,2,1,6.0,5.0,3.0,Consumer Cyclical,6.0,5.0,4.0,True,False,8.0,,0.040320621811999,3.0,3.0,4.0,3.0,3
