ticker,added,sold,qty
EPD,2020-01-15,,350.0
CWH,2020-08-12,,310.0
ACCO,2020-11-18,,1290.0
BKH,2020-12-09,,170.0
FRME,2021-02-03,,250.0
True,2021-03-10,,1900.0
HSIC,2021-03-17,,150.0
SMTC,2021-03-31,,150.0
SPB,2021-04-07,,110.0
OVV,2021-04-14,,420.0
DOW,2021-04-28,,160.0
F,2021-05-05,,870.0
MCHP,2021-05-12,,70.0
SNV,2021-05-19,,210.0
MTDR,2021-05-26,,340.0
CTVA,2021-06-02,,220.0
FRG,2021-06-09,,270.0
CAT,2021-06-16,,50.0
TJX,2021-06-23,,150.0
DAR,2021-06-30,,150.0
USFD,2021-07-07,,270.0
AVAV,2021-07-14,,100.0
JEF,2021-07-21,,300.0
AMKR,2021-07-28,,420.0
CPRI,2021-08-04,,170.0
