Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,48.22,48.74,48.04,48.47,47.58,58676400.00
2019-06-18 00:00:00,49.01,50.07,48.80,49.61,48.70,106204000.00
2019-06-19 00:00:00,49.92,49.97,49.33,49.47,48.56,84496800.00
2019-06-20 00:00:00,50.09,50.15,49.51,49.87,48.95,86056000.00
2019-06-21 00:00:00,49.70,50.21,49.54,49.69,48.78,191202400.00
2019-06-24 00:00:00,49.63,50.04,49.54,49.65,48.73,72881600.00
2019-06-25 00:00:00,49.61,49.81,48.82,48.89,47.99,84281200.00
2019-06-26 00:00:00,49.44,50.25,49.34,49.95,49.03,104270000.00
2019-06-27 00:00:00,50.07,50.39,49.89,49.94,49.02,83598800.00
2019-06-28 00:00:00,49.67,49.88,49.26,49.48,48.57,124442400.00
2019-07-01 00:00:00,50.79,51.12,50.16,50.39,49.46,109012000.00
2019-07-02 00:00:00,50.35,50.78,50.34,50.68,49.75,67740800.00
2019-07-03 00:00:00,50.82,51.11,50.67,51.10,50.16,45448000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,50.84,51.27,50.72,51.06,50.12,69062000.00
2019-07-08 00:00:00,50.20,50.35,49.60,50.01,49.08,101354400.00
2019-07-09 00:00:00,49.80,50.38,49.70,50.31,49.38,82312000.00
2019-07-10 00:00:00,50.46,50.93,50.39,50.81,49.87,71588400.00
2019-07-11 00:00:00,50.83,51.10,50.43,50.44,49.51,80767200.00
2019-07-12 00:00:00,50.61,51.00,50.55,50.83,49.89,70380800.00
2019-07-15 00:00:00,51.02,51.47,51.00,51.30,50.36,67789600.00
2019-07-16 00:00:00,51.15,51.53,50.88,51.12,50.18,67467200.00
2019-07-17 00:00:00,51.01,51.27,50.82,50.84,49.90,56430000.00
2019-07-18 00:00:00,51.00,51.47,50.92,51.42,50.47,74162400.00
2019-07-19 00:00:00,51.45,51.62,50.59,50.65,49.72,83717200.00
2019-07-22 00:00:00,50.91,51.81,50.90,51.81,50.85,89111600.00
2019-07-23 00:00:00,52.12,52.23,51.82,52.21,51.25,73420800.00
2019-07-24 00:00:00,51.92,52.29,51.79,52.17,51.21,59966400.00
2019-07-25 00:00:00,52.22,52.31,51.68,51.76,50.80,55638400.00
2019-07-26 00:00:00,51.87,52.43,51.78,51.94,50.98,70475600.00
2019-07-29 00:00:00,52.12,52.66,52.11,52.42,51.46,86693600.00
2019-07-30 00:00:00,52.19,52.54,51.83,52.19,51.23,135742800.00
2019-07-31 00:00:00,54.10,55.34,52.83,53.26,52.28,277125600.00
2019-08-01 00:00:00,53.47,54.51,51.69,52.11,51.15,216071600.00
