Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,86.70,86.99,84.84,85.05,81.03,1003800.00
2019-06-17 00:00:00,85.46,85.61,84.39,85.34,81.30,1058800.00
2019-06-18 00:00:00,85.94,87.10,85.14,85.45,81.41,915500.00
2019-06-19 00:00:00,85.74,86.79,85.53,86.06,81.99,1377300.00
2019-06-20 00:00:00,86.97,86.97,84.36,85.56,81.51,1880400.00
2019-06-21 00:00:00,85.38,85.49,84.25,84.46,80.47,2403100.00
2019-06-24 00:00:00,84.60,85.14,82.89,83.52,79.57,2042900.00
2019-06-25 00:00:00,83.87,85.15,83.12,84.28,80.29,1699400.00
2019-06-26 00:00:00,84.35,84.84,83.25,83.78,79.82,1067600.00
2019-06-27 00:00:00,84.39,86.53,83.90,85.63,81.58,1137500.00
2019-06-28 00:00:00,85.83,86.26,85.06,85.26,81.23,1565400.00
2019-07-01 00:00:00,85.78,85.91,84.65,85.59,81.54,1193700.00
2019-07-02 00:00:00,85.59,86.05,84.52,85.46,81.42,1043700.00
2019-07-03 00:00:00,86.11,88.78,86.08,87.59,83.45,1066500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,87.40,88.86,86.58,87.97,83.81,710400.00
2019-07-08 00:00:00,87.62,88.06,86.54,87.83,83.68,968700.00
2019-07-09 00:00:00,87.42,88.75,87.17,88.23,84.06,1121500.00
2019-07-10 00:00:00,88.83,89.77,88.10,89.30,85.08,1542400.00
2019-07-11 00:00:00,91.76,94.20,89.79,90.53,86.25,2191200.00
2019-07-12 00:00:00,90.40,91.30,88.87,89.85,85.60,1495000.00
2019-07-15 00:00:00,90.01,90.40,88.96,89.93,85.68,810000.00
2019-07-16 00:00:00,89.87,89.90,88.76,89.00,84.79,942800.00
2019-07-17 00:00:00,88.39,88.52,84.62,85.46,81.42,2198400.00
2019-07-18 00:00:00,85.48,87.00,84.55,86.76,82.66,1189500.00
2019-07-19 00:00:00,86.64,86.64,85.09,85.52,81.48,928300.00
2019-07-22 00:00:00,85.85,86.18,84.93,85.05,81.03,840300.00
2019-07-23 00:00:00,85.27,86.16,84.77,85.81,81.75,812500.00
2019-07-24 00:00:00,86.01,87.04,85.60,86.89,82.78,757400.00
2019-07-25 00:00:00,87.23,87.62,85.54,85.93,81.87,595900.00
2019-07-26 00:00:00,86.26,86.69,85.59,86.12,82.05,723400.00
2019-07-29 00:00:00,86.11,87.26,86.10,87.23,83.10,803000.00
2019-07-30 00:00:00,86.50,89.01,85.48,88.72,84.52,1414300.00
2019-07-31 00:00:00,88.72,88.73,85.53,87.15,83.03,1503100.00
2019-08-01 00:00:00,90.88,94.75,90.58,91.70,87.36,3230300.00
2019-08-02 00:00:00,91.95,92.89,88.70,90.44,86.16,1252700.00
2019-08-05 00:00:00,89.58,90.86,87.82,88.70,84.51,1392200.00
2019-08-06 00:00:00,89.30,90.99,82.65,84.11,80.13,4485000.00
2019-08-07 00:00:00,83.78,86.04,81.80,85.85,81.79,1998900.00
2019-08-08 00:00:00,85.80,88.39,85.48,87.89,83.73,1446000.00
2019-08-09 00:00:00,87.94,88.17,86.54,87.45,83.31,898800.00
2019-08-12 00:00:00,87.37,87.87,86.55,87.38,83.25,906700.00
2019-08-13 00:00:00,87.61,89.96,86.95,89.26,85.04,1411500.00
2019-08-14 00:00:00,88.48,88.48,86.14,86.34,82.26,1368800.00
2019-08-15 00:00:00,86.43,86.88,85.34,85.97,81.90,1098500.00
2019-08-16 00:00:00,86.15,87.90,85.34,87.34,83.60,811800.00
2019-08-19 00:00:00,88.21,88.97,87.63,87.75,83.99,904000.00
2019-08-20 00:00:00,88.04,88.61,86.22,86.30,82.60,1017800.00
2019-08-21 00:00:00,86.44,87.58,86.23,86.32,82.62,1033200.00
2019-08-22 00:00:00,86.56,87.12,85.33,85.55,81.89,1008300.00
2019-08-23 00:00:00,85.46,86.40,83.10,83.54,79.96,1177000.00
2019-08-26 00:00:00,84.41,85.92,84.10,85.90,82.22,1183900.00
2019-08-27 00:00:00,85.94,86.59,81.20,81.28,77.80,1848300.00
2019-08-28 00:00:00,81.03,82.03,80.41,81.01,77.54,1918000.00
2019-08-29 00:00:00,81.83,82.77,81.13,81.91,78.40,1179400.00
2019-08-30 00:00:00,82.30,82.49,81.61,82.27,78.75,1091700.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,81.87,84.50,81.56,84.04,80.44,1613400.00
2019-09-04 00:00:00,84.36,85.45,84.34,85.18,81.53,848400.00
2019-09-05 00:00:00,86.29,87.17,85.79,86.04,82.35,935200.00
2019-09-06 00:00:00,86.12,86.61,85.56,86.32,82.62,963900.00
2019-09-09 00:00:00,86.31,87.57,86.16,87.13,83.40,1231500.00
2019-09-10 00:00:00,86.46,86.82,84.23,85.88,82.20,1895200.00
2019-09-11 00:00:00,86.05,88.46,85.33,87.79,84.03,1026100.00
2019-09-12 00:00:00,87.88,88.23,84.52,84.64,81.01,1118900.00
2019-09-13 00:00:00,85.19,86.33,82.95,83.42,79.85,1262200.00
2019-09-16 00:00:00,82.68,83.89,82.37,83.79,80.20,1120900.00
2019-09-17 00:00:00,84.17,84.56,83.15,83.18,79.62,1049900.00
2019-09-18 00:00:00,83.28,83.28,81.91,83.00,79.44,1392700.00
2019-09-19 00:00:00,83.25,85.20,82.85,84.63,81.00,1315100.00
2019-09-20 00:00:00,84.95,86.46,84.76,85.12,81.47,2180200.00
2019-09-23 00:00:00,84.87,85.26,83.29,83.85,80.26,920100.00
2019-09-24 00:00:00,84.23,85.13,82.52,82.70,79.16,910300.00
2019-09-25 00:00:00,82.17,84.07,82.17,83.23,79.66,881900.00
2019-09-26 00:00:00,83.43,83.87,80.86,82.00,78.49,943300.00
2019-09-27 00:00:00,82.33,82.36,80.43,80.94,77.47,1400300.00
2019-09-30 00:00:00,81.00,83.41,81.00,82.33,78.80,1141900.00
2019-10-01 00:00:00,82.48,84.21,82.07,82.12,78.60,1298200.00
2019-10-02 00:00:00,81.32,81.78,80.45,80.98,77.51,1366400.00
2019-10-03 00:00:00,80.81,81.57,79.75,81.34,77.86,760500.00
2019-10-04 00:00:00,81.30,81.88,80.27,81.85,78.34,767300.00
2019-10-07 00:00:00,81.39,82.69,80.74,81.86,78.35,1212300.00
2019-10-08 00:00:00,81.26,81.87,80.13,80.17,76.74,1345000.00
2019-10-09 00:00:00,80.83,81.18,80.29,80.37,76.93,657500.00
2019-10-10 00:00:00,80.55,81.57,79.84,80.82,77.36,741800.00
2019-10-11 00:00:00,81.80,83.15,81.16,81.96,78.45,958100.00
2019-10-14 00:00:00,81.79,82.15,81.38,81.58,78.09,506000.00
2019-10-15 00:00:00,82.21,83.61,81.86,83.20,79.64,777800.00
2019-10-16 00:00:00,84.11,88.69,84.02,86.05,82.36,2691700.00
2019-10-17 00:00:00,86.11,89.83,86.11,89.50,85.67,3243000.00
2019-10-18 00:00:00,89.51,90.00,88.34,89.64,85.80,1550400.00
2019-10-21 00:00:00,88.20,89.00,84.37,86.66,82.95,2337600.00
2019-10-22 00:00:00,86.81,87.11,85.59,86.06,82.37,847100.00
2019-10-23 00:00:00,85.73,86.03,84.81,85.65,81.98,778800.00
2019-10-24 00:00:00,85.96,86.29,84.84,85.98,82.30,732800.00
2019-10-25 00:00:00,85.91,87.22,85.31,86.80,83.08,416400.00
2019-10-28 00:00:00,87.20,88.20,86.80,87.39,83.65,450400.00
2019-10-29 00:00:00,87.42,88.88,87.13,88.87,85.06,927500.00
2019-10-30 00:00:00,88.00,88.00,84.83,85.85,82.17,1382200.00
2019-10-31 00:00:00,85.45,85.77,84.52,85.38,81.72,957100.00
2019-11-01 00:00:00,85.92,87.42,85.54,86.87,83.15,1232000.00
2019-11-04 00:00:00,87.20,87.73,85.46,87.50,83.75,883300.00
2019-11-05 00:00:00,87.90,88.78,83.80,86.13,82.44,2029600.00
2019-11-06 00:00:00,86.64,86.95,84.58,84.71,81.08,1454000.00
2019-11-07 00:00:00,86.34,87.77,83.86,84.08,80.48,1941700.00
2019-11-08 00:00:00,83.63,86.15,83.06,86.07,82.38,983700.00
2019-11-11 00:00:00,84.84,85.10,82.10,84.04,80.44,1846200.00
2019-11-12 00:00:00,84.50,86.49,84.11,85.54,81.88,1105700.00
2019-11-13 00:00:00,85.14,86.73,84.73,86.09,82.40,712000.00
2019-11-14 00:00:00,86.84,87.12,85.79,86.13,82.44,1002400.00
2019-11-15 00:00:00,86.00,87.74,85.45,87.30,83.95,1100000.00
2019-11-18 00:00:00,87.04,88.20,87.04,87.77,84.40,676500.00
2019-11-19 00:00:00,87.57,88.14,87.00,87.81,84.44,640900.00
2019-11-20 00:00:00,87.44,88.35,86.88,87.55,84.19,1176200.00
2019-11-21 00:00:00,87.57,88.71,87.01,88.31,84.92,992800.00
2019-11-22 00:00:00,89.10,90.52,88.67,90.26,86.80,1194300.00
2019-11-25 00:00:00,90.52,90.81,89.87,90.64,87.16,890000.00
2019-11-26 00:00:00,90.72,90.72,86.79,87.85,84.48,1885200.00
2019-11-27 00:00:00,87.50,88.55,86.88,88.51,85.11,629700.00
2019-11-28 00:00:00,,,,,,
2019-11-29 00:00:00,87.96,88.75,87.78,87.91,84.54,355800.00
2019-12-02 00:00:00,87.87,88.60,86.94,87.83,84.46,1109600.00
2019-12-03 00:00:00,87.19,87.56,86.54,87.43,84.07,902100.00
2019-12-04 00:00:00,87.64,88.97,87.56,88.36,84.97,743000.00
2019-12-05 00:00:00,88.09,88.89,87.23,87.82,84.45,997200.00
2019-12-06 00:00:00,88.25,89.21,87.89,88.24,84.85,723000.00
2019-12-09 00:00:00,88.24,88.24,86.28,86.39,83.07,1076200.00
2019-12-10 00:00:00,86.37,87.05,84.90,86.76,83.43,1767800.00
2019-12-11 00:00:00,86.43,87.04,85.93,86.66,83.33,984400.00
2019-12-12 00:00:00,87.10,87.81,86.13,86.79,83.46,507500.00
2019-12-13 00:00:00,86.81,87.61,84.76,84.85,81.59,977000.00
2019-12-16 00:00:00,85.43,86.66,85.04,85.96,82.66,970800.00
2019-12-17 00:00:00,85.96,86.09,82.98,83.15,79.96,1947200.00
2019-12-18 00:00:00,82.67,84.85,82.57,83.55,80.34,1527600.00
2019-12-19 00:00:00,83.58,84.21,83.11,83.80,80.58,1444200.00
2019-12-20 00:00:00,84.52,85.76,83.80,85.67,82.38,1666800.00
2019-12-23 00:00:00,86.02,86.11,84.98,85.60,82.32,865400.00
2019-12-24 00:00:00,86.04,86.30,85.28,85.42,82.14,283400.00
2019-12-25 00:00:00,,,,,,
2019-12-26 00:00:00,85.54,85.67,84.94,85.05,81.79,487200.00
2019-12-27 00:00:00,85.13,85.49,84.83,84.91,81.65,388400.00
2019-12-30 00:00:00,84.95,85.23,83.58,83.64,80.43,592400.00
2019-12-31 00:00:00,83.38,85.03,83.22,85.02,81.76,1002000.00
2020-01-02 00:00:00,85.64,85.80,84.34,85.08,81.82,817600.00
2020-01-03 00:00:00,83.81,85.07,83.27,84.01,80.79,801500.00
2020-01-06 00:00:00,83.68,85.31,83.01,85.24,81.97,765000.00
2020-01-07 00:00:00,84.76,85.25,84.19,84.63,81.38,845300.00
2020-01-08 00:00:00,84.56,85.82,84.53,85.45,82.17,1182000.00
2020-01-09 00:00:00,85.62,86.73,84.82,86.66,83.33,795400.00
2020-01-10 00:00:00,87.04,87.39,86.60,87.04,83.70,965100.00
2020-01-13 00:00:00,86.97,87.25,85.50,86.15,82.84,1026200.00
2020-01-14 00:00:00,86.60,88.98,86.02,88.83,85.42,1921800.00
2020-01-15 00:00:00,88.79,91.64,88.68,91.37,87.86,1434900.00
2020-01-16 00:00:00,91.90,91.90,90.54,91.46,87.95,1205000.00
2020-01-17 00:00:00,91.00,91.58,90.41,91.06,87.57,1455500.00
2020-01-20 00:00:00,,,,,,
2020-01-21 00:00:00,90.82,91.37,90.20,91.25,87.75,1205600.00
2020-01-22 00:00:00,91.57,92.42,91.17,92.03,88.50,1551600.00
2020-01-23 00:00:00,92.19,92.19,90.67,91.16,87.66,1552900.00
2020-01-24 00:00:00,91.54,91.54,86.08,88.92,85.51,2306800.00
2020-01-27 00:00:00,87.94,88.25,86.53,87.52,84.16,1622700.00
2020-01-28 00:00:00,88.29,89.70,87.83,89.11,85.69,1144800.00
2020-01-29 00:00:00,89.49,90.85,89.20,89.86,86.41,1691200.00
2020-01-30 00:00:00,89.33,92.36,86.90,88.88,85.47,2138300.00
2020-01-31 00:00:00,89.29,89.29,85.27,85.56,82.28,1217800.00
2020-02-03 00:00:00,85.94,86.92,85.24,85.70,82.41,1014600.00
2020-02-04 00:00:00,87.15,89.14,87.01,88.09,84.71,1498600.00
2020-02-05 00:00:00,89.13,92.47,89.13,91.44,87.93,1608200.00
2020-02-06 00:00:00,92.12,93.76,91.55,92.48,88.93,1246100.00
2020-02-07 00:00:00,93.90,94.72,91.76,91.94,88.41,1467200.00
2020-02-10 00:00:00,91.70,94.18,91.36,93.60,90.01,1371600.00
2020-02-11 00:00:00,94.33,94.61,92.72,94.57,90.94,1156100.00
2020-02-12 00:00:00,95.00,97.50,94.04,95.78,92.10,1315100.00
2020-02-13 00:00:00,94.92,95.48,94.42,94.52,91.29,1155600.00
2020-02-14 00:00:00,94.16,94.74,90.23,94.36,91.14,1602200.00
2020-02-17 00:00:00,,,,,,
2020-02-18 00:00:00,94.29,94.89,93.14,94.31,91.09,1566000.00
2020-02-19 00:00:00,94.59,95.20,93.84,95.13,91.88,915800.00
2020-02-20 00:00:00,95.00,96.99,93.95,96.53,93.23,1808100.00
2020-02-21 00:00:00,96.15,97.39,95.30,97.00,93.69,1213700.00
2020-02-24 00:00:00,94.72,96.04,94.00,94.93,91.69,1541700.00
2020-02-25 00:00:00,95.36,95.77,92.78,92.93,89.76,2239400.00
2020-02-26 00:00:00,93.80,95.01,93.14,93.71,90.51,1907100.00
2020-02-27 00:00:00,92.05,92.94,86.56,86.59,83.63,2568100.00
2020-02-28 00:00:00,83.55,85.00,81.47,84.32,81.44,3827500.00
2020-03-02 00:00:00,84.53,88.32,83.89,87.16,84.18,4528000.00
2020-03-03 00:00:00,87.42,88.95,84.45,85.87,82.94,2190400.00
2020-03-04 00:00:00,89.30,90.43,87.99,90.38,87.29,1411300.00
2020-03-05 00:00:00,88.00,90.08,85.25,86.97,84.00,1365800.00
2020-03-06 00:00:00,84.29,86.23,83.39,85.81,82.88,1760100.00
2020-03-09 00:00:00,79.69,85.83,77.56,83.27,80.43,3673000.00
2020-03-10 00:00:00,85.35,86.27,80.89,86.07,83.13,2214400.00
2020-03-11 00:00:00,84.08,86.12,83.05,84.96,82.06,2384900.00
2020-03-12 00:00:00,80.46,84.28,79.09,80.49,77.74,7108200.00
2020-03-13 00:00:00,83.70,90.17,80.66,90.00,86.93,2835300.00
2020-03-16 00:00:00,76.00,87.42,76.00,80.50,77.75,2777400.00
2020-03-17 00:00:00,82.79,89.73,82.20,89.50,86.44,3792400.00
2020-03-18 00:00:00,84.90,90.76,78.14,84.97,82.07,3229200.00
2020-03-19 00:00:00,83.09,86.74,80.37,86.00,83.06,2189100.00
2020-03-20 00:00:00,86.84,87.63,79.32,80.61,77.86,3203800.00
2020-03-23 00:00:00,80.29,80.29,72.06,73.93,71.41,2234800.00
2020-03-24 00:00:00,77.71,80.62,76.16,79.85,77.12,1951800.00
2020-03-25 00:00:00,79.54,81.47,75.11,75.35,72.78,2284100.00
2020-03-26 00:00:00,75.87,85.18,75.60,84.16,81.29,3263800.00
2020-03-27 00:00:00,80.94,84.06,80.18,81.78,78.99,1600500.00
2020-03-30 00:00:00,83.53,88.55,82.44,88.10,85.09,1770200.00
2020-03-31 00:00:00,88.24,90.73,87.11,88.50,85.48,2074700.00
2020-04-01 00:00:00,88.21,88.71,84.19,86.23,83.29,1336300.00
2020-04-02 00:00:00,84.64,86.53,80.00,83.89,81.03,2570500.00
2020-04-03 00:00:00,83.27,84.63,80.39,81.34,78.56,1517200.00
2020-04-06 00:00:00,85.32,86.83,83.07,86.29,83.34,1514800.00
2020-04-07 00:00:00,88.87,89.43,86.62,87.20,84.22,1311100.00
2020-04-08 00:00:00,86.94,89.13,85.16,88.33,85.31,1729500.00
2020-04-09 00:00:00,88.18,89.41,86.66,87.81,84.81,1348700.00
2020-04-13 00:00:00,87.56,87.56,84.22,85.45,82.53,2118700.00
2020-04-14 00:00:00,87.59,89.90,87.07,89.42,86.37,985300.00
2020-04-15 00:00:00,87.94,89.71,85.59,88.33,85.31,967600.00
2020-04-16 00:00:00,88.26,89.26,85.54,86.28,83.33,1674000.00
2020-04-17 00:00:00,88.76,89.89,87.28,89.19,86.15,1669500.00
2020-04-20 00:00:00,87.99,90.11,87.10,89.62,86.56,1032000.00
2020-04-21 00:00:00,88.44,88.62,84.43,85.57,82.65,1257800.00
2020-04-22 00:00:00,86.98,88.13,86.19,86.50,83.55,911000.00
2020-04-23 00:00:00,87.39,89.14,86.88,87.26,84.28,1036400.00
2020-04-24 00:00:00,87.43,89.45,85.74,88.70,85.67,1325800.00
2020-04-27 00:00:00,89.59,91.35,88.76,90.78,87.68,1913100.00
2020-04-28 00:00:00,92.00,92.08,89.24,89.53,86.47,1457100.00
2020-04-29 00:00:00,90.04,91.28,88.35,89.34,86.29,1879900.00
2020-04-30 00:00:00,88.71,91.03,88.61,89.66,86.60,1683700.00
2020-05-01 00:00:00,88.35,88.35,85.11,86.38,83.43,1120800.00
2020-05-04 00:00:00,85.97,87.05,85.31,86.42,83.47,1354000.00
2020-05-05 00:00:00,87.50,89.45,85.61,87.97,84.97,1349600.00
2020-05-06 00:00:00,88.35,88.56,85.20,85.50,82.58,1362800.00
2020-05-07 00:00:00,86.60,89.83,86.60,88.74,85.71,1755300.00
2020-05-08 00:00:00,90.54,92.40,87.09,88.09,85.08,1175300.00
2020-05-11 00:00:00,89.07,91.86,88.52,90.64,87.55,1264200.00
2020-05-12 00:00:00,91.46,91.99,88.53,88.58,85.56,1141900.00
2020-05-13 00:00:00,88.17,89.00,83.67,84.15,81.28,1520700.00
2020-05-14 00:00:00,83.01,84.15,81.51,84.03,81.16,1488200.00
2020-05-15 00:00:00,83.36,85.82,83.05,85.75,83.24,1694200.00
2020-05-18 00:00:00,88.03,90.00,87.85,89.20,86.59,1066800.00
2020-05-19 00:00:00,88.81,90.39,88.50,89.63,87.01,983700.00
2020-05-20 00:00:00,90.00,95.13,89.02,92.73,90.01,2352700.00
2020-05-21 00:00:00,92.17,93.27,91.19,92.25,89.55,1076900.00
2020-05-22 00:00:00,92.16,93.69,92.16,93.14,90.41,1027100.00
2020-05-25 00:00:00,,,,,,
2020-05-26 00:00:00,95.00,95.00,90.59,90.78,88.12,1024800.00
2020-05-27 00:00:00,90.96,93.45,90.75,93.33,90.60,1166100.00
2020-05-28 00:00:00,94.36,96.49,93.83,94.40,91.64,1312700.00
2020-05-29 00:00:00,94.70,95.60,93.61,95.34,92.55,1582100.00
2020-06-01 00:00:00,94.84,95.87,94.84,95.15,92.36,1012600.00
2020-06-02 00:00:00,94.85,98.74,94.31,98.66,95.77,2078000.00
2020-06-03 00:00:00,99.08,99.99,98.65,99.49,96.58,1168000.00
2020-06-04 00:00:00,98.65,99.99,98.20,99.45,96.54,1473400.00
2020-06-05 00:00:00,99.57,102.21,98.51,98.97,96.07,1474000.00
2020-06-08 00:00:00,97.99,102.99,97.76,102.30,99.30,1357100.00
2020-06-09 00:00:00,101.00,101.60,99.55,99.90,96.97,953600.00
2020-06-10 00:00:00,100.38,100.58,96.93,96.95,94.11,905000.00
2020-06-11 00:00:00,95.79,95.79,92.57,93.51,90.77,1305200.00
2020-06-12 00:00:00,95.48,95.64,92.62,94.87,92.09,1545600.00
2020-06-15 00:00:00,93.44,96.51,92.90,96.21,93.39,1151000.00
2020-06-16 00:00:00,98.49,99.52,96.63,99.11,96.21,1157300.00
2020-06-17 00:00:00,99.52,100.48,98.62,100.15,97.22,1166200.00
2020-06-18 00:00:00,99.68,100.83,98.74,100.25,97.31,856400.00
2020-06-19 00:00:00,101.74,103.37,101.05,102.15,99.16,1739700.00
2020-06-22 00:00:00,101.79,101.86,100.13,101.73,98.75,936400.00
2020-06-23 00:00:00,102.27,102.80,100.85,101.50,98.53,2404400.00
2020-06-24 00:00:00,100.74,101.46,98.00,98.84,95.95,1394400.00
2020-06-25 00:00:00,98.54,100.88,98.48,100.67,97.72,985000.00
2020-06-26 00:00:00,100.47,100.95,98.20,99.18,96.28,2830100.00
2020-06-29 00:00:00,99.61,100.62,98.43,98.99,96.09,1103100.00
2020-06-30 00:00:00,98.70,101.20,98.57,100.77,97.82,1036400.00
2020-07-01 00:00:00,100.95,101.47,99.13,99.45,96.54,1001100.00
2020-07-02 00:00:00,100.20,101.62,99.72,100.09,97.16,734000.00
2020-07-03 00:00:00,,,,,,
2020-07-06 00:00:00,100.91,101.46,99.91,100.72,97.77,975100.00
2020-07-07 00:00:00,99.91,100.43,97.91,98.30,95.42,1022100.00
2020-07-08 00:00:00,98.35,98.76,95.90,97.21,94.36,934600.00
2020-07-09 00:00:00,97.21,97.27,94.76,96.39,93.57,758400.00
2020-07-10 00:00:00,95.98,97.58,95.48,97.05,94.21,816800.00
2020-07-13 00:00:00,97.28,98.83,97.06,97.27,94.42,1198500.00
2020-07-14 00:00:00,96.85,99.47,96.85,99.33,96.42,781500.00
