Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,255.38,256.05,249.52,250.96,250.96,469800.00
2019-06-17 00:00:00,251.64,259.27,250.22,256.15,256.15,435800.00
2019-06-18 00:00:00,258.12,262.67,256.24,256.47,256.47,443200.00
2019-06-19 00:00:00,257.85,258.39,252.57,256.30,256.30,468300.00
2019-06-20 00:00:00,258.04,262.49,253.20,260.33,260.33,468900.00
2019-06-21 00:00:00,260.00,261.45,255.51,256.04,256.04,651000.00
2019-06-24 00:00:00,256.06,259.29,252.50,253.17,253.17,535000.00
2019-06-25 00:00:00,254.00,260.59,253.17,257.06,257.06,537100.00
2019-06-26 00:00:00,256.45,259.82,251.00,251.62,251.62,429600.00
2019-06-27 00:00:00,253.97,257.54,253.00,254.93,254.93,318300.00
2019-06-28 00:00:00,256.63,260.59,253.76,260.49,260.49,480900.00
2019-07-01 00:00:00,263.09,275.00,262.74,265.02,265.02,777000.00
2019-07-02 00:00:00,265.91,268.32,260.35,261.49,261.49,358200.00
2019-07-03 00:00:00,262.16,264.42,260.16,261.33,261.33,186400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,260.31,262.66,257.63,261.47,261.47,335800.00
2019-07-08 00:00:00,261.03,262.42,254.83,257.78,257.78,356900.00
2019-07-09 00:00:00,256.11,258.97,253.45,257.30,257.30,368200.00
2019-07-10 00:00:00,257.67,262.15,255.56,255.81,255.81,390300.00
2019-07-11 00:00:00,257.96,266.54,256.01,266.09,266.09,452200.00
2019-07-12 00:00:00,264.50,265.48,257.25,262.69,262.69,400100.00
2019-07-15 00:00:00,263.19,265.66,258.08,260.58,260.58,355900.00
2019-07-16 00:00:00,261.88,261.99,253.40,253.75,253.75,378500.00
2019-07-17 00:00:00,254.34,261.55,254.34,260.06,260.06,369200.00
2019-07-18 00:00:00,259.03,263.40,259.03,262.77,262.77,310900.00
2019-07-19 00:00:00,264.08,266.86,260.31,260.47,260.47,255200.00
2019-07-22 00:00:00,260.70,270.25,260.70,263.97,263.97,429300.00
