Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,275.91,277.10,274.00,274.28,274.28,2262800.00
2019-06-17 00:00:00,274.63,277.47,274.63,275.60,275.60,2254200.00
2019-06-18 00:00:00,280.37,280.49,276.62,276.78,276.78,4529300.00
2019-06-19 00:00:00,287.00,292.00,284.34,291.21,291.21,9738600.00
2019-06-20 00:00:00,293.25,302.66,293.25,302.11,302.11,5632500.00
2019-06-21 00:00:00,301.46,304.00,299.09,299.33,299.33,4015500.00
2019-06-24 00:00:00,300.00,302.58,298.69,299.87,299.87,2868900.00
2019-06-25 00:00:00,299.21,300.65,287.00,287.97,287.97,4638500.00
2019-06-26 00:00:00,291.26,292.76,288.70,288.72,288.72,2896800.00
2019-06-27 00:00:00,290.04,294.67,290.04,293.23,293.23,2596800.00
2019-06-28 00:00:00,294.50,295.10,291.95,294.65,294.65,2648300.00
2019-07-01 00:00:00,299.55,301.90,297.66,300.97,300.97,2619500.00
2019-07-02 00:00:00,301.19,301.58,299.36,301.39,301.39,1816600.00
2019-07-03 00:00:00,302.00,305.86,301.29,305.70,305.70,1585300.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,304.01,305.24,298.93,303.98,303.98,2872700.00
2019-07-08 00:00:00,302.76,303.11,300.13,302.92,302.92,1909200.00
2019-07-09 00:00:00,300.56,305.13,300.22,304.20,304.20,1644300.00
2019-07-10 00:00:00,305.10,309.32,305.10,306.98,306.98,1954100.00
2019-07-11 00:00:00,307.39,310.17,305.90,307.60,307.60,1951500.00
2019-07-12 00:00:00,308.01,309.70,304.96,309.42,309.42,1624800.00
2019-07-15 00:00:00,310.00,310.46,307.72,308.76,308.76,1161600.00
2019-07-16 00:00:00,308.00,308.46,305.07,305.70,305.70,1838700.00
2019-07-17 00:00:00,307.13,310.96,306.75,309.39,309.39,2298100.00
2019-07-18 00:00:00,307.21,310.92,306.85,310.08,310.08,1597200.00
2019-07-19 00:00:00,311.56,313.11,305.27,306.87,306.87,2100200.00
2019-07-22 00:00:00,308.39,309.92,307.14,308.55,308.55,1336400.00
2019-07-23 00:00:00,309.91,309.98,305.22,307.88,307.88,1826800.00
2019-07-24 00:00:00,305.81,310.73,305.81,310.27,310.27,1458800.00
2019-07-25 00:00:00,308.66,309.66,306.10,308.73,308.73,1378500.00
2019-07-26 00:00:00,309.97,312.50,309.26,311.27,311.27,1507800.00
2019-07-29 00:00:00,311.94,311.94,301.48,307.22,307.22,2778400.00
2019-07-30 00:00:00,305.07,307.09,302.55,303.64,303.64,2158000.00
2019-07-31 00:00:00,303.61,304.95,295.11,298.86,298.86,3066900.00
2019-08-01 00:00:00,299.15,304.99,296.77,298.44,298.44,3210200.00
2019-08-02 00:00:00,295.57,297.35,289.42,293.71,293.71,3400900.00
2019-08-05 00:00:00,285.04,286.87,276.78,280.36,280.36,4292600.00
2019-08-06 00:00:00,283.63,286.99,282.50,286.21,286.21,2552100.00
2019-08-07 00:00:00,282.24,290.26,282.00,289.02,289.02,2196700.00
2019-08-08 00:00:00,292.75,297.87,290.20,297.78,297.78,2506000.00
2019-08-09 00:00:00,296.14,298.27,292.15,294.83,294.83,1451100.00
2019-08-12 00:00:00,293.14,294.42,287.41,288.65,288.65,1580500.00
2019-08-13 00:00:00,288.23,295.50,286.39,293.17,293.17,2326400.00
2019-08-14 00:00:00,287.60,289.65,281.43,283.66,283.66,2586000.00
2019-08-15 00:00:00,285.64,286.49,280.86,282.71,282.71,2336800.00
2019-08-16 00:00:00,285.58,290.15,283.32,287.45,287.45,1954500.00
2019-08-19 00:00:00,291.32,291.77,287.17,287.97,287.97,1955200.00
2019-08-20 00:00:00,287.97,288.66,285.40,285.71,285.71,1491000.00
2019-08-21 00:00:00,288.54,292.92,286.51,291.53,291.53,1520200.00
2019-08-22 00:00:00,292.57,292.90,285.12,287.69,287.69,1743200.00
2019-08-23 00:00:00,289.23,293.57,280.97,282.44,282.44,2851900.00
2019-08-26 00:00:00,284.86,288.89,283.51,288.74,288.74,1792800.00
2019-08-27 00:00:00,290.66,291.85,286.53,289.45,289.45,1792300.00
2019-08-28 00:00:00,286.55,287.99,280.42,282.13,282.13,2776300.00
2019-08-29 00:00:00,285.71,287.70,283.62,286.63,286.63,2171900.00
2019-08-30 00:00:00,287.41,288.50,280.12,284.51,284.51,2373300.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,284.25,287.46,281.40,282.45,282.45,1837000.00
2019-09-04 00:00:00,286.04,286.25,282.46,284.60,284.60,1516000.00
2019-09-05 00:00:00,287.83,288.01,281.52,287.75,287.75,2835900.00
2019-09-06 00:00:00,288.20,289.59,283.96,284.94,284.94,2273100.00
2019-09-09 00:00:00,286.52,286.93,276.60,279.30,279.30,3134500.00
2019-09-10 00:00:00,277.58,277.58,272.34,276.14,276.14,4097800.00
2019-09-11 00:00:00,277.66,280.31,274.00,277.78,277.78,2594000.00
2019-09-12 00:00:00,281.00,282.28,277.94,278.02,278.02,2955000.00
2019-09-13 00:00:00,278.22,280.28,276.32,278.35,278.35,2948600.00
2019-09-16 00:00:00,276.62,283.05,275.30,282.93,282.93,2774700.00
2019-09-17 00:00:00,284.04,285.30,280.36,284.69,284.69,4069200.00
2019-09-18 00:00:00,275.35,280.29,270.02,279.72,279.72,7449700.00
2019-09-19 00:00:00,280.17,284.37,279.83,281.26,281.26,3163500.00
2019-09-20 00:00:00,281.60,283.20,274.95,277.91,277.91,4046500.00
2019-09-23 00:00:00,275.93,279.58,275.41,277.44,277.44,1966300.00
2019-09-24 00:00:00,279.58,280.70,271.08,272.47,272.47,3288100.00
2019-09-25 00:00:00,271.90,277.71,267.73,277.43,277.43,3307300.00
2019-09-26 00:00:00,278.46,285.90,277.01,283.81,283.81,4270800.00
2019-09-27 00:00:00,284.63,284.98,274.12,277.54,277.54,3167600.00
2019-09-30 00:00:00,277.54,279.00,275.14,276.25,276.25,3992300.00
2019-10-01 00:00:00,278.99,279.65,271.87,272.71,272.71,3245800.00
2019-10-02 00:00:00,271.18,271.18,265.19,266.66,266.66,3370100.00
2019-10-03 00:00:00,266.92,272.80,263.85,272.40,272.40,3545100.00
2019-10-04 00:00:00,273.11,278.08,273.11,276.96,276.96,2566300.00
2019-10-07 00:00:00,276.32,278.49,275.59,276.90,276.90,1823500.00
2019-10-08 00:00:00,274.46,275.41,270.80,270.83,270.83,2135900.00
2019-10-09 00:00:00,273.52,275.55,272.86,274.27,274.27,1359400.00
2019-10-10 00:00:00,274.06,276.71,272.79,274.98,274.98,1562300.00
2019-10-11 00:00:00,278.37,281.27,277.63,278.29,278.29,2087600.00
2019-10-14 00:00:00,278.11,279.42,277.15,277.78,277.78,1372600.00
2019-10-15 00:00:00,278.17,281.51,278.02,279.39,279.39,1964000.00
2019-10-16 00:00:00,270.23,272.81,267.51,272.70,272.70,4315200.00
2019-10-17 00:00:00,272.61,274.12,267.15,269.24,269.24,3319100.00
2019-10-18 00:00:00,269.36,269.68,262.10,265.52,265.52,4391000.00
2019-10-21 00:00:00,265.63,267.43,262.57,266.84,266.84,2868800.00
2019-10-22 00:00:00,268.49,269.28,260.64,261.09,261.09,3349100.00
2019-10-23 00:00:00,261.00,265.52,259.57,261.32,261.32,3020400.00
2019-10-24 00:00:00,264.04,271.46,263.25,269.70,269.70,3511000.00
2019-10-25 00:00:00,267.80,271.61,267.02,270.98,270.98,1822300.00
2019-10-28 00:00:00,271.58,272.29,268.38,271.35,271.35,2281900.00
2019-10-29 00:00:00,271.68,273.72,271.06,271.45,271.45,1723500.00
2019-10-30 00:00:00,273.25,278.65,272.61,278.41,278.41,2320800.00
2019-10-31 00:00:00,278.27,279.32,275.31,277.93,277.93,2845400.00
2019-11-01 00:00:00,279.14,281.83,277.27,277.82,277.82,2827200.00
2019-11-04 00:00:00,280.56,281.21,276.05,277.50,277.50,2790200.00
2019-11-05 00:00:00,292.11,292.88,283.60,289.29,289.29,6170600.00
2019-11-06 00:00:00,289.11,289.26,285.61,287.40,287.40,2762400.00
2019-11-07 00:00:00,288.30,293.48,287.00,290.77,290.77,3201600.00
2019-11-08 00:00:00,290.02,292.46,288.48,292.46,292.46,1628500.00
2019-11-11 00:00:00,291.95,292.34,289.70,290.27,290.27,1777400.00
2019-11-12 00:00:00,290.79,294.16,290.27,291.72,291.72,2084900.00
2019-11-13 00:00:00,291.86,293.70,290.26,293.54,293.54,1739900.00
2019-11-14 00:00:00,293.54,295.08,292.15,294.53,294.53,1459700.00
2019-11-15 00:00:00,296.54,297.50,293.56,297.50,297.50,2011300.00
2019-11-18 00:00:00,297.55,298.56,296.00,297.16,297.16,1632700.00
2019-11-19 00:00:00,298.75,300.74,296.39,300.60,300.60,2142700.00
2019-11-20 00:00:00,299.39,302.05,297.05,300.10,300.10,1841300.00
2019-11-21 00:00:00,298.99,300.35,296.62,298.80,298.80,1609800.00
2019-11-22 00:00:00,299.59,299.92,295.80,299.30,299.30,1508900.00
2019-11-25 00:00:00,300.48,305.45,300.48,305.28,305.28,2205400.00
2019-11-26 00:00:00,305.00,309.06,304.89,307.90,307.90,2619000.00
2019-11-27 00:00:00,308.50,309.17,305.74,309.06,309.06,1469700.00
2019-11-28 00:00:00,,,,,,
2019-11-29 00:00:00,308.52,310.00,308.00,309.53,309.53,1175100.00
2019-12-02 00:00:00,309.22,309.90,299.51,302.75,302.75,2891400.00
2019-12-03 00:00:00,298.24,304.46,297.32,303.91,303.91,1608500.00
2019-12-04 00:00:00,305.00,305.33,301.28,302.51,302.51,1522800.00
2019-12-05 00:00:00,303.13,304.24,301.00,303.03,303.03,1698100.00
2019-12-06 00:00:00,306.20,306.75,303.16,306.23,306.23,1733000.00
2019-12-09 00:00:00,308.91,310.91,306.70,307.05,307.05,2892500.00
2019-12-10 00:00:00,306.62,309.03,304.10,304.17,304.17,2155300.00
2019-12-11 00:00:00,305.15,305.38,301.48,303.74,303.74,2928600.00
2019-12-12 00:00:00,303.00,306.58,300.72,305.96,305.96,3104600.00
2019-12-13 00:00:00,314.11,321.73,313.74,317.94,317.94,6606700.00
2019-12-16 00:00:00,319.27,325.25,319.27,323.80,323.80,3436700.00
2019-12-17 00:00:00,325.04,325.08,321.75,322.85,322.85,2331900.00
2019-12-18 00:00:00,322.10,326.82,322.01,324.38,324.38,2332600.00
2019-12-19 00:00:00,324.38,327.96,324.26,327.63,327.63,2561400.00
2019-12-20 00:00:00,328.37,330.00,325.62,327.61,327.61,4233000.00
2019-12-23 00:00:00,328.83,329.88,327.26,328.95,328.95,2210600.00
2019-12-24 00:00:00,329.00,331.54,328.68,329.64,329.64,1066400.00
2019-12-25 00:00:00,,,,,,
2019-12-26 00:00:00,329.63,331.28,329.63,331.20,331.20,1055100.00
2019-12-27 00:00:00,332.88,332.88,329.77,330.79,330.79,1229800.00
2019-12-30 00:00:00,330.35,330.47,325.17,328.34,328.34,1896700.00
2019-12-31 00:00:00,326.25,329.94,326.25,329.81,329.81,1592300.00
2020-01-02 00:00:00,330.00,334.48,329.17,334.43,334.43,1990100.00
2020-01-03 00:00:00,329.17,332.98,328.69,331.81,331.81,1577600.00
2020-01-06 00:00:00,328.29,333.91,328.19,333.71,333.71,1874700.00
2020-01-07 00:00:00,334.15,334.79,332.31,333.39,333.39,2500800.00
2020-01-08 00:00:00,333.81,339.23,333.40,337.87,337.87,2248500.00
2020-01-09 00:00:00,340.14,341.81,338.19,340.45,340.45,1626300.00
2020-01-10 00:00:00,342.05,343.36,339.62,339.81,339.81,1480400.00
2020-01-13 00:00:00,341.54,345.73,341.22,345.63,345.63,2069200.00
2020-01-14 00:00:00,347.01,347.27,343.15,344.63,344.63,2274400.00
2020-01-15 00:00:00,346.42,347.50,342.46,342.94,342.94,2213300.00
2020-01-16 00:00:00,345.98,345.99,342.76,345.38,345.38,2439600.00
2020-01-17 00:00:00,349.00,349.95,346.38,349.74,349.74,2536100.00
2020-01-20 00:00:00,,,,,,
2020-01-21 00:00:00,346.37,352.37,345.62,350.00,350.00,2121200.00
2020-01-22 00:00:00,352.60,354.28,349.96,350.06,350.06,1600300.00
2020-01-23 00:00:00,351.02,352.16,347.85,351.76,351.76,2084400.00
2020-01-24 00:00:00,354.10,355.69,349.20,351.37,351.37,1640200.00
2020-01-27 00:00:00,341.04,349.90,340.40,346.90,346.90,2652000.00
2020-01-28 00:00:00,349.00,355.66,347.12,354.63,354.63,2270800.00
2020-01-29 00:00:00,356.70,356.70,351.36,351.66,351.66,1521300.00
2020-01-30 00:00:00,349.69,356.82,349.69,356.74,356.74,1834900.00
2020-01-31 00:00:00,355.84,355.84,348.30,351.14,351.14,3692900.00
2020-02-03 00:00:00,353.41,358.67,352.29,358.00,358.00,2693800.00
2020-02-04 00:00:00,363.43,367.44,360.45,366.74,366.74,3053000.00
2020-02-05 00:00:00,373.99,374.48,362.31,365.55,365.55,2463400.00
2020-02-06 00:00:00,366.16,368.25,363.01,367.46,367.46,2224500.00
2020-02-07 00:00:00,366.00,369.34,364.38,366.09,366.09,2092700.00
2020-02-10 00:00:00,365.44,370.81,365.22,370.00,370.00,2426800.00
2020-02-11 00:00:00,373.03,373.70,367.25,369.28,369.28,2004700.00
2020-02-12 00:00:00,370.64,374.43,367.15,374.29,374.29,2355600.00
2020-02-13 00:00:00,372.56,377.71,372.39,374.84,374.84,1917100.00
2020-02-14 00:00:00,376.28,379.83,375.85,379.67,379.67,1690300.00
2020-02-17 00:00:00,,,,,,
2020-02-18 00:00:00,380.20,382.59,378.59,378.85,378.85,2074400.00
