Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,76.73,77.19,75.81,76.20,71.41,908700.00
2019-06-18 00:00:00,76.74,76.80,75.48,76.43,71.63,1426000.00
2019-06-19 00:00:00,76.22,77.23,76.03,76.90,72.07,1482000.00
2019-06-20 00:00:00,76.93,77.72,76.57,77.36,72.50,884000.00
2019-06-21 00:00:00,77.42,77.58,76.46,77.45,72.58,1597200.00
2019-06-24 00:00:00,77.55,77.77,76.82,76.90,72.07,1414000.00
2019-06-25 00:00:00,77.05,77.05,76.45,76.58,71.77,996700.00
2019-06-26 00:00:00,76.40,76.64,74.66,74.73,70.03,1160100.00
2019-06-27 00:00:00,74.83,75.27,74.36,74.65,69.96,926400.00
2019-06-28 00:00:00,74.56,75.62,74.45,75.11,70.39,2160000.00
2019-07-01 00:00:00,75.12,75.33,74.23,75.21,70.48,1140800.00
2019-07-02 00:00:00,75.55,76.01,75.28,75.90,71.13,1147300.00
2019-07-03 00:00:00,76.13,77.09,76.05,76.52,71.71,512700.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,75.93,76.60,75.04,76.45,71.65,760900.00
2019-07-08 00:00:00,76.56,76.79,75.94,76.47,71.66,795700.00
2019-07-09 00:00:00,76.35,76.69,75.97,76.61,71.80,884400.00
2019-07-10 00:00:00,76.70,77.12,76.31,76.65,71.83,794000.00
2019-07-11 00:00:00,76.57,77.09,76.00,76.68,71.86,831100.00
2019-07-12 00:00:00,76.58,76.72,75.77,76.16,71.37,709100.00
2019-07-15 00:00:00,76.10,76.54,75.79,76.29,71.50,657700.00
2019-07-16 00:00:00,76.07,76.43,75.57,76.23,71.44,1355100.00
2019-07-17 00:00:00,76.56,77.28,76.50,76.74,71.92,917900.00
2019-07-18 00:00:00,76.80,77.20,76.13,77.16,72.31,867600.00
2019-07-19 00:00:00,77.02,77.21,75.95,75.98,71.21,854700.00
2019-07-22 00:00:00,76.13,76.74,75.42,76.28,71.49,1193300.00
2019-07-23 00:00:00,76.30,76.67,75.71,76.23,71.44,988100.00
2019-07-24 00:00:00,76.61,76.61,75.71,76.43,71.63,847700.00
2019-07-25 00:00:00,76.90,77.07,75.94,76.25,71.46,1219900.00
2019-07-26 00:00:00,76.35,76.82,75.91,76.59,71.78,1120500.00
2019-07-29 00:00:00,76.80,77.18,76.14,76.85,72.02,1078800.00
2019-07-30 00:00:00,76.76,77.26,75.82,76.21,71.42,918100.00
2019-07-31 00:00:00,76.18,76.69,75.44,75.69,70.93,1041300.00
2019-08-01 00:00:00,75.60,77.11,75.37,76.64,71.82,2349600.00
