Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,97.77,98.14,97.27,98.14,93.67,823741.00
2019-06-17 00:00:00,98.02,98.26,97.64,97.81,93.36,729730.00
2019-06-18 00:00:00,97.64,100.08,97.56,100.08,95.53,1465831.00
2019-06-19 00:00:00,100.08,100.50,99.59,99.83,95.29,1169873.00
2019-06-20 00:00:00,100.33,102.40,99.79,99.79,95.25,1153753.00
2019-06-21 00:00:00,99.79,101.12,99.67,101.12,96.51,2262203.00
2019-06-24 00:00:00,101.16,101.57,100.70,100.79,96.20,988828.00
2019-06-25 00:00:00,100.33,101.07,100.12,100.74,96.16,746655.00
2019-06-26 00:00:00,100.50,100.74,99.46,99.75,95.21,934643.00
2019-06-27 00:00:00,99.96,100.62,99.55,100.62,96.04,910978.00
2019-06-28 00:00:00,100.29,101.78,100.29,101.69,97.06,1290519.00
2019-07-01 00:00:00,102.56,102.77,101.36,101.36,96.75,833281.00
2019-07-02 00:00:00,101.86,101.86,100.99,101.61,96.99,813230.00
2019-07-03 00:00:00,101.82,102.44,101.40,102.19,97.54,629755.00
2019-07-04 00:00:00,102.19,102.27,101.45,101.45,96.83,519888.00
2019-07-05 00:00:00,101.40,101.57,100.54,101.24,96.63,847128.00
2019-07-08 00:00:00,100.83,101.45,100.70,101.45,96.83,749230.00
2019-07-09 00:00:00,100.83,101.53,100.33,101.16,96.55,843198.00
2019-07-10 00:00:00,100.83,101.82,100.58,101.69,97.06,741600.00
2019-07-11 00:00:00,102.02,102.19,100.62,100.74,96.16,644118.00
2019-07-12 00:00:00,100.99,102.11,100.79,101.65,97.02,610639.00
2019-07-15 00:00:00,101.86,102.52,100.70,101.78,97.14,832290.00
2019-07-16 00:00:00,101.78,102.02,101.32,101.69,97.06,644818.00
2019-07-17 00:00:00,101.36,102.23,101.12,101.24,96.63,734528.00
2019-07-18 00:00:00,100.83,101.78,100.66,101.12,96.51,735424.00
2019-07-19 00:00:00,101.49,102.11,100.41,100.74,96.16,787953.00
2019-07-22 00:00:00,100.87,101.74,100.79,101.65,97.02,633644.00
2019-07-23 00:00:00,101.94,103.26,101.94,102.85,98.17,881230.00
2019-07-24 00:00:00,102.77,103.06,102.31,102.64,97.97,649217.00
2019-07-25 00:00:00,102.85,102.98,100.25,101.40,96.79,1270046.00
2019-07-26 00:00:00,101.98,102.64,101.61,102.44,97.77,719171.00
2019-07-29 00:00:00,102.07,102.69,101.86,102.69,98.01,740460.00
2019-07-30 00:00:00,103.31,105.12,103.18,103.47,98.76,1535777.00
2019-07-31 00:00:00,103.35,104.17,103.26,103.31,98.60,1331007.00
2019-08-01 00:00:00,102.81,104.34,102.56,104.34,99.59,1003077.00
