Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,76.62,76.62,74.08,74.18,71.67,114900.00
2019-06-17 00:00:00,74.54,76.57,74.13,75.99,73.42,240400.00
2019-06-18 00:00:00,76.49,78.66,76.49,78.50,75.85,178200.00
2019-06-19 00:00:00,78.61,79.71,78.30,79.67,76.98,190600.00
2019-06-20 00:00:00,80.85,81.09,79.49,80.64,77.91,195700.00
2019-06-21 00:00:00,80.10,81.57,79.05,81.04,78.30,693700.00
2019-06-24 00:00:00,81.31,81.36,79.68,80.17,77.46,171200.00
2019-06-25 00:00:00,80.29,81.08,79.77,80.39,77.67,342800.00
2019-06-26 00:00:00,80.66,81.23,80.14,80.92,78.18,259800.00
2019-06-27 00:00:00,80.96,80.96,79.77,80.68,77.95,254500.00
2019-06-28 00:00:00,80.50,83.43,80.50,82.91,80.11,428500.00
2019-07-01 00:00:00,83.93,84.19,82.67,83.58,80.75,435500.00
2019-07-02 00:00:00,83.70,83.97,82.32,83.25,80.44,144800.00
2019-07-03 00:00:00,83.44,83.77,82.79,83.44,80.62,91800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,82.95,82.95,81.23,82.33,79.55,256200.00
2019-07-08 00:00:00,82.17,82.40,81.51,81.90,79.13,171000.00
2019-07-09 00:00:00,81.45,82.21,80.93,82.15,79.37,239900.00
2019-07-10 00:00:00,82.51,82.68,80.88,81.16,78.42,115900.00
2019-07-11 00:00:00,81.28,81.32,80.27,80.49,77.77,149200.00
2019-07-12 00:00:00,80.34,81.44,80.05,81.10,78.36,154400.00
2019-07-15 00:00:00,81.12,81.88,79.88,80.11,77.40,102100.00
2019-07-16 00:00:00,79.86,80.60,79.53,79.80,77.10,184200.00
2019-07-17 00:00:00,79.52,79.88,78.47,78.70,76.04,128700.00
2019-07-18 00:00:00,78.61,79.44,77.99,78.48,75.83,151400.00
2019-07-19 00:00:00,78.61,79.43,78.32,78.89,76.22,223800.00
2019-07-22 00:00:00,79.07,79.82,78.26,78.41,75.76,143700.00
2019-07-23 00:00:00,78.75,79.21,77.98,79.02,76.35,252900.00
2019-07-24 00:00:00,78.69,80.27,78.18,80.21,77.50,220300.00
2019-07-25 00:00:00,79.99,79.99,78.76,79.11,76.44,205400.00
2019-07-26 00:00:00,79.30,79.61,78.74,79.04,76.37,133000.00
2019-07-29 00:00:00,79.05,79.46,78.43,78.79,76.13,204200.00
2019-07-30 00:00:00,78.09,79.32,77.77,79.00,76.33,180400.00
2019-07-31 00:00:00,81.85,86.97,80.38,85.99,83.08,524500.00
2019-08-01 00:00:00,86.17,86.64,84.50,84.93,82.06,292200.00
2019-08-02 00:00:00,84.35,84.49,83.16,84.23,81.38,166800.00
2019-08-05 00:00:00,82.32,83.16,80.23,81.47,78.72,325100.00
2019-08-06 00:00:00,81.98,83.01,81.25,82.82,80.02,134100.00
2019-08-07 00:00:00,81.54,83.05,81.12,82.42,79.63,180900.00
2019-08-08 00:00:00,83.09,84.29,82.73,84.01,81.17,134800.00
2019-08-09 00:00:00,83.76,84.01,82.47,83.30,80.48,182300.00
2019-08-12 00:00:00,82.75,83.14,81.95,82.06,79.29,105100.00
2019-08-13 00:00:00,82.05,83.87,82.05,82.81,80.01,106500.00
2019-08-14 00:00:00,81.35,81.66,80.10,81.30,78.55,155900.00
2019-08-15 00:00:00,81.49,83.01,81.03,81.82,79.05,170800.00
2019-08-16 00:00:00,82.42,82.89,81.93,82.59,79.80,142900.00
2019-08-19 00:00:00,83.18,83.32,81.99,82.24,79.46,213700.00
2019-08-20 00:00:00,81.89,82.15,81.04,81.48,78.73,214800.00
2019-08-21 00:00:00,82.35,82.46,81.41,81.67,78.91,117500.00
2019-08-22 00:00:00,81.59,82.73,81.58,81.91,79.14,195800.00
2019-08-23 00:00:00,81.19,82.32,78.45,78.74,76.08,214500.00
2019-08-26 00:00:00,79.78,80.00,78.36,79.39,76.71,127800.00
2019-08-27 00:00:00,80.03,80.39,78.61,79.01,76.34,107100.00
2019-08-28 00:00:00,78.61,80.02,77.95,79.87,77.17,112200.00
2019-08-29 00:00:00,80.69,82.50,80.69,82.39,79.61,145500.00
2019-08-30 00:00:00,82.85,83.15,81.98,82.22,79.44,85900.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,82.00,82.00,79.24,79.58,76.89,136100.00
2019-09-04 00:00:00,80.43,80.63,79.26,79.60,76.91,131100.00
