Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,78.54,78.54,76.39,76.58,76.58,1246200.00
2019-06-18 00:00:00,77.55,78.39,77.02,78.24,78.24,1297300.00
2019-06-19 00:00:00,78.52,79.66,78.05,79.58,79.58,939600.00
2019-06-20 00:00:00,80.39,80.78,79.48,79.88,79.88,1147700.00
2019-06-21 00:00:00,79.81,80.00,78.29,78.55,78.55,3469700.00
2019-06-24 00:00:00,78.72,79.33,78.44,78.74,78.74,1069900.00
2019-06-25 00:00:00,78.64,79.54,77.40,77.81,77.81,905900.00
2019-06-26 00:00:00,78.37,79.38,78.37,78.61,78.61,872900.00
2019-06-27 00:00:00,79.08,79.69,78.91,79.42,79.42,633300.00
2019-06-28 00:00:00,79.85,80.22,79.31,80.14,80.14,1163300.00
2019-07-01 00:00:00,81.35,81.56,80.27,80.38,80.38,1018800.00
2019-07-02 00:00:00,80.38,80.96,80.09,80.46,80.46,688600.00
2019-07-03 00:00:00,80.69,81.33,80.68,81.28,81.28,728500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,80.92,81.81,80.50,81.70,81.70,428400.00
2019-07-08 00:00:00,81.02,81.49,80.65,81.19,81.19,701400.00
2019-07-09 00:00:00,80.92,81.49,80.53,81.36,81.36,1889400.00
2019-07-10 00:00:00,81.73,82.38,81.50,81.73,81.73,521900.00
2019-07-11 00:00:00,81.88,82.32,81.40,82.29,82.29,671600.00
2019-07-12 00:00:00,82.41,82.69,81.94,82.46,82.46,785700.00
2019-07-15 00:00:00,82.74,83.67,82.39,83.47,83.47,767300.00
2019-07-16 00:00:00,83.47,83.68,82.76,83.37,83.37,684100.00
2019-07-17 00:00:00,83.56,84.04,83.06,83.83,83.83,1097800.00
2019-07-18 00:00:00,83.37,83.67,82.62,83.50,83.50,1232500.00
2019-07-19 00:00:00,84.00,84.74,83.38,83.45,83.45,1687100.00
2019-07-22 00:00:00,83.90,84.10,82.18,82.66,82.66,1046200.00
2019-07-23 00:00:00,83.16,83.91,82.59,83.20,83.20,939000.00
2019-07-24 00:00:00,82.27,83.49,81.91,83.42,83.42,807800.00
2019-07-25 00:00:00,83.08,83.32,82.23,82.70,82.70,836300.00
2019-07-26 00:00:00,83.08,84.01,83.08,83.92,83.92,934600.00
2019-07-29 00:00:00,84.04,84.40,82.54,83.52,83.52,1020700.00
2019-07-30 00:00:00,83.33,84.33,82.54,84.03,84.03,1552800.00
2019-07-31 00:00:00,85.00,90.76,84.94,88.13,88.13,4730100.00
2019-08-01 00:00:00,88.12,90.36,87.75,90.11,90.11,2975100.00
