Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,97.76,98.26,97.08,97.98,96.81,58600.00
2019-06-18 00:00:00,98.78,100.86,98.28,100.23,99.03,46700.00
2019-06-19 00:00:00,100.02,100.73,99.23,100.55,99.35,37400.00
2019-06-20 00:00:00,101.01,101.28,100.16,101.01,99.81,34400.00
2019-06-21 00:00:00,100.49,100.81,98.58,99.02,97.84,81300.00
2019-06-24 00:00:00,98.99,100.19,98.47,98.74,97.56,73100.00
2019-06-25 00:00:00,98.68,99.43,97.81,98.69,97.51,88800.00
2019-06-26 00:00:00,98.94,99.80,97.16,97.43,96.27,71500.00
2019-06-27 00:00:00,97.73,99.53,96.76,99.36,98.17,78700.00
2019-06-28 00:00:00,99.35,101.40,99.35,99.93,98.74,133200.00
2019-07-01 00:00:00,101.63,101.63,98.60,100.41,99.21,62300.00
2019-07-02 00:00:00,100.18,100.18,96.73,97.39,96.23,85600.00
2019-07-03 00:00:00,97.67,97.67,95.76,96.80,95.65,44500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,96.50,97.15,94.78,96.71,95.56,38600.00
2019-07-08 00:00:00,96.71,97.34,95.38,95.89,94.75,69400.00
2019-07-09 00:00:00,95.14,96.02,93.09,95.02,93.89,78100.00
2019-07-10 00:00:00,95.56,96.42,94.46,95.34,94.20,93200.00
2019-07-11 00:00:00,95.59,96.31,94.46,95.67,94.53,56900.00
2019-07-12 00:00:00,95.74,97.72,95.59,96.84,95.68,68000.00
2019-07-15 00:00:00,97.10,98.65,96.08,97.67,96.62,56800.00
2019-07-16 00:00:00,97.40,99.20,97.40,98.48,97.43,87400.00
2019-07-17 00:00:00,98.05,98.94,96.94,97.80,96.75,55500.00
2019-07-18 00:00:00,97.59,98.59,97.40,97.93,96.88,30600.00
2019-07-19 00:00:00,97.82,98.92,97.38,97.60,96.56,71100.00
2019-07-22 00:00:00,97.60,98.39,95.86,96.09,95.06,53500.00
2019-07-23 00:00:00,96.30,97.54,95.45,97.19,96.15,56200.00
2019-07-24 00:00:00,96.70,97.87,95.65,97.61,96.57,77900.00
2019-07-25 00:00:00,97.81,98.89,96.82,98.53,97.48,59600.00
2019-07-26 00:00:00,98.63,100.20,98.60,99.40,98.34,76600.00
2019-07-29 00:00:00,99.36,100.18,98.29,98.47,97.42,65100.00
2019-07-30 00:00:00,97.94,99.60,97.59,99.53,98.46,81900.00
2019-07-31 00:00:00,99.79,101.40,97.48,97.89,96.84,86700.00
2019-08-01 00:00:00,103.00,109.69,101.85,109.40,108.23,174300.00
2019-08-02 00:00:00,109.16,109.99,107.75,108.81,107.65,82200.00
