Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,53.58,54.89,53.58,54.07,54.07,288700.00
2019-06-18 00:00:00,54.59,55.26,52.85,53.14,53.14,341000.00
2019-06-19 00:00:00,53.40,54.55,53.10,54.42,54.42,299500.00
2019-06-20 00:00:00,55.11,55.60,52.90,53.67,53.67,390200.00
2019-06-21 00:00:00,53.30,53.76,51.87,53.65,53.65,549600.00
2019-06-24 00:00:00,53.61,54.37,52.70,52.72,52.72,270200.00
2019-06-25 00:00:00,52.71,52.90,51.53,52.50,52.50,527200.00
2019-06-26 00:00:00,52.87,53.68,52.21,53.17,53.17,413600.00
2019-06-27 00:00:00,53.39,54.11,52.63,52.92,52.92,385500.00
2019-06-28 00:00:00,53.01,54.13,52.59,53.50,53.50,1094400.00
2019-07-01 00:00:00,54.28,54.75,51.77,52.48,52.48,383800.00
2019-07-02 00:00:00,52.61,52.74,51.60,52.14,52.14,244500.00
2019-07-03 00:00:00,52.39,52.81,52.26,52.73,52.73,103300.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,52.45,52.51,51.55,52.31,52.31,246400.00
2019-07-08 00:00:00,52.21,52.38,50.56,50.79,50.79,391900.00
2019-07-09 00:00:00,50.52,51.47,50.21,51.04,51.04,319700.00
2019-07-10 00:00:00,51.06,51.95,50.89,50.98,50.98,298500.00
2019-07-11 00:00:00,50.98,51.64,50.50,51.13,51.13,355000.00
2019-07-12 00:00:00,51.18,51.44,50.50,50.74,50.74,240000.00
2019-07-15 00:00:00,50.78,51.00,50.08,50.79,50.79,265600.00
2019-07-16 00:00:00,50.41,51.61,50.32,51.26,51.26,328700.00
2019-07-17 00:00:00,51.27,53.10,51.14,51.74,51.74,547100.00
2019-07-18 00:00:00,51.54,52.61,51.32,52.39,52.39,548500.00
2019-07-19 00:00:00,52.43,53.63,51.96,52.20,52.20,497400.00
2019-07-22 00:00:00,52.36,52.73,51.00,51.51,51.51,356500.00
2019-07-23 00:00:00,51.65,51.65,49.76,51.06,51.06,385400.00
2019-07-24 00:00:00,51.07,51.81,50.45,51.63,51.63,165800.00
2019-07-25 00:00:00,51.42,51.42,49.89,49.94,49.94,482500.00
2019-07-26 00:00:00,50.19,51.35,49.95,51.09,51.09,356800.00
2019-07-29 00:00:00,51.07,51.07,49.59,49.99,49.99,330000.00
2019-07-30 00:00:00,49.71,50.61,49.40,50.47,50.47,504000.00
2019-07-31 00:00:00,50.56,50.83,49.46,49.91,49.91,448400.00
2019-08-01 00:00:00,49.87,50.18,48.83,48.99,48.99,435800.00
