Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,40.96,41.49,40.56,41.23,39.90,7695100.00
2019-06-17 00:00:00,41.11,41.20,40.24,40.50,39.20,12453300.00
2019-06-18 00:00:00,40.93,42.60,40.84,42.31,40.95,11291800.00
2019-06-19 00:00:00,42.69,42.84,42.24,42.53,41.16,9333000.00
2019-06-20 00:00:00,43.74,43.99,43.00,43.21,41.82,8633300.00
2019-06-21 00:00:00,42.90,43.20,42.61,42.96,41.58,12096400.00
2019-06-24 00:00:00,42.91,42.93,42.24,42.33,40.97,10997100.00
2019-06-25 00:00:00,42.25,42.70,41.90,41.98,40.63,9637900.00
2019-06-26 00:00:00,43.00,43.80,42.93,43.58,42.18,10023900.00
2019-06-27 00:00:00,43.89,44.87,43.79,44.69,43.25,8894400.00
2019-06-28 00:00:00,45.13,45.39,44.68,44.91,43.47,15599700.00
2019-07-01 00:00:00,46.63,47.55,45.22,45.68,44.21,11452200.00
2019-07-02 00:00:00,45.11,45.22,44.12,44.66,43.22,13869000.00
2019-07-03 00:00:00,44.52,44.78,44.36,44.67,43.23,5559100.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,44.24,44.42,43.56,43.98,42.57,6618200.00
2019-07-08 00:00:00,43.16,43.75,43.06,43.45,42.05,9733000.00
2019-07-09 00:00:00,43.23,44.06,42.88,43.97,42.56,12432400.00
2019-07-10 00:00:00,44.50,45.43,44.45,44.72,43.28,7184700.00
2019-07-11 00:00:00,45.07,45.37,44.37,45.28,43.82,8128500.00
2019-07-12 00:00:00,45.36,46.55,45.36,46.51,45.01,9030900.00
2019-07-15 00:00:00,46.85,47.43,45.92,46.28,44.79,6723200.00
2019-07-16 00:00:00,46.00,46.23,45.50,46.01,44.53,6671000.00
2019-07-17 00:00:00,46.26,46.47,45.62,46.22,44.73,8459900.00
2019-07-18 00:00:00,46.47,48.64,46.38,48.17,46.62,14577100.00
2019-07-19 00:00:00,48.31,48.49,47.66,47.81,46.27,9415200.00
2019-07-22 00:00:00,49.32,50.80,49.21,50.73,49.10,21604000.00
2019-07-23 00:00:00,50.64,51.32,50.12,51.03,49.39,10063900.00
2019-07-24 00:00:00,50.99,52.42,50.76,52.14,50.46,11289800.00
2019-07-25 00:00:00,51.72,51.79,50.67,50.82,49.19,8301000.00
2019-07-26 00:00:00,50.89,51.10,50.46,50.74,49.11,5737600.00
2019-07-29 00:00:00,50.46,50.77,50.06,50.67,49.04,4485700.00
2019-07-30 00:00:00,50.06,51.05,49.91,50.73,49.10,4666300.00
2019-07-31 00:00:00,50.53,50.59,48.69,49.37,47.78,8334800.00
2019-08-01 00:00:00,49.44,51.05,47.91,48.47,46.91,11076800.00
2019-08-02 00:00:00,48.00,48.40,47.19,47.55,46.02,8093900.00
2019-08-05 00:00:00,46.20,46.20,44.97,45.46,44.00,12069900.00
2019-08-06 00:00:00,46.42,46.97,45.68,46.33,44.84,7428200.00
2019-08-07 00:00:00,46.04,46.86,45.75,46.68,45.18,7591400.00
2019-08-08 00:00:00,47.09,47.95,46.89,47.86,46.32,6122900.00
2019-08-09 00:00:00,47.54,47.54,46.56,47.15,45.63,5293200.00
2019-08-12 00:00:00,46.98,47.09,46.23,46.46,44.97,7105200.00
2019-08-13 00:00:00,46.43,48.25,46.07,48.06,46.51,9013700.00
2019-08-14 00:00:00,46.95,47.25,46.39,46.71,45.21,7212300.00
2019-08-15 00:00:00,47.00,47.31,46.50,47.16,45.64,8256800.00
2019-08-16 00:00:00,45.96,46.99,44.62,46.63,45.13,17658200.00
2019-08-19 00:00:00,47.60,47.93,46.80,47.10,45.59,8860000.00
2019-08-20 00:00:00,46.93,47.14,46.51,46.73,45.23,7753800.00
2019-08-21 00:00:00,47.20,47.52,46.73,46.83,45.53,5198200.00
2019-08-22 00:00:00,47.14,47.28,46.44,47.03,45.72,4280700.00
