Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,10.77,10.83,10.61,10.65,9.47,11991200.00
2019-06-18 00:00:00,10.73,10.80,10.66,10.80,9.61,6940300.00
2019-06-19 00:00:00,10.75,10.77,10.46,10.59,9.42,7823900.00
2019-06-20 00:00:00,10.72,10.95,10.71,10.87,9.67,7407700.00
2019-06-21 00:00:00,10.93,11.06,10.85,11.02,9.80,15210900.00
2019-06-24 00:00:00,11.05,11.19,10.79,11.14,9.91,23175800.00
2019-06-25 00:00:00,11.22,11.50,11.15,11.46,10.19,12362000.00
2019-06-26 00:00:00,11.40,11.54,11.33,11.51,10.24,9356100.00
2019-06-27 00:00:00,11.57,11.60,11.47,11.49,10.22,5419300.00
2019-06-28 00:00:00,11.41,11.50,11.37,11.49,10.22,7604500.00
2019-07-01 00:00:00,11.38,11.43,11.30,11.43,10.17,7799200.00
2019-07-02 00:00:00,11.47,11.60,11.45,11.58,10.30,6608700.00
2019-07-03 00:00:00,11.76,11.77,11.65,11.68,10.39,3013500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,11.58,11.65,11.55,11.61,10.33,3565100.00
2019-07-08 00:00:00,11.48,11.51,11.35,11.44,10.18,3031000.00
2019-07-09 00:00:00,11.28,11.28,10.94,11.02,9.80,6699100.00
2019-07-10 00:00:00,11.03,11.11,10.94,10.96,9.75,3642400.00
2019-07-11 00:00:00,10.94,11.08,10.87,11.08,9.85,4404500.00
2019-07-12 00:00:00,11.10,11.16,10.99,11.15,9.92,5162600.00
2019-07-15 00:00:00,11.00,11.08,10.90,11.08,9.85,3025200.00
2019-07-16 00:00:00,11.09,11.09,10.82,10.90,9.69,5764900.00
2019-07-17 00:00:00,10.93,11.23,10.89,11.18,9.94,8203900.00
2019-07-18 00:00:00,11.17,11.37,10.88,11.28,10.03,8115300.00
2019-07-19 00:00:00,11.33,11.41,11.24,11.27,10.02,3358100.00
2019-07-22 00:00:00,11.07,11.07,10.66,10.74,9.55,8515500.00
2019-07-23 00:00:00,10.80,10.88,10.76,10.86,9.66,2969500.00
2019-07-24 00:00:00,10.84,10.90,10.67,10.79,9.60,3836800.00
2019-07-25 00:00:00,10.76,11.10,10.76,10.98,9.77,5477800.00
2019-07-26 00:00:00,10.93,11.13,10.83,10.96,9.75,3171800.00
2019-07-29 00:00:00,10.96,10.96,10.77,10.87,9.67,1736600.00
2019-07-30 00:00:00,10.79,10.82,10.52,10.61,9.44,3826500.00
2019-07-31 00:00:00,10.65,10.95,10.58,10.60,9.43,6685900.00
2019-08-01 00:00:00,10.61,10.74,10.48,10.51,9.35,3703200.00
