Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,30.70,30.96,30.02,30.36,30.36,70373000.00
2019-06-17 00:00:00,30.25,30.45,29.18,29.20,29.20,70865700.00
2019-06-18 00:00:00,29.76,30.97,29.58,30.45,30.45,86444500.00
2019-06-19 00:00:00,30.67,30.79,30.06,30.50,30.50,63233900.00
2019-06-20 00:00:00,31.24,31.36,29.84,30.01,30.01,72418200.00
2019-06-21 00:00:00,29.65,30.35,28.97,29.10,29.10,81861300.00
2019-06-24 00:00:00,29.32,29.40,28.67,29.26,29.26,55724800.00
2019-06-25 00:00:00,29.26,29.72,28.80,28.86,28.86,53680900.00
2019-06-26 00:00:00,29.98,30.48,29.78,29.92,29.92,65064200.00
2019-06-27 00:00:00,30.41,30.96,30.21,30.74,30.74,55623300.00
2019-06-28 00:00:00,31.08,31.11,30.33,30.37,30.37,50090900.00
2019-07-01 00:00:00,31.79,32.04,30.87,31.20,31.20,60275900.00
2019-07-02 00:00:00,30.96,31.26,30.73,31.24,31.24,37721700.00
2019-07-03 00:00:00,31.13,31.33,30.74,31.19,31.19,23462000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,30.88,31.56,30.75,31.50,31.50,34011900.00
2019-07-08 00:00:00,31.80,32.15,31.26,32.04,32.04,49689400.00
2019-07-09 00:00:00,31.76,33.18,30.10,33.15,33.15,61419800.00
2019-07-10 00:00:00,33.56,34.03,33.36,33.79,33.79,60388400.00
2019-07-11 00:00:00,33.91,34.00,32.76,33.06,33.06,63081800.00
2019-07-12 00:00:00,32.76,33.39,32.59,33.21,33.21,51509700.00
2019-07-15 00:00:00,33.34,34.55,33.27,34.39,34.39,65565200.00
2019-07-16 00:00:00,34.30,34.86,33.80,33.85,33.85,66912700.00
2019-07-17 00:00:00,34.01,34.30,33.49,33.60,33.60,42557900.00
2019-07-18 00:00:00,33.03,33.46,32.42,33.00,33.00,58473900.00
2019-07-19 00:00:00,33.08,33.35,32.45,32.51,32.51,44617700.00
2019-07-22 00:00:00,32.80,33.31,32.74,32.85,32.85,37777300.00
2019-07-23 00:00:00,33.17,33.50,32.93,33.49,33.49,38532500.00
2019-07-24 00:00:00,33.64,34.36,33.45,34.11,34.11,41952300.00
2019-07-25 00:00:00,34.05,34.25,33.62,33.67,33.67,36705600.00
2019-07-26 00:00:00,34.23,34.77,33.87,34.02,34.02,43502800.00
2019-07-29 00:00:00,34.14,34.18,32.98,33.48,33.48,45922000.00
2019-07-30 00:00:00,33.21,33.94,32.94,33.87,33.87,72198900.00
2019-07-31 00:00:00,32.08,32.30,30.30,30.45,30.45,119190000.00
2019-08-01 00:00:00,30.50,31.48,29.10,29.86,29.86,80878900.00
2019-08-02 00:00:00,29.48,29.73,28.94,29.44,29.44,60410900.00
2019-08-05 00:00:00,28.26,28.49,27.65,27.99,27.99,74333200.00
2019-08-06 00:00:00,28.86,29.05,28.20,28.86,28.86,60578400.00
2019-08-07 00:00:00,28.47,29.28,28.37,29.19,29.19,58577500.00
2019-08-08 00:00:00,31.53,34.27,31.48,33.92,33.92,167278800.00
2019-08-09 00:00:00,33.45,35.55,33.08,34.19,34.19,132483900.00
2019-08-12 00:00:00,34.16,34.65,32.08,32.43,32.43,106936000.00
2019-08-13 00:00:00,32.36,33.14,31.72,32.11,32.11,102009700.00
2019-08-14 00:00:00,31.00,31.05,29.51,30.24,30.24,127521500.00
2019-08-15 00:00:00,30.63,30.73,29.21,29.67,29.67,71674400.00
2019-08-16 00:00:00,30.31,31.48,30.21,31.18,31.18,70469800.00
2019-08-19 00:00:00,32.00,32.19,31.42,31.48,31.48,67596900.00
2019-08-20 00:00:00,30.94,31.31,30.45,30.72,30.72,47924000.00
2019-08-21 00:00:00,31.05,31.74,30.84,31.70,31.70,41441500.00
2019-08-22 00:00:00,31.76,31.92,30.98,31.90,31.90,47667900.00
2019-08-23 00:00:00,31.30,31.83,29.40,29.54,29.54,83681100.00
2019-08-26 00:00:00,30.34,30.72,29.94,30.28,30.28,50612500.00
2019-08-27 00:00:00,30.60,30.89,29.60,30.20,30.20,53229200.00
2019-08-28 00:00:00,29.92,31.18,29.70,30.78,30.78,55835900.00
2019-08-29 00:00:00,31.47,31.83,31.33,31.45,31.45,44422800.00
2019-08-30 00:00:00,31.60,31.87,31.13,31.45,31.45,40307000.00
2019-09-02 00:00:00,,,,,,
