Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,85.19,85.41,84.39,84.45,83.05,1118300.00
2019-06-18 00:00:00,85.08,86.66,84.93,86.51,85.07,1325800.00
2019-06-19 00:00:00,86.85,86.96,85.71,86.80,85.36,882600.00
2019-06-20 00:00:00,87.00,88.74,86.78,88.58,87.11,1159100.00
2019-06-21 00:00:00,88.49,89.82,87.75,87.76,86.30,1715800.00
2019-06-24 00:00:00,87.68,88.44,87.46,87.85,86.39,650200.00
2019-06-25 00:00:00,88.11,88.14,87.49,87.56,86.10,573900.00
2019-06-26 00:00:00,87.68,88.12,87.41,87.83,86.37,706100.00
2019-06-27 00:00:00,88.13,89.19,87.82,88.26,86.79,671700.00
2019-06-28 00:00:00,88.79,90.87,88.40,90.84,89.33,4909400.00
2019-07-01 00:00:00,91.76,92.30,90.75,92.11,90.58,1684400.00
2019-07-02 00:00:00,92.08,92.13,90.73,91.22,89.70,1288300.00
2019-07-03 00:00:00,91.28,91.91,91.00,91.91,90.38,452100.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,91.09,91.39,89.65,91.09,89.58,652200.00
2019-07-08 00:00:00,90.78,91.39,90.48,90.60,89.09,1025700.00
2019-07-09 00:00:00,89.93,90.59,89.84,90.37,88.87,1992600.00
2019-07-10 00:00:00,90.77,91.00,89.55,89.58,88.09,1500800.00
2019-07-11 00:00:00,89.65,90.01,88.91,89.59,88.10,1707800.00
2019-07-12 00:00:00,90.18,91.18,90.18,91.00,89.49,1154300.00
2019-07-15 00:00:00,91.19,91.28,90.65,90.98,89.47,1005500.00
2019-07-16 00:00:00,91.10,91.44,90.65,91.30,89.78,978200.00
2019-07-17 00:00:00,91.23,91.28,89.25,89.28,87.80,1028100.00
2019-07-18 00:00:00,89.30,89.43,88.50,88.90,87.42,1630800.00
2019-07-19 00:00:00,89.22,89.68,88.66,88.71,87.24,1169600.00
2019-07-22 00:00:00,88.70,89.20,88.42,88.61,87.14,833100.00
2019-07-23 00:00:00,89.10,89.96,88.82,89.80,88.31,2048100.00
2019-07-24 00:00:00,89.21,90.11,88.84,89.98,88.48,764100.00
2019-07-25 00:00:00,89.86,89.87,88.91,89.23,87.75,970200.00
2019-07-26 00:00:00,89.08,89.43,88.59,89.28,87.80,1580400.00
2019-07-29 00:00:00,89.21,89.21,88.25,88.55,87.08,1606700.00
2019-07-30 00:00:00,88.99,92.14,88.27,90.75,89.24,1561900.00
2019-07-31 00:00:00,91.31,91.52,88.66,89.61,88.12,1271200.00
2019-08-01 00:00:00,89.30,90.69,88.14,88.32,86.85,1379200.00
