Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,152.98,153.37,147.53,147.79,139.07,1402300.00
2019-06-18 00:00:00,148.20,152.59,147.49,150.04,141.19,1027700.00
2019-06-19 00:00:00,150.39,151.00,147.84,148.09,139.36,800700.00
2019-06-20 00:00:00,149.58,149.97,145.82,149.29,140.49,1083700.00
2019-06-21 00:00:00,149.45,150.02,146.65,146.77,138.11,1360500.00
2019-06-24 00:00:00,146.70,149.08,146.06,147.72,139.01,742000.00
2019-06-25 00:00:00,147.60,147.71,143.24,143.70,135.23,1096100.00
2019-06-26 00:00:00,144.36,146.84,143.29,146.12,137.50,1221700.00
2019-06-27 00:00:00,145.33,145.85,143.84,144.03,135.54,1209000.00
2019-06-28 00:00:00,145.82,146.93,144.70,145.16,136.60,1383500.00
2019-07-01 00:00:00,147.56,148.49,144.29,145.75,137.15,1591000.00
2019-07-02 00:00:00,145.51,146.71,145.01,146.02,137.41,947100.00
2019-07-03 00:00:00,147.15,148.25,146.43,147.82,139.10,633700.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,148.31,150.13,147.53,150.12,141.27,724200.00
2019-07-08 00:00:00,148.86,150.01,148.09,148.94,140.16,841200.00
2019-07-09 00:00:00,147.60,150.50,147.32,150.20,141.34,748300.00
2019-07-10 00:00:00,150.49,151.65,147.99,148.32,139.57,523800.00
2019-07-11 00:00:00,149.14,150.61,147.58,150.42,141.55,573500.00
2019-07-12 00:00:00,150.47,151.33,149.78,151.14,142.23,403400.00
2019-07-15 00:00:00,151.94,151.94,149.67,150.29,141.43,512500.00
2019-07-16 00:00:00,150.68,151.64,149.97,150.89,141.99,635700.00
2019-07-17 00:00:00,150.38,150.76,148.07,148.47,139.71,653300.00
2019-07-18 00:00:00,147.82,150.64,147.38,150.08,141.23,698000.00
2019-07-19 00:00:00,150.76,151.23,148.63,148.66,139.89,711300.00
2019-07-22 00:00:00,148.80,149.03,146.26,147.83,139.11,738400.00
2019-07-23 00:00:00,148.71,149.62,148.43,149.09,140.30,594800.00
2019-07-24 00:00:00,148.16,151.93,148.16,151.47,142.54,809700.00
2019-07-25 00:00:00,151.23,151.51,144.89,146.97,138.30,1549200.00
2019-07-26 00:00:00,147.68,150.33,146.22,149.93,141.09,1020300.00
2019-07-29 00:00:00,149.78,151.28,148.98,149.74,140.91,803000.00
2019-07-30 00:00:00,148.26,148.70,146.88,148.53,139.77,533500.00
2019-07-31 00:00:00,148.38,148.76,144.07,145.51,136.93,795800.00
2019-08-01 00:00:00,144.87,145.60,139.79,140.56,132.27,1042200.00
