Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,211.72,214.69,211.30,214.09,203.37,1780900.00
2019-06-18 00:00:00,214.30,215.96,213.33,214.39,204.53,1696600.00
2019-06-19 00:00:00,213.51,217.04,213.19,216.17,206.23,1421300.00
2019-06-20 00:00:00,216.16,218.79,215.90,217.52,207.52,1839900.00
2019-06-21 00:00:00,217.46,217.93,214.24,215.18,205.29,2420400.00
2019-06-24 00:00:00,215.81,216.00,213.97,214.55,204.69,1064000.00
2019-06-25 00:00:00,215.04,215.41,210.69,210.81,201.12,1542400.00
2019-06-26 00:00:00,210.86,210.86,205.23,205.80,196.34,2434100.00
2019-06-27 00:00:00,206.93,208.20,205.55,205.85,196.39,2044600.00
2019-06-28 00:00:00,206.06,206.88,203.62,204.45,195.05,2965500.00
2019-07-01 00:00:00,205.00,205.50,199.48,202.30,193.00,3039800.00
2019-07-02 00:00:00,202.92,206.23,202.68,205.63,196.18,3224300.00
2019-07-03 00:00:00,206.41,211.89,206.40,210.17,200.51,1408700.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,209.00,210.27,206.21,209.04,199.43,1735500.00
2019-07-08 00:00:00,208.89,210.40,208.31,208.95,199.34,1227600.00
2019-07-09 00:00:00,209.47,211.64,208.81,211.31,201.59,1483200.00
2019-07-10 00:00:00,211.88,212.43,210.04,211.53,201.80,1858600.00
2019-07-11 00:00:00,211.64,211.64,208.09,209.26,199.64,1398200.00
2019-07-12 00:00:00,209.52,209.52,207.42,208.98,199.37,1263300.00
2019-07-15 00:00:00,210.33,211.35,208.98,210.70,201.01,1640300.00
2019-07-16 00:00:00,211.18,211.59,209.02,209.31,199.69,1430600.00
2019-07-17 00:00:00,210.07,211.54,207.82,208.74,199.14,1395000.00
2019-07-18 00:00:00,208.65,209.41,205.01,208.66,199.07,1279400.00
2019-07-19 00:00:00,209.15,209.43,205.29,205.56,196.11,1847200.00
2019-07-22 00:00:00,205.95,207.16,204.68,206.70,197.20,1259200.00
2019-07-23 00:00:00,206.52,207.74,205.48,206.80,197.29,1165300.00
2019-07-24 00:00:00,206.82,207.29,204.58,204.79,195.37,1932400.00
2019-07-25 00:00:00,207.03,207.03,203.83,205.42,195.98,1058800.00
2019-07-26 00:00:00,205.50,206.08,203.65,204.59,195.18,1336800.00
2019-07-29 00:00:00,204.67,207.00,204.15,205.57,196.12,1875400.00
2019-07-30 00:00:00,206.54,209.00,205.59,208.65,199.06,2080100.00
2019-07-31 00:00:00,209.62,213.68,209.35,211.62,201.89,2845100.00
2019-08-01 00:00:00,210.11,213.86,208.50,211.41,201.69,1691400.00
