Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,59.22,60.29,59.22,59.65,59.65,3609200.00
2019-06-18 00:00:00,60.33,61.81,60.33,60.51,60.51,2744000.00
2019-06-19 00:00:00,61.01,61.48,60.51,60.79,60.79,2531600.00
2019-06-20 00:00:00,62.00,62.62,61.01,62.18,62.18,2820800.00
2019-06-21 00:00:00,62.23,63.65,62.02,63.35,63.35,5910000.00
2019-06-24 00:00:00,63.32,63.81,62.73,63.02,63.02,3478000.00
2019-06-25 00:00:00,62.93,62.97,61.35,61.60,61.60,2298800.00
2019-06-26 00:00:00,62.69,64.49,62.25,63.83,63.83,5748400.00
2019-06-27 00:00:00,64.20,65.64,64.16,64.50,64.50,4598000.00
2019-06-28 00:00:00,64.75,65.11,63.72,64.90,64.90,3255600.00
2019-07-01 00:00:00,66.37,66.74,65.34,65.71,65.71,2659200.00
2019-07-02 00:00:00,65.71,66.49,65.35,66.32,66.32,2280400.00
2019-07-03 00:00:00,66.47,67.24,66.16,67.21,67.21,3322800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,67.03,67.78,66.49,67.68,67.68,2286400.00
2019-07-08 00:00:00,67.36,67.44,66.54,67.00,67.00,2460000.00
2019-07-09 00:00:00,66.50,67.79,66.32,67.64,67.64,2102400.00
2019-07-10 00:00:00,68.04,68.60,67.40,67.60,67.60,1854400.00
2019-07-11 00:00:00,67.84,68.14,67.09,67.97,67.97,2143600.00
2019-07-12 00:00:00,68.00,69.03,68.00,68.57,68.57,1826800.00
2019-07-15 00:00:00,69.08,69.55,68.62,69.41,69.41,2562800.00
2019-07-16 00:00:00,69.00,69.50,68.16,68.88,68.88,2559600.00
2019-07-17 00:00:00,68.90,70.16,68.78,69.36,69.36,2388400.00
2019-07-18 00:00:00,69.32,69.62,68.35,68.87,68.87,2949600.00
2019-07-19 00:00:00,70.53,71.90,69.64,70.68,70.68,4134000.00
2019-07-22 00:00:00,70.96,72.36,70.68,71.84,71.84,2688800.00
2019-07-23 00:00:00,72.11,72.20,68.48,69.09,69.09,5121600.00
2019-07-24 00:00:00,69.26,69.96,69.12,69.80,69.80,3024000.00
2019-07-25 00:00:00,69.66,69.75,65.68,66.85,66.85,5055200.00
2019-07-26 00:00:00,67.19,68.46,66.64,68.25,68.25,2710000.00
2019-07-29 00:00:00,68.12,68.17,66.57,68.06,68.06,2686000.00
2019-07-30 00:00:00,68.06,68.97,67.39,68.57,68.57,2571600.00
2019-07-31 00:00:00,68.57,69.81,67.79,68.36,68.36,2749600.00
2019-08-01 00:00:00,68.31,69.62,67.09,68.06,68.06,4715200.00
