Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,197.24,200.99,196.67,198.72,198.72,379700.00
2019-06-18 00:00:00,200.36,204.21,199.91,201.89,201.89,415300.00
2019-06-19 00:00:00,202.91,204.41,201.21,204.05,204.05,306200.00
2019-06-20 00:00:00,206.03,208.56,203.18,203.70,203.70,393800.00
2019-06-21 00:00:00,203.99,204.29,200.79,200.96,200.96,661500.00
2019-06-24 00:00:00,201.30,203.68,200.56,201.39,201.39,349300.00
2019-06-25 00:00:00,200.93,201.29,196.16,196.45,196.45,466800.00
2019-06-26 00:00:00,197.88,199.88,197.00,198.68,198.68,520600.00
2019-06-27 00:00:00,199.55,202.36,199.23,200.87,200.87,288200.00
2019-06-28 00:00:00,201.42,205.00,201.30,204.82,204.82,674400.00
2019-07-01 00:00:00,208.33,211.63,206.58,208.11,208.11,473900.00
2019-07-02 00:00:00,208.85,209.39,205.83,206.59,206.59,367200.00
2019-07-03 00:00:00,207.47,209.80,207.15,209.33,209.33,222000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,207.38,209.64,205.12,209.51,209.51,242700.00
2019-07-08 00:00:00,208.66,209.48,206.52,207.93,207.93,355900.00
2019-07-09 00:00:00,207.04,207.44,205.55,206.72,206.72,506100.00
2019-07-10 00:00:00,207.96,210.29,207.55,209.55,209.55,357800.00
2019-07-11 00:00:00,209.83,211.76,208.52,211.30,211.30,379500.00
2019-07-12 00:00:00,211.32,212.66,209.68,212.28,212.28,255400.00
2019-07-15 00:00:00,212.83,212.94,210.22,210.92,210.92,469300.00
2019-07-16 00:00:00,211.51,211.51,208.86,209.74,209.74,298000.00
2019-07-17 00:00:00,209.54,211.27,209.54,209.70,209.70,343400.00
2019-07-18 00:00:00,208.89,209.68,206.38,207.56,207.56,575500.00
2019-07-19 00:00:00,209.64,211.11,207.97,208.10,208.10,418000.00
2019-07-22 00:00:00,210.13,212.71,209.47,211.50,211.50,392900.00
2019-07-23 00:00:00,212.33,213.89,209.63,213.24,213.24,304500.00
2019-07-24 00:00:00,213.19,215.39,212.12,214.95,214.95,404400.00
2019-07-25 00:00:00,214.07,215.03,212.90,213.24,213.24,368600.00
2019-07-26 00:00:00,214.22,215.03,212.95,213.15,213.15,222800.00
2019-07-29 00:00:00,213.59,214.97,207.96,210.66,210.66,247300.00
2019-07-30 00:00:00,208.52,210.04,207.13,207.80,207.80,275700.00
2019-07-31 00:00:00,208.35,208.35,200.81,203.12,203.12,358600.00
2019-08-01 00:00:00,203.32,206.45,200.28,201.21,201.21,472700.00
2019-08-02 00:00:00,199.46,200.26,193.95,195.35,195.35,579500.00
