Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,45.14,45.73,44.99,45.53,43.07,1582700.00
2019-06-17 00:00:00,45.55,45.80,45.33,45.41,42.96,1691600.00
2019-06-18 00:00:00,45.67,46.33,45.18,45.25,42.80,2038800.00
2019-06-19 00:00:00,45.35,45.41,44.72,45.33,42.88,1210300.00
2019-06-20 00:00:00,45.90,45.93,45.06,45.82,43.34,1525600.00
2019-06-21 00:00:00,45.84,46.19,45.49,45.97,43.48,2274100.00
2019-06-24 00:00:00,46.07,46.52,45.83,45.87,43.39,1526700.00
2019-06-25 00:00:00,45.84,46.24,45.72,46.09,43.60,1023400.00
2019-06-26 00:00:00,46.18,46.40,45.85,46.18,43.68,1311500.00
2019-06-27 00:00:00,46.33,46.68,45.95,46.08,43.59,1309700.00
2019-06-28 00:00:00,46.27,47.31,46.09,47.16,44.61,3325500.00
2019-07-01 00:00:00,48.00,48.01,46.68,46.93,44.39,1596500.00
2019-07-02 00:00:00,46.77,47.12,46.35,46.99,44.45,1525900.00
2019-07-03 00:00:00,47.11,47.11,46.54,46.79,44.26,816700.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,46.50,47.07,46.10,47.01,44.47,825200.00
2019-07-08 00:00:00,46.63,46.70,45.05,45.21,42.77,1971500.00
2019-07-09 00:00:00,45.21,45.50,44.65,45.06,42.62,2025600.00
2019-07-10 00:00:00,45.19,45.25,44.14,44.77,42.35,1830700.00
2019-07-11 00:00:00,44.90,45.05,44.14,44.32,41.92,1590400.00
2019-07-12 00:00:00,44.39,45.50,44.12,45.19,42.75,1379400.00
2019-07-15 00:00:00,45.23,45.28,43.77,44.60,42.19,1646900.00
2019-07-16 00:00:00,44.68,45.28,44.29,45.20,42.76,1584500.00
2019-07-17 00:00:00,45.21,45.23,44.44,44.45,42.05,1851500.00
2019-07-18 00:00:00,44.45,44.58,43.89,43.99,41.61,1427500.00
2019-07-19 00:00:00,44.33,44.47,43.57,43.58,41.22,1550600.00
2019-07-22 00:00:00,43.59,44.09,43.27,43.41,41.06,1246800.00
2019-07-23 00:00:00,43.74,44.76,43.67,44.67,42.26,1966800.00
2019-07-24 00:00:00,44.60,45.23,44.51,45.14,42.70,1529100.00
2019-07-25 00:00:00,45.16,45.74,44.95,45.08,42.64,1488900.00
2019-07-26 00:00:00,45.12,45.12,44.36,44.88,42.45,2323600.00
2019-07-29 00:00:00,44.75,45.08,43.68,43.82,41.45,3026800.00
2019-07-30 00:00:00,41.86,45.35,41.01,45.29,43.06,6616300.00
2019-07-31 00:00:00,45.40,46.44,44.46,45.45,43.21,5941500.00
2019-08-01 00:00:00,45.45,45.78,43.38,43.69,41.54,2526800.00
2019-08-02 00:00:00,43.50,44.14,43.17,43.74,41.58,1433400.00
2019-08-05 00:00:00,42.91,43.67,42.54,43.65,41.50,4015200.00
2019-08-06 00:00:00,43.80,44.92,43.61,44.90,42.69,2390300.00
2019-08-07 00:00:00,44.45,45.57,44.11,45.41,43.17,3431400.00
2019-08-08 00:00:00,45.47,46.07,44.81,45.91,43.65,2669800.00
2019-08-09 00:00:00,45.86,45.96,45.30,45.53,43.29,1230500.00
2019-08-12 00:00:00,45.38,45.63,45.14,45.50,43.26,1846300.00
2019-08-13 00:00:00,45.52,46.83,45.37,45.57,43.32,1602700.00
2019-08-14 00:00:00,44.96,45.10,44.54,44.85,42.64,2931100.00
2019-08-15 00:00:00,45.22,46.26,44.86,46.10,43.83,2826600.00
2019-08-16 00:00:00,46.42,46.89,44.86,46.27,43.99,1981000.00
2019-08-19 00:00:00,46.84,47.36,46.29,46.60,44.30,2248300.00
2019-08-20 00:00:00,46.48,46.69,46.12,46.18,43.90,1022700.00
2019-08-21 00:00:00,46.73,46.92,46.55,46.82,44.51,829700.00
2019-08-22 00:00:00,46.99,47.14,46.12,46.46,44.17,877600.00
2019-08-23 00:00:00,46.26,46.26,44.79,45.01,42.79,1543200.00
2019-08-26 00:00:00,45.42,45.50,44.73,45.20,42.97,1061500.00
2019-08-27 00:00:00,45.35,45.46,44.47,44.48,42.29,1279000.00
2019-08-28 00:00:00,44.33,45.21,44.07,45.09,42.87,691500.00
2019-08-29 00:00:00,45.59,46.30,45.34,46.13,43.86,802000.00
2019-08-30 00:00:00,46.48,46.91,46.38,46.52,44.23,648900.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,46.12,46.19,45.32,45.60,43.35,780600.00
2019-09-04 00:00:00,46.12,46.46,45.82,46.30,44.02,637500.00
2019-09-05 00:00:00,46.83,47.89,46.70,47.62,45.27,1085500.00
2019-09-06 00:00:00,47.86,48.13,47.56,47.81,45.45,1015000.00
2019-09-09 00:00:00,48.09,49.24,47.90,49.10,46.68,1223700.00
2019-09-10 00:00:00,49.00,49.83,48.85,49.72,47.27,2429600.00
2019-09-11 00:00:00,49.92,50.87,49.36,50.84,48.33,2260400.00
2019-09-12 00:00:00,51.53,51.78,50.43,51.71,49.16,1648200.00
2019-09-13 00:00:00,51.92,51.94,50.18,50.24,47.76,2247500.00
2019-09-16 00:00:00,49.94,50.01,48.62,48.75,46.35,2263500.00
2019-09-17 00:00:00,48.50,49.31,48.08,49.16,46.74,1476500.00
2019-09-18 00:00:00,48.98,49.25,48.09,48.80,46.39,946000.00
2019-09-19 00:00:00,48.89,49.07,48.36,48.49,46.10,971400.00
2019-09-20 00:00:00,48.59,48.73,47.36,47.48,45.14,1968000.00
2019-09-23 00:00:00,47.00,47.96,46.86,47.77,45.42,845500.00
2019-09-24 00:00:00,47.95,48.24,46.90,47.36,45.03,912100.00
2019-09-25 00:00:00,47.37,48.03,47.13,47.98,45.62,776100.00
2019-09-26 00:00:00,47.82,47.92,47.16,47.49,45.15,1017700.00
2019-09-27 00:00:00,47.69,47.96,47.04,47.66,45.31,916900.00
2019-09-30 00:00:00,47.95,48.10,47.52,47.71,45.36,971400.00
2019-10-01 00:00:00,48.10,48.87,46.77,46.81,44.50,719300.00
2019-10-02 00:00:00,46.23,46.38,44.88,45.19,42.96,1664400.00
2019-10-03 00:00:00,45.00,45.10,44.11,45.00,42.78,1554600.00
2019-10-04 00:00:00,45.04,45.60,44.99,45.51,43.27,1447900.00
2019-10-07 00:00:00,45.26,45.98,45.07,45.13,42.91,1288500.00
2019-10-08 00:00:00,44.82,45.76,44.75,45.24,43.01,1321600.00
2019-10-09 00:00:00,45.59,45.69,44.95,45.46,43.22,1004900.00
2019-10-10 00:00:00,45.46,46.67,45.46,46.34,44.06,1041500.00
2019-10-11 00:00:00,47.08,48.52,47.04,47.99,45.62,1266100.00
2019-10-14 00:00:00,47.63,48.02,47.35,47.73,45.38,751300.00
2019-10-15 00:00:00,47.73,48.59,47.47,48.45,46.06,925200.00
2019-10-16 00:00:00,48.28,48.98,48.28,48.81,46.40,1405000.00
2019-10-17 00:00:00,49.25,50.19,49.25,50.02,47.55,1002200.00
2019-10-18 00:00:00,50.10,51.05,49.76,51.01,48.50,1783800.00
2019-10-21 00:00:00,51.41,51.78,50.82,51.10,48.58,1467100.00
2019-10-22 00:00:00,51.15,52.03,50.40,51.74,49.19,1351000.00
2019-10-23 00:00:00,51.57,51.70,50.52,50.85,48.34,1195400.00
2019-10-24 00:00:00,51.03,51.16,50.35,50.92,48.41,723100.00
2019-10-25 00:00:00,50.71,51.64,50.71,51.07,48.55,1166800.00
2019-10-28 00:00:00,51.09,51.48,50.37,51.35,48.82,2195900.00
2019-10-29 00:00:00,49.50,50.67,48.82,49.23,46.80,3869600.00
2019-10-30 00:00:00,48.69,50.60,48.48,50.38,48.13,1725400.00
2019-10-31 00:00:00,50.42,50.42,49.21,49.68,47.46,2141600.00
2019-11-01 00:00:00,50.18,50.51,49.82,50.28,48.04,1265300.00
2019-11-04 00:00:00,50.70,50.96,50.39,50.86,48.59,1074500.00
2019-11-05 00:00:00,51.00,51.94,50.94,51.89,49.57,2140000.00
2019-11-06 00:00:00,51.72,52.07,51.29,52.03,49.71,1091600.00
2019-11-07 00:00:00,52.46,52.61,51.65,51.87,49.56,657300.00
2019-11-08 00:00:00,51.91,52.20,51.71,52.08,49.76,980500.00
2019-11-11 00:00:00,51.81,52.14,51.56,51.75,49.44,801800.00
2019-11-12 00:00:00,51.87,52.36,51.61,52.05,49.73,917900.00
2019-11-13 00:00:00,51.82,52.02,51.43,51.78,49.47,449900.00
2019-11-14 00:00:00,51.56,51.88,51.37,51.52,49.22,817600.00
2019-11-15 00:00:00,51.94,52.07,50.65,50.78,48.51,1149800.00
2019-11-18 00:00:00,50.47,50.84,49.05,49.25,47.05,1308100.00
2019-11-19 00:00:00,49.32,49.42,48.03,48.27,46.12,1860200.00
2019-11-20 00:00:00,48.06,48.55,47.77,48.09,45.94,1321500.00
2019-11-21 00:00:00,48.08,48.64,47.97,48.45,46.29,918100.00
2019-11-22 00:00:00,48.54,48.54,47.78,48.20,46.05,1090700.00
2019-11-25 00:00:00,48.22,49.00,48.22,48.76,46.58,1123800.00
2019-11-26 00:00:00,48.84,48.84,48.33,48.69,46.52,1057200.00
2019-11-27 00:00:00,48.69,49.13,48.62,48.74,46.56,1036900.00
2019-11-28 00:00:00,,,,,,
2019-11-29 00:00:00,48.73,48.93,48.30,48.40,46.24,470500.00
2019-12-02 00:00:00,48.50,48.68,47.32,47.33,45.22,1417100.00
2019-12-03 00:00:00,46.91,47.35,46.53,46.70,44.62,1190500.00
2019-12-04 00:00:00,46.81,47.39,46.18,46.37,44.30,1846600.00
2019-12-05 00:00:00,46.51,47.00,46.00,46.90,44.81,4033000.00
2019-12-06 00:00:00,47.08,47.50,46.75,46.79,44.70,1349500.00
2019-12-09 00:00:00,46.30,46.40,45.36,45.38,43.35,1966700.00
2019-12-10 00:00:00,45.47,45.66,44.90,45.39,43.36,2407800.00
2019-12-11 00:00:00,45.53,45.69,44.95,45.52,43.49,1899000.00
2019-12-12 00:00:00,45.50,46.89,45.26,46.79,44.70,2008700.00
2019-12-13 00:00:00,47.11,47.78,46.27,46.52,44.44,1929000.00
2019-12-16 00:00:00,46.80,47.05,46.16,46.19,44.13,1094300.00
2019-12-17 00:00:00,46.27,47.03,46.15,46.81,44.72,1349800.00
2019-12-18 00:00:00,46.83,47.20,46.31,47.13,45.03,1460900.00
2019-12-19 00:00:00,47.14,47.66,46.94,47.35,45.24,1024300.00
2019-12-20 00:00:00,47.76,47.79,47.33,47.42,45.30,1827600.00
2019-12-23 00:00:00,47.69,47.73,47.01,47.14,45.04,1113700.00
2019-12-24 00:00:00,47.11,47.63,47.04,47.50,45.38,428000.00
2019-12-25 00:00:00,,,,,,
2019-12-26 00:00:00,47.51,47.76,47.22,47.74,45.61,703100.00
2019-12-27 00:00:00,47.87,48.04,47.68,47.81,45.68,629200.00
2019-12-30 00:00:00,47.85,48.06,47.53,47.57,45.45,582900.00
2019-12-31 00:00:00,47.60,48.02,47.51,47.64,45.51,564700.00
2020-01-02 00:00:00,47.91,47.98,47.21,47.77,45.64,1093200.00
2020-01-03 00:00:00,47.16,47.50,46.75,47.35,45.24,883200.00
2020-01-06 00:00:00,47.13,47.67,46.76,47.65,45.52,1088400.00
2020-01-07 00:00:00,47.40,47.74,47.14,47.33,45.22,868200.00
2020-01-08 00:00:00,47.42,47.81,47.19,47.26,45.15,1119100.00
2020-01-09 00:00:00,47.50,47.52,46.67,47.05,44.95,1065800.00
2020-01-10 00:00:00,47.14,48.01,46.95,47.62,45.49,1707100.00
2020-01-13 00:00:00,47.77,48.59,47.64,48.54,46.37,1448000.00
2020-01-14 00:00:00,48.41,48.57,47.20,47.24,45.13,2155800.00
2020-01-15 00:00:00,47.08,47.21,46.18,46.61,44.53,2630800.00
2020-01-16 00:00:00,47.00,47.70,47.00,47.63,45.50,1687900.00
2020-01-17 00:00:00,47.82,47.94,46.90,46.93,44.84,1815800.00
2020-01-20 00:00:00,,,,,,
2020-01-21 00:00:00,46.84,47.37,45.85,47.02,44.92,2663100.00
2020-01-22 00:00:00,47.32,48.15,46.50,46.50,44.42,2142800.00
2020-01-23 00:00:00,46.42,47.01,46.09,46.71,44.63,2146600.00
2020-01-24 00:00:00,46.75,47.03,45.20,45.43,43.40,2235400.00
2020-01-27 00:00:00,45.17,45.23,43.72,43.81,41.85,3440300.00
2020-01-28 00:00:00,44.74,46.29,44.46,45.49,43.46,6386900.00
2020-01-29 00:00:00,45.61,46.36,44.16,44.31,42.33,2517100.00
2020-01-30 00:00:00,43.25,43.92,42.29,43.45,41.74,2195300.00
2020-01-31 00:00:00,43.42,43.72,42.58,42.69,41.01,2789200.00
2020-02-03 00:00:00,43.07,43.14,42.23,42.28,40.61,2547200.00
2020-02-04 00:00:00,42.99,43.56,42.75,42.79,41.10,1287600.00
2020-02-05 00:00:00,43.33,43.96,43.14,43.80,42.07,1189500.00
2020-02-06 00:00:00,44.08,44.19,43.06,43.30,41.59,1285600.00
2020-02-07 00:00:00,42.92,43.02,41.96,41.99,40.33,1361000.00
2020-02-10 00:00:00,41.84,43.15,41.64,43.00,41.30,1269000.00
2020-02-11 00:00:00,43.29,44.39,43.25,44.01,42.27,1475600.00
2020-02-12 00:00:00,44.23,44.70,43.72,44.29,42.54,1421000.00
2020-02-13 00:00:00,43.88,44.20,43.72,44.00,42.27,885000.00
2020-02-14 00:00:00,44.00,44.34,43.72,43.93,42.20,1157000.00
2020-02-17 00:00:00,,,,,,
2020-02-18 00:00:00,43.80,44.22,43.23,43.98,42.25,1733900.00
2020-02-19 00:00:00,44.00,44.56,43.90,44.10,42.36,1070300.00
2020-02-20 00:00:00,44.10,44.69,43.90,44.52,42.76,937400.00
2020-02-21 00:00:00,44.22,44.29,43.89,44.09,42.35,1218400.00
2020-02-24 00:00:00,42.68,43.42,42.26,42.84,41.15,2262400.00
2020-02-25 00:00:00,41.21,41.93,40.51,40.95,39.34,3753800.00
2020-02-26 00:00:00,40.71,41.18,39.49,39.60,38.04,4449700.00
2020-02-27 00:00:00,38.82,42.56,38.76,40.12,38.54,3528400.00
2020-02-28 00:00:00,39.37,40.46,38.87,39.55,37.99,4720000.00
2020-03-02 00:00:00,39.73,41.03,38.70,41.00,39.38,3068200.00
2020-03-03 00:00:00,40.76,41.86,38.58,38.70,37.17,2739900.00
2020-03-04 00:00:00,39.38,40.58,38.09,40.57,38.97,4984000.00
2020-03-05 00:00:00,39.37,41.83,39.17,41.63,39.99,4313200.00
2020-03-06 00:00:00,40.49,42.86,40.41,42.69,41.01,4555600.00
2020-03-09 00:00:00,40.72,42.81,40.45,40.95,39.34,3661900.00
2020-03-10 00:00:00,41.83,42.24,39.75,42.19,40.53,3243000.00
2020-03-11 00:00:00,41.19,41.19,39.82,39.97,38.39,2325800.00
2020-03-12 00:00:00,38.03,40.49,38.00,38.73,37.20,6776000.00
2020-03-13 00:00:00,40.18,41.57,38.69,41.49,39.85,5280600.00
2020-03-16 00:00:00,37.16,39.57,37.16,37.99,36.49,3434400.00
2020-03-17 00:00:00,38.65,39.44,36.82,39.13,37.59,2883900.00
2020-03-18 00:00:00,37.13,39.46,34.77,38.43,36.91,2297900.00
2020-03-19 00:00:00,37.78,38.03,35.63,36.85,35.40,2806800.00
2020-03-20 00:00:00,37.13,37.15,34.12,34.75,33.38,2301400.00
2020-03-23 00:00:00,34.38,35.98,33.81,35.60,34.20,3217500.00
2020-03-24 00:00:00,36.83,37.47,35.69,36.49,35.05,2655600.00
2020-03-25 00:00:00,36.65,37.81,35.04,36.89,35.44,2858200.00
