Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,75.93,75.93,74.24,75.33,74.76,1109000.00
2019-06-17 00:00:00,75.14,76.15,74.55,75.84,75.27,1077400.00
2019-06-18 00:00:00,76.48,78.41,76.43,76.80,76.22,1013700.00
2019-06-19 00:00:00,77.32,77.71,76.52,76.85,76.27,1181400.00
2019-06-20 00:00:00,78.27,78.70,77.29,78.47,77.88,1286500.00
2019-06-21 00:00:00,78.48,78.75,77.95,78.42,77.83,1442400.00
2019-06-24 00:00:00,78.17,79.07,77.11,78.31,77.72,963600.00
2019-06-25 00:00:00,78.11,78.47,77.61,78.11,77.52,1137700.00
2019-06-26 00:00:00,78.24,79.75,77.27,78.92,78.33,1276000.00
2019-06-27 00:00:00,80.05,81.06,79.85,81.06,80.45,1748300.00
2019-06-28 00:00:00,81.01,82.51,80.83,80.83,80.22,5891400.00
2019-07-01 00:00:00,82.50,82.99,79.91,80.71,80.10,1350600.00
2019-07-02 00:00:00,80.80,81.09,78.83,79.58,78.98,1027100.00
2019-07-03 00:00:00,80.01,80.17,79.24,79.32,78.72,437500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,78.67,79.72,78.56,79.19,78.59,930900.00
2019-07-08 00:00:00,78.72,79.16,76.51,76.77,76.19,1185200.00
2019-07-09 00:00:00,76.23,76.45,74.91,76.07,75.50,1731900.00
2019-07-10 00:00:00,76.36,77.68,75.91,77.52,76.94,1350300.00
2019-07-11 00:00:00,77.36,77.81,76.87,77.72,77.13,657600.00
2019-07-12 00:00:00,78.14,80.50,78.04,80.20,79.60,908100.00
2019-07-15 00:00:00,80.23,80.90,78.72,80.78,80.17,1295000.00
2019-07-16 00:00:00,79.53,80.91,78.19,79.99,79.39,1392500.00
2019-07-17 00:00:00,79.80,80.00,78.23,78.36,77.77,1172900.00
2019-07-18 00:00:00,77.97,78.67,77.71,78.65,78.06,886900.00
2019-07-19 00:00:00,79.02,81.99,78.69,80.09,79.49,1191000.00
2019-07-22 00:00:00,80.39,81.44,79.92,80.09,79.49,1281200.00
2019-07-23 00:00:00,81.71,82.92,80.15,82.20,81.58,1639300.00
2019-07-24 00:00:00,81.93,83.68,81.93,83.68,83.05,1090000.00
2019-07-25 00:00:00,83.22,83.41,81.27,81.91,81.29,1690400.00
2019-07-26 00:00:00,82.06,82.54,81.07,82.40,81.78,1491800.00
2019-07-29 00:00:00,82.32,82.75,81.61,82.18,81.56,766700.00
2019-07-30 00:00:00,80.93,81.72,79.99,81.57,80.96,1416000.00
2019-07-31 00:00:00,85.74,88.98,84.95,87.65,86.99,3559400.00
2019-08-01 00:00:00,88.55,88.83,82.34,83.63,83.00,2272900.00
2019-08-02 00:00:00,83.09,83.57,80.54,83.25,82.62,1307200.00
2019-08-05 00:00:00,81.14,81.99,80.77,80.99,80.38,1691800.00
2019-08-06 00:00:00,81.75,83.49,81.72,83.20,82.80,1486000.00
2019-08-07 00:00:00,81.80,83.69,80.93,83.52,83.12,1753800.00
2019-08-08 00:00:00,83.89,85.72,83.75,85.46,85.05,1324600.00
2019-08-09 00:00:00,84.73,85.30,83.07,83.54,83.14,868300.00
2019-08-12 00:00:00,82.83,83.66,82.14,82.56,82.16,1049000.00
2019-08-13 00:00:00,82.18,84.83,81.47,83.56,83.16,1079400.00
2019-08-14 00:00:00,81.50,81.52,79.36,79.52,79.14,1267700.00
2019-08-15 00:00:00,79.93,80.52,78.56,79.19,78.81,1232800.00
2019-08-16 00:00:00,80.09,82.12,79.87,81.85,81.45,802400.00
2019-08-19 00:00:00,83.47,83.97,78.56,83.56,83.16,931700.00
2019-08-20 00:00:00,82.87,83.22,81.02,82.19,81.79,908500.00
2019-08-21 00:00:00,83.71,83.89,83.06,83.43,83.03,805400.00
2019-08-22 00:00:00,84.08,84.55,83.06,83.52,83.12,530200.00
2019-08-23 00:00:00,82.51,83.01,79.45,79.88,79.49,1238300.00
