Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,6.64,6.95,6.00,6.07,6.07,25500.00
2019-06-18 00:00:00,6.51,6.80,5.75,5.78,5.78,25800.00
2019-06-19 00:00:00,8.00,8.65,7.41,7.90,7.90,568300.00
2019-06-20 00:00:00,7.75,9.66,7.66,8.76,8.76,269300.00
2019-06-21 00:00:00,8.95,10.29,8.95,9.74,9.74,257300.00
2019-06-24 00:00:00,9.67,10.25,9.41,9.79,9.79,131500.00
2019-06-25 00:00:00,9.73,10.11,9.23,9.79,9.79,79400.00
2019-06-26 00:00:00,9.91,10.03,9.42,9.73,9.73,49000.00
2019-06-27 00:00:00,9.73,10.00,9.46,9.68,9.68,103600.00
2019-06-28 00:00:00,9.75,9.75,9.26,9.44,9.44,75900.00
2019-07-01 00:00:00,9.65,9.65,9.20,9.50,9.50,32300.00
2019-07-02 00:00:00,9.55,9.55,9.14,9.41,9.41,34000.00
2019-07-03 00:00:00,9.38,9.51,9.24,9.34,9.34,24300.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,9.45,9.55,9.22,9.54,9.54,17700.00
2019-07-08 00:00:00,9.47,9.55,9.11,9.27,9.27,63300.00
2019-07-09 00:00:00,9.24,9.36,8.71,8.93,8.93,38800.00
2019-07-10 00:00:00,8.99,9.67,8.70,9.59,9.59,44700.00
2019-07-11 00:00:00,9.23,9.54,8.77,8.99,8.99,48800.00
2019-07-12 00:00:00,9.00,9.19,8.79,9.05,9.05,45800.00
2019-07-15 00:00:00,9.07,9.36,8.79,8.94,8.94,16600.00
2019-07-16 00:00:00,8.86,9.24,8.49,9.16,9.16,24300.00
2019-07-17 00:00:00,9.18,9.34,8.53,9.10,9.10,25600.00
2019-07-18 00:00:00,9.12,9.50,9.12,9.49,9.49,102300.00
2019-07-19 00:00:00,9.46,11.44,9.46,10.77,10.77,298900.00
2019-07-22 00:00:00,10.99,11.85,10.99,11.62,11.62,249800.00
2019-07-23 00:00:00,11.75,12.74,11.08,11.49,11.49,217400.00
2019-07-24 00:00:00,11.51,11.88,11.31,11.80,11.80,50400.00
2019-07-25 00:00:00,11.91,12.05,11.25,11.35,11.35,38600.00
2019-07-26 00:00:00,11.56,11.70,10.96,11.56,11.56,60800.00
2019-07-29 00:00:00,11.38,12.69,11.25,12.47,12.47,103600.00
2019-07-30 00:00:00,12.40,14.49,12.34,14.03,14.03,203500.00
2019-07-31 00:00:00,14.57,15.50,13.45,13.61,13.61,175100.00
2019-08-01 00:00:00,13.83,13.91,11.03,11.58,11.58,406500.00
2019-08-02 00:00:00,11.57,12.11,11.09,11.28,11.28,130400.00
