Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,77.94,79.04,77.85,78.85,76.24,2010900.00
2019-06-18 00:00:00,79.61,80.63,79.13,80.56,77.89,3411800.00
2019-06-19 00:00:00,80.46,81.41,79.94,81.31,78.62,2108100.00
2019-06-20 00:00:00,81.95,82.80,81.35,82.04,79.32,2845500.00
2019-06-21 00:00:00,82.17,82.72,81.21,82.41,79.68,3514300.00
2019-06-24 00:00:00,82.47,82.64,81.88,82.27,79.54,1617800.00
2019-06-25 00:00:00,82.00,82.66,81.67,81.73,79.02,1900800.00
2019-06-26 00:00:00,81.64,81.94,79.42,80.62,77.95,2373100.00
2019-06-27 00:00:00,81.00,81.86,80.97,81.67,78.96,1629300.00
2019-06-28 00:00:00,81.99,82.03,81.36,81.90,79.19,5095100.00
2019-07-01 00:00:00,82.74,82.77,81.10,81.43,78.73,2254100.00
2019-07-02 00:00:00,81.67,81.74,80.83,81.71,79.00,1826700.00
2019-07-03 00:00:00,82.10,82.49,81.61,82.07,79.35,1072900.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,81.62,82.14,81.30,82.01,79.29,1296800.00
2019-07-08 00:00:00,81.85,81.99,81.19,81.58,78.88,1807000.00
2019-07-09 00:00:00,81.45,82.50,81.14,81.40,78.70,1835200.00
2019-07-10 00:00:00,81.66,82.71,81.47,82.12,79.40,2758600.00
2019-07-11 00:00:00,82.60,82.85,81.66,82.53,79.80,1988300.00
2019-07-12 00:00:00,82.48,82.63,81.30,81.65,78.94,1147500.00
2019-07-15 00:00:00,81.78,82.18,81.26,82.01,79.29,1732800.00
2019-07-16 00:00:00,82.18,82.76,81.81,82.07,79.35,2092600.00
2019-07-17 00:00:00,82.50,82.73,81.86,82.65,79.91,2427700.00
2019-07-18 00:00:00,82.50,83.93,82.33,83.08,80.33,3647900.00
2019-07-19 00:00:00,83.41,83.79,82.57,83.10,80.35,2838700.00
2019-07-22 00:00:00,83.32,83.39,82.53,82.69,79.95,1633600.00
2019-07-23 00:00:00,82.84,83.56,82.56,83.30,80.54,1741400.00
2019-07-24 00:00:00,83.55,84.08,83.10,83.93,81.15,2843600.00
2019-07-25 00:00:00,85.16,86.12,83.81,85.16,82.34,4909900.00
2019-07-26 00:00:00,85.79,86.65,84.09,85.15,82.33,2545100.00
2019-07-29 00:00:00,85.20,86.02,85.16,85.97,83.12,1987900.00
2019-07-30 00:00:00,85.46,86.28,85.33,86.16,83.31,2028600.00
2019-07-31 00:00:00,85.89,86.10,83.29,83.97,81.19,2768800.00
2019-08-01 00:00:00,84.21,86.15,84.13,85.08,82.26,2164600.00
