Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,65.98,66.29,64.95,66.03,60.57,2148000.00
2019-06-17 00:00:00,65.80,66.91,65.63,66.63,61.12,1968600.00
2019-06-18 00:00:00,66.94,69.71,66.72,68.65,62.97,3482500.00
2019-06-19 00:00:00,68.69,69.00,67.31,67.62,62.03,2750100.00
2019-06-20 00:00:00,68.26,68.51,67.33,68.39,62.73,1741300.00
2019-06-21 00:00:00,68.36,68.50,67.21,67.54,61.95,2868300.00
2019-06-24 00:00:00,67.51,67.71,66.82,67.47,61.89,1472400.00
2019-06-25 00:00:00,67.53,68.00,66.26,66.39,60.90,1963700.00
2019-06-26 00:00:00,67.14,68.70,66.73,68.14,62.50,2453200.00
2019-06-27 00:00:00,68.40,68.59,68.01,68.47,62.81,1679900.00
2019-06-28 00:00:00,68.16,69.82,68.16,69.73,63.96,3051900.00
2019-07-01 00:00:00,71.24,73.65,70.91,72.43,66.44,3998800.00
2019-07-02 00:00:00,72.43,72.51,70.98,71.64,65.71,2116900.00
2019-07-03 00:00:00,71.90,72.28,71.78,71.97,66.02,1338800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,71.73,72.14,71.27,71.89,65.94,1422900.00
2019-07-08 00:00:00,72.13,73.15,71.51,72.00,66.04,2527500.00
2019-07-09 00:00:00,71.67,72.32,71.50,71.86,65.91,3624500.00
2019-07-10 00:00:00,72.05,72.23,71.31,71.93,65.98,2687600.00
2019-07-11 00:00:00,71.97,73.76,71.71,73.75,67.65,2415700.00
2019-07-12 00:00:00,73.95,75.22,73.95,74.77,68.58,2262600.00
2019-07-15 00:00:00,74.75,75.64,74.43,75.50,69.25,2030900.00
2019-07-16 00:00:00,75.29,75.47,74.20,74.78,68.59,2301900.00
2019-07-17 00:00:00,74.72,75.01,74.05,74.23,68.09,1671900.00
2019-07-18 00:00:00,73.94,74.42,73.42,73.84,67.73,1665800.00
2019-07-19 00:00:00,74.05,75.07,73.98,74.71,68.53,1787800.00
2019-07-22 00:00:00,74.99,75.92,74.73,75.70,69.44,2947800.00
2019-07-23 00:00:00,75.84,76.80,75.51,76.51,70.18,1954400.00
2019-07-24 00:00:00,76.48,78.13,76.41,77.86,71.42,1772300.00
2019-07-25 00:00:00,76.80,78.53,76.80,77.07,70.69,1873300.00
2019-07-26 00:00:00,77.67,78.08,76.21,77.75,71.32,1662500.00
