Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,33.35,33.42,32.84,32.86,29.26,1351400.00
2019-06-18 00:00:00,33.05,33.70,32.94,33.52,29.85,3147400.00
2019-06-19 00:00:00,33.63,34.00,33.46,33.88,30.17,4432300.00
2019-06-20 00:00:00,34.26,35.03,34.26,34.54,30.75,4968100.00
2019-06-21 00:00:00,34.51,34.55,34.20,34.24,30.49,4012900.00
2019-06-24 00:00:00,34.27,34.67,34.16,34.35,30.59,2683400.00
2019-06-25 00:00:00,34.40,34.41,33.78,33.78,30.08,2930200.00
2019-06-26 00:00:00,33.98,34.47,33.87,34.31,30.55,2563900.00
2019-06-27 00:00:00,34.32,34.76,34.12,34.72,31.15,2345000.00
2019-06-28 00:00:00,34.93,35.17,34.56,34.80,31.22,3854900.00
2019-07-01 00:00:00,35.06,35.22,34.68,35.00,31.40,2280100.00
2019-07-02 00:00:00,35.00,35.00,34.54,34.87,31.29,1974200.00
2019-07-03 00:00:00,35.08,35.42,35.00,35.25,31.63,1098900.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,35.28,35.38,34.93,35.29,31.66,1408500.00
2019-07-08 00:00:00,35.10,35.39,34.81,34.96,31.37,2284900.00
2019-07-09 00:00:00,34.86,34.94,34.55,34.92,31.33,2266700.00
2019-07-10 00:00:00,34.89,35.20,34.60,34.78,31.20,3339600.00
2019-07-11 00:00:00,34.85,34.99,34.68,34.83,31.25,2093000.00
2019-07-12 00:00:00,35.00,35.30,34.97,35.19,31.57,2357500.00
2019-07-15 00:00:00,35.27,35.45,34.95,35.19,31.57,1901000.00
2019-07-16 00:00:00,35.35,35.42,35.01,35.32,31.69,2856900.00
2019-07-17 00:00:00,35.19,35.25,34.82,34.83,31.25,3088300.00
2019-07-18 00:00:00,34.81,35.47,34.67,35.45,31.81,2208600.00
2019-07-19 00:00:00,35.54,35.77,35.47,35.51,31.86,3831400.00
2019-07-22 00:00:00,35.48,35.49,34.26,34.83,31.25,3024000.00
2019-07-23 00:00:00,34.98,35.17,34.61,34.97,31.38,1923400.00
2019-07-24 00:00:00,34.79,35.19,34.66,35.05,31.45,1883700.00
2019-07-25 00:00:00,35.05,35.10,34.38,34.62,31.06,3070800.00
2019-07-26 00:00:00,34.69,35.01,34.55,34.96,31.37,2160300.00
2019-07-29 00:00:00,34.94,34.96,34.59,34.59,31.03,3904700.00
2019-07-30 00:00:00,33.99,34.20,33.47,33.83,30.35,4099800.00
2019-07-31 00:00:00,33.84,33.85,32.15,32.63,29.28,6398200.00
2019-08-01 00:00:00,32.46,32.49,31.22,31.51,28.27,5170700.00
