Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,5.03,5.03,4.84,5.00,5.00,212700.00
2019-06-17 00:00:00,5.03,5.03,4.80,4.82,4.82,208700.00
2019-06-18 00:00:00,4.85,4.91,4.68,4.70,4.70,197200.00
2019-06-19 00:00:00,4.77,4.78,4.60,4.62,4.62,210800.00
2019-06-20 00:00:00,4.69,4.81,4.61,4.80,4.80,165500.00
2019-06-21 00:00:00,4.81,5.05,4.81,5.05,5.05,214800.00
2019-06-24 00:00:00,5.06,5.11,4.85,4.87,4.87,121100.00
2019-06-25 00:00:00,4.90,5.02,4.76,4.95,4.95,104000.00
2019-06-26 00:00:00,5.00,5.03,4.87,4.96,4.96,73200.00
2019-06-27 00:00:00,5.00,5.25,4.98,5.25,5.25,200200.00
2019-06-28 00:00:00,5.26,5.38,5.20,5.35,5.35,202500.00
2019-07-01 00:00:00,,,,,,
2019-07-02 00:00:00,5.35,5.35,5.16,5.33,5.33,165300.00
2019-07-03 00:00:00,5.29,5.30,5.17,5.23,5.23,87300.00
2019-07-04 00:00:00,5.33,5.40,5.30,5.36,5.36,99800.00
2019-07-05 00:00:00,5.33,5.59,5.31,5.51,5.51,257200.00
2019-07-08 00:00:00,5.54,5.56,5.30,5.47,5.47,195800.00
2019-07-09 00:00:00,5.47,5.49,5.35,5.41,5.41,102900.00
2019-07-10 00:00:00,5.40,5.45,5.29,5.35,5.35,117700.00
2019-07-11 00:00:00,5.32,5.35,5.21,5.23,5.23,118700.00
2019-07-12 00:00:00,5.26,5.49,5.26,5.48,5.48,191200.00
2019-07-15 00:00:00,5.51,5.51,5.26,5.29,5.29,150700.00
2019-07-16 00:00:00,5.29,5.32,5.22,5.27,5.27,82500.00
2019-07-17 00:00:00,5.41,5.41,5.27,5.33,5.33,77100.00
2019-07-18 00:00:00,5.29,5.29,5.15,5.20,5.20,115400.00
2019-07-19 00:00:00,5.19,5.27,5.16,5.22,5.22,148300.00
2019-07-22 00:00:00,5.28,5.39,5.27,5.30,5.30,85200.00
2019-07-23 00:00:00,5.32,5.39,5.28,5.32,5.32,78400.00
2019-07-24 00:00:00,5.38,5.49,5.28,5.48,5.48,163100.00
2019-07-25 00:00:00,5.53,5.56,5.40,5.44,5.44,121600.00
2019-07-26 00:00:00,5.40,5.54,5.40,5.43,5.43,98600.00
2019-07-29 00:00:00,5.52,5.77,5.46,5.58,5.58,337400.00
2019-07-30 00:00:00,5.64,5.64,5.36,5.45,5.45,144200.00
2019-07-31 00:00:00,5.47,5.50,5.28,5.31,5.31,183200.00
2019-08-01 00:00:00,5.39,5.60,5.38,5.49,5.49,285400.00
2019-08-02 00:00:00,5.53,5.95,5.43,5.95,5.95,543100.00
2019-08-05 00:00:00,,,,,,
2019-08-06 00:00:00,5.80,5.88,5.67,5.87,5.87,351800.00
2019-08-07 00:00:00,5.80,5.92,5.69,5.91,5.91,143100.00
2019-08-08 00:00:00,5.99,6.15,5.86,6.09,6.09,586100.00
2019-08-09 00:00:00,6.09,6.20,5.96,6.05,6.05,292500.00
2019-08-12 00:00:00,6.02,6.10,5.97,6.02,6.02,198900.00
2019-08-13 00:00:00,6.07,6.20,5.98,6.19,6.19,331000.00
2019-08-14 00:00:00,6.14,6.14,5.61,5.67,5.67,484900.00
2019-08-15 00:00:00,5.60,5.61,5.36,5.52,5.52,502200.00
2019-08-16 00:00:00,5.65,5.70,5.55,5.69,5.69,124000.00
2019-08-19 00:00:00,5.80,6.00,5.80,5.96,5.96,240600.00
2019-08-20 00:00:00,5.91,6.00,5.80,5.94,5.94,121300.00
2019-08-21 00:00:00,6.00,6.02,5.86,5.95,5.95,86100.00
2019-08-22 00:00:00,5.97,5.97,5.84,5.92,5.92,66800.00
2019-08-23 00:00:00,5.73,5.78,5.68,5.72,5.72,243400.00
2019-08-26 00:00:00,5.74,5.78,5.66,5.69,5.69,282300.00
2019-08-27 00:00:00,5.75,5.82,5.64,5.77,5.77,187900.00
2019-08-28 00:00:00,5.80,5.98,5.74,5.94,5.94,157500.00
