Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,40.76,40.95,40.33,40.42,40.42,5410000.00
2019-06-17 00:00:00,40.46,40.74,40.32,40.68,40.68,3746000.00
2019-06-18 00:00:00,41.04,41.69,40.88,40.94,40.94,5983000.00
2019-06-19 00:00:00,40.80,41.77,40.58,41.66,41.66,6328700.00
2019-06-20 00:00:00,41.99,42.40,41.49,41.86,41.86,6131600.00
2019-06-21 00:00:00,41.80,41.86,41.32,41.69,41.69,8605800.00
2019-06-24 00:00:00,41.57,42.03,41.52,42.01,42.01,5407000.00
2019-06-25 00:00:00,42.06,42.32,41.70,41.72,41.72,5624400.00
2019-06-26 00:00:00,41.69,41.71,40.67,41.39,41.39,6176900.00
2019-06-27 00:00:00,41.77,42.27,41.52,41.93,41.93,8356900.00
2019-06-28 00:00:00,41.95,43.02,41.87,42.98,42.98,12753800.00
2019-07-01 00:00:00,43.41,43.66,42.63,42.90,42.90,7508200.00
2019-07-02 00:00:00,43.05,43.27,42.36,42.69,42.69,7757300.00
2019-07-03 00:00:00,42.73,42.82,42.37,42.63,42.63,3683600.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,42.42,42.70,42.30,42.62,42.62,4121700.00
2019-07-08 00:00:00,42.34,42.72,42.22,42.61,42.61,6206500.00
2019-07-09 00:00:00,42.45,43.10,42.43,43.06,43.06,5833900.00
2019-07-10 00:00:00,43.07,43.27,42.62,42.89,42.89,6689500.00
2019-07-11 00:00:00,43.16,43.21,42.64,43.20,43.20,4745300.00
2019-07-12 00:00:00,43.14,43.21,42.09,42.25,42.25,8970600.00
2019-07-15 00:00:00,42.27,42.67,42.10,42.45,42.45,4466100.00
2019-07-16 00:00:00,42.57,42.68,41.83,41.86,41.86,4966300.00
2019-07-17 00:00:00,42.12,42.45,42.03,42.24,42.24,6087700.00
2019-07-18 00:00:00,42.13,42.94,42.04,42.64,42.64,6095900.00
2019-07-19 00:00:00,42.85,42.95,42.18,42.25,42.25,6840100.00
2019-07-22 00:00:00,42.47,42.75,42.31,42.50,42.50,5291000.00
2019-07-23 00:00:00,42.70,42.88,42.34,42.88,42.88,6836400.00
2019-07-24 00:00:00,42.06,42.92,41.53,42.87,42.87,8422000.00
2019-07-25 00:00:00,42.88,43.00,41.97,42.01,42.01,6209400.00
2019-07-26 00:00:00,42.39,42.56,41.87,42.08,42.08,4943200.00
2019-07-29 00:00:00,42.00,42.40,41.88,42.29,42.29,3951600.00
2019-07-30 00:00:00,42.11,42.87,41.87,42.86,42.86,4635200.00
2019-07-31 00:00:00,42.84,43.17,42.06,42.46,42.46,6861500.00
2019-08-01 00:00:00,42.48,43.53,41.91,42.61,42.61,7800400.00
2019-08-02 00:00:00,42.66,42.83,42.16,42.75,42.75,5341300.00
2019-08-05 00:00:00,42.19,42.32,40.91,41.36,41.36,7200100.00
2019-08-06 00:00:00,41.63,42.33,41.40,42.33,42.33,4301500.00
2019-08-07 00:00:00,42.00,42.41,41.10,42.18,42.18,5671900.00
2019-08-08 00:00:00,42.25,42.86,42.24,42.76,42.76,5057700.00
2019-08-09 00:00:00,42.71,43.46,42.65,43.20,43.20,4827200.00
2019-08-12 00:00:00,43.10,43.15,42.26,42.33,42.33,3874200.00
2019-08-13 00:00:00,42.28,43.11,42.17,42.86,42.86,3449000.00
2019-08-14 00:00:00,42.43,42.52,41.41,41.43,41.43,5677000.00
2019-08-15 00:00:00,41.48,42.09,41.35,41.87,41.87,4467300.00
2019-08-16 00:00:00,42.18,42.42,41.87,42.15,42.15,3274900.00
2019-08-19 00:00:00,43.07,43.07,42.45,42.74,42.74,2755400.00
2019-08-20 00:00:00,42.74,43.20,42.47,42.50,42.50,4168900.00
2019-08-21 00:00:00,42.78,42.86,42.32,42.55,42.55,3742700.00
2019-08-22 00:00:00,42.69,42.94,42.32,42.69,42.69,3333700.00
2019-08-23 00:00:00,42.69,42.72,41.00,41.17,41.17,5308100.00
2019-08-26 00:00:00,41.53,41.87,41.28,41.85,41.85,3434800.00
2019-08-27 00:00:00,42.03,42.34,41.94,42.22,42.22,5996700.00
2019-08-28 00:00:00,42.00,42.72,41.96,42.49,42.49,4208100.00
