Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,67.50,67.51,66.40,66.54,60.69,8135900.00
2019-06-18 00:00:00,66.81,68.25,66.50,67.98,62.00,12199100.00
2019-06-19 00:00:00,68.16,68.59,67.58,67.59,61.64,12334800.00
2019-06-20 00:00:00,68.56,68.72,67.24,68.10,62.11,15557100.00
2019-06-21 00:00:00,68.03,68.96,67.82,67.97,61.99,19502500.00
2019-06-24 00:00:00,67.82,68.50,67.38,67.41,61.48,11223700.00
2019-06-25 00:00:00,67.46,67.48,66.48,66.54,60.69,14205600.00
2019-06-26 00:00:00,67.04,67.72,66.77,67.22,61.31,13654100.00
2019-06-27 00:00:00,67.62,68.43,67.53,68.15,62.15,11989100.00
2019-06-28 00:00:00,69.28,70.21,69.13,70.03,63.87,20388700.00
2019-07-01 00:00:00,70.86,71.64,70.19,70.74,64.52,13573600.00
2019-07-02 00:00:00,70.36,70.98,70.09,70.44,64.24,10272200.00
2019-07-03 00:00:00,70.71,71.20,70.28,70.85,64.62,7632400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,71.27,71.80,70.98,71.40,65.12,9107300.00
2019-07-08 00:00:00,70.76,71.69,70.64,71.13,64.87,10196000.00
2019-07-09 00:00:00,70.53,71.67,70.41,71.56,65.26,9477700.00
2019-07-10 00:00:00,71.50,71.94,70.65,71.13,64.87,12153200.00
2019-07-11 00:00:00,71.43,72.00,71.09,71.61,65.31,10739400.00
2019-07-12 00:00:00,71.89,72.02,71.58,71.77,65.46,15355700.00
2019-07-15 00:00:00,71.73,72.15,70.08,71.71,65.40,23365800.00
2019-07-16 00:00:00,71.70,72.00,71.09,71.32,65.05,16516600.00
2019-07-17 00:00:00,71.19,71.50,70.62,70.82,64.59,12278200.00
2019-07-18 00:00:00,70.54,71.90,70.48,71.79,65.47,13407400.00
2019-07-19 00:00:00,71.73,72.17,70.86,70.92,64.68,11184600.00
2019-07-22 00:00:00,70.72,71.29,70.68,71.11,64.85,7930600.00
2019-07-23 00:00:00,71.33,72.18,71.30,71.99,65.66,11804300.00
2019-07-24 00:00:00,71.66,73.08,71.66,73.01,66.59,12512900.00
2019-07-25 00:00:00,72.96,73.08,70.93,71.39,65.11,15698300.00
2019-07-26 00:00:00,72.15,72.64,71.85,72.16,65.81,10625900.00
2019-07-29 00:00:00,71.91,72.34,71.73,71.76,65.45,8561200.00
2019-07-30 00:00:00,71.03,71.71,70.58,71.71,65.40,9208300.00
2019-07-31 00:00:00,71.40,71.66,70.81,71.16,64.90,13617300.00
2019-08-01 00:00:00,70.67,71.09,67.60,68.35,62.34,22571000.00
