Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,107.40,108.19,106.06,106.70,102.81,374400.00
2019-06-18 00:00:00,106.29,107.19,105.38,106.34,102.46,841500.00
2019-06-19 00:00:00,107.19,107.19,105.30,106.24,102.36,834100.00
2019-06-20 00:00:00,106.19,107.14,105.10,107.08,103.17,508700.00
2019-06-21 00:00:00,107.36,108.14,106.44,106.44,102.56,634100.00
2019-06-24 00:00:00,106.22,108.08,106.22,107.35,103.43,620600.00
2019-06-25 00:00:00,107.62,108.36,106.46,107.50,103.58,790200.00
2019-06-26 00:00:00,107.18,107.80,105.85,105.85,101.99,573600.00
2019-06-27 00:00:00,105.84,107.60,105.19,106.06,102.19,488300.00
2019-06-28 00:00:00,106.52,107.46,103.46,103.63,99.85,2443700.00
2019-07-01 00:00:00,104.68,106.74,104.25,106.70,102.81,672000.00
2019-07-02 00:00:00,106.70,108.57,104.85,108.47,104.51,699300.00
2019-07-03 00:00:00,108.48,110.21,108.09,110.00,105.99,390500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,109.97,111.00,109.65,110.40,106.37,326700.00
2019-07-08 00:00:00,109.93,111.07,108.75,110.62,106.58,624200.00
2019-07-09 00:00:00,109.51,111.47,108.83,110.98,106.93,534300.00
2019-07-10 00:00:00,111.69,112.10,110.63,111.70,107.62,487000.00
2019-07-11 00:00:00,112.07,114.13,111.50,113.00,108.88,528000.00
2019-07-12 00:00:00,112.88,114.29,111.60,114.06,109.90,481400.00
2019-07-15 00:00:00,113.96,114.54,112.22,114.07,109.91,566100.00
2019-07-16 00:00:00,114.44,114.73,113.48,114.08,109.92,351800.00
2019-07-17 00:00:00,113.55,114.39,113.46,114.20,110.03,472500.00
2019-07-18 00:00:00,114.35,115.00,113.56,114.53,110.35,439900.00
2019-07-19 00:00:00,115.18,115.42,113.74,114.91,110.72,469800.00
2019-07-22 00:00:00,114.48,115.92,112.50,114.52,110.34,346500.00
2019-07-23 00:00:00,114.69,115.08,114.22,114.77,110.58,315000.00
2019-07-24 00:00:00,114.84,115.49,109.80,111.65,107.58,920900.00
2019-07-25 00:00:00,113.85,113.85,110.46,111.21,107.15,563300.00
2019-07-26 00:00:00,111.70,112.14,110.22,111.15,107.09,489500.00
2019-07-29 00:00:00,110.56,111.51,110.10,110.45,106.42,391300.00
2019-07-30 00:00:00,110.44,111.50,109.71,110.56,106.53,598100.00
2019-07-31 00:00:00,111.17,111.46,109.22,109.31,105.32,486000.00
2019-08-01 00:00:00,109.11,115.07,108.10,115.07,110.87,1055400.00
