Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,4.57,4.88,4.56,4.76,4.76,1114400.00
2019-06-18 00:00:00,4.76,4.93,4.76,4.82,4.82,778300.00
2019-06-19 00:00:00,4.81,4.97,4.81,4.92,4.92,607600.00
2019-06-20 00:00:00,4.98,5.07,4.95,4.99,4.99,611200.00
2019-06-21 00:00:00,4.96,4.99,4.85,4.95,4.95,1197900.00
2019-06-24 00:00:00,4.93,4.98,4.81,4.81,4.81,462800.00
2019-06-25 00:00:00,4.82,4.96,4.82,4.89,4.89,532500.00
2019-06-26 00:00:00,4.90,4.93,4.80,4.80,4.80,556000.00
2019-06-27 00:00:00,4.81,4.96,4.80,4.94,4.94,773100.00
2019-06-28 00:00:00,4.94,5.66,4.94,5.62,5.62,7666500.00
2019-07-01 00:00:00,5.64,5.69,5.34,5.38,5.38,1023300.00
2019-07-02 00:00:00,5.36,5.44,5.19,5.22,5.22,601900.00
2019-07-03 00:00:00,5.25,5.27,5.20,5.25,5.25,251400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,5.30,5.44,5.27,5.40,5.40,647800.00
2019-07-08 00:00:00,5.40,5.45,5.32,5.36,5.36,587900.00
2019-07-09 00:00:00,5.31,5.36,5.26,5.32,5.32,1276900.00
2019-07-10 00:00:00,5.36,5.44,5.30,5.43,5.43,538500.00
2019-07-11 00:00:00,5.40,5.53,5.33,5.50,5.50,847300.00
2019-07-12 00:00:00,5.52,5.54,5.40,5.51,5.51,642600.00
2019-07-15 00:00:00,5.51,5.54,5.41,5.50,5.50,413800.00
2019-07-16 00:00:00,5.50,5.53,5.41,5.49,5.49,450400.00
2019-07-17 00:00:00,5.48,5.65,5.33,5.58,5.58,1048500.00
2019-07-18 00:00:00,5.61,5.62,5.51,5.61,5.61,781000.00
2019-07-19 00:00:00,5.58,5.61,5.50,5.52,5.52,925900.00
2019-07-22 00:00:00,5.55,5.72,5.50,5.64,5.64,707100.00
2019-07-23 00:00:00,5.65,5.75,5.58,5.70,5.70,777600.00
2019-07-24 00:00:00,5.63,5.85,5.57,5.84,5.84,948600.00
2019-07-25 00:00:00,5.88,5.88,5.68,5.69,5.69,731300.00
2019-07-26 00:00:00,5.73,5.94,5.68,5.89,5.89,746800.00
2019-07-29 00:00:00,5.90,5.92,5.71,5.89,5.89,726100.00
2019-07-30 00:00:00,5.84,6.11,5.81,6.05,6.05,1455600.00
2019-07-31 00:00:00,6.03,6.15,5.75,5.85,5.85,1587200.00
2019-08-01 00:00:00,5.83,5.89,5.65,5.85,5.85,1730500.00
