Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,46.44,46.96,46.04,46.53,43.03,2971100.00
2019-06-18 00:00:00,46.81,47.85,46.56,47.22,43.67,2838400.00
2019-06-19 00:00:00,47.12,47.44,46.36,46.47,42.98,2791100.00
2019-06-20 00:00:00,47.27,47.35,46.15,46.86,43.34,2545000.00
2019-06-21 00:00:00,46.89,47.71,46.72,46.77,43.26,3086800.00
2019-06-24 00:00:00,46.85,47.47,46.48,47.05,43.52,2093100.00
2019-06-25 00:00:00,47.40,47.92,47.13,47.48,43.91,2824000.00
2019-06-26 00:00:00,47.49,47.59,46.77,46.80,43.28,1431300.00
2019-06-27 00:00:00,47.07,47.58,46.45,47.14,43.60,1661800.00
2019-06-28 00:00:00,47.16,47.77,46.24,46.71,43.20,4454200.00
2019-07-01 00:00:00,46.80,47.45,44.91,46.52,43.03,2787900.00
2019-07-02 00:00:00,46.40,46.75,45.65,46.29,42.81,2375800.00
2019-07-03 00:00:00,46.50,46.96,46.31,46.64,43.14,641200.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,46.09,46.54,45.80,46.30,42.82,1191300.00
2019-07-08 00:00:00,46.24,46.24,45.25,45.52,42.10,1627600.00
2019-07-09 00:00:00,45.19,45.28,44.37,44.39,41.06,2618000.00
2019-07-10 00:00:00,44.65,45.30,44.10,44.22,40.90,1972000.00
2019-07-11 00:00:00,43.99,44.95,43.81,44.94,41.56,2426700.00
2019-07-12 00:00:00,45.10,46.40,44.87,46.17,42.70,2653700.00
2019-07-15 00:00:00,46.50,48.18,46.26,47.88,44.28,2268000.00
2019-07-16 00:00:00,47.88,48.64,47.54,47.71,44.13,1769900.00
2019-07-17 00:00:00,47.67,47.84,46.99,47.42,43.86,1469700.00
2019-07-18 00:00:00,47.04,47.46,46.56,46.98,43.45,1771700.00
2019-07-19 00:00:00,47.06,47.35,46.88,47.16,43.62,1344500.00
2019-07-22 00:00:00,47.18,47.39,46.91,47.34,43.78,1298500.00
2019-07-23 00:00:00,47.69,48.42,47.31,48.34,44.71,1758100.00
2019-07-24 00:00:00,48.48,48.99,48.08,48.92,45.25,2151100.00
2019-07-25 00:00:00,48.49,48.81,48.02,48.38,44.75,2012500.00
2019-07-26 00:00:00,48.44,48.49,47.77,48.15,44.53,1607600.00
2019-07-29 00:00:00,48.08,48.24,47.50,47.52,43.95,1760000.00
2019-07-30 00:00:00,47.04,49.77,47.00,49.74,46.00,2611100.00
2019-07-31 00:00:00,49.72,50.61,49.29,49.56,45.84,2685500.00
2019-08-01 00:00:00,52.24,55.15,51.39,52.35,48.42,6314900.00
