Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,77.35,77.47,76.67,77.33,74.86,1156600.00
2019-06-18 00:00:00,77.71,77.73,75.61,76.33,73.89,1685900.00
2019-06-19 00:00:00,75.99,76.37,74.95,76.19,73.76,1389700.00
2019-06-20 00:00:00,76.29,77.01,75.89,76.36,73.92,1519400.00
2019-06-21 00:00:00,76.47,76.56,75.88,75.94,73.52,1539200.00
2019-06-24 00:00:00,76.36,76.52,75.87,76.12,73.69,1349600.00
2019-06-25 00:00:00,76.10,76.31,75.27,75.27,72.87,1187700.00
2019-06-26 00:00:00,74.85,75.08,72.72,72.72,70.40,2207900.00
2019-06-27 00:00:00,72.83,73.54,72.47,73.14,70.81,1572500.00
2019-06-28 00:00:00,73.42,73.92,72.67,73.06,70.73,2034300.00
2019-07-01 00:00:00,73.24,73.68,72.50,73.55,71.20,1627400.00
2019-07-02 00:00:00,73.75,74.08,73.44,73.86,71.50,1270900.00
2019-07-03 00:00:00,73.79,75.13,73.79,75.04,72.65,1465300.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,74.74,74.93,73.76,74.33,71.96,698500.00
2019-07-08 00:00:00,74.49,74.92,73.77,74.07,71.71,1008700.00
2019-07-09 00:00:00,73.95,74.08,71.64,73.69,71.34,2292000.00
2019-07-10 00:00:00,73.92,74.78,73.75,74.37,72.00,1687800.00
2019-07-11 00:00:00,74.51,75.35,74.32,75.10,72.70,1224700.00
2019-07-12 00:00:00,75.30,75.47,74.72,75.29,72.89,1096800.00
2019-07-15 00:00:00,75.43,75.72,74.98,75.28,72.88,822700.00
2019-07-16 00:00:00,75.50,75.89,75.10,75.35,72.95,1011400.00
2019-07-17 00:00:00,75.54,75.81,75.31,75.41,73.00,820500.00
2019-07-18 00:00:00,75.34,76.78,75.00,76.63,74.19,1620200.00
2019-07-19 00:00:00,76.63,76.84,75.50,75.52,73.11,1211700.00
2019-07-22 00:00:00,75.55,75.98,75.06,75.36,72.96,744400.00
2019-07-23 00:00:00,75.92,75.99,74.80,75.00,72.61,806300.00
2019-07-24 00:00:00,74.91,75.11,73.69,74.01,71.65,1053900.00
2019-07-25 00:00:00,73.62,74.79,73.37,74.48,72.10,1075800.00
2019-07-26 00:00:00,74.85,75.95,74.30,75.84,73.42,755200.00
2019-07-29 00:00:00,75.83,76.48,75.47,76.12,73.69,773200.00
2019-07-30 00:00:00,76.65,77.11,76.06,76.63,74.19,1540200.00
2019-07-31 00:00:00,76.25,77.57,75.03,75.44,73.03,1728800.00
2019-08-01 00:00:00,75.09,75.48,73.07,74.33,71.96,1815700.00
