Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,16.58,16.60,16.18,16.21,15.95,574300.00
2019-06-18 00:00:00,16.19,16.56,15.68,16.15,15.89,127600.00
2019-06-19 00:00:00,16.25,16.54,16.22,16.30,16.04,123900.00
2019-06-20 00:00:00,16.36,16.36,15.94,16.27,16.01,138500.00
2019-06-21 00:00:00,16.18,16.50,16.04,16.46,16.20,361000.00
2019-06-24 00:00:00,16.46,16.63,16.28,16.28,16.02,144000.00
2019-06-25 00:00:00,16.28,16.66,16.04,16.63,16.37,175600.00
2019-06-26 00:00:00,16.68,16.80,16.49,16.62,16.36,629600.00
2019-06-27 00:00:00,16.67,16.85,16.59,16.80,16.53,207200.00
2019-06-28 00:00:00,16.86,17.26,16.86,17.19,16.92,562100.00
2019-07-01 00:00:00,17.39,17.48,16.80,17.05,16.78,336800.00
2019-07-02 00:00:00,17.00,17.05,16.68,16.87,16.60,211300.00
2019-07-03 00:00:00,16.94,17.05,16.79,16.97,16.70,90200.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,16.96,17.05,16.66,16.87,16.60,147700.00
2019-07-08 00:00:00,16.78,16.78,16.40,16.51,16.25,175000.00
2019-07-09 00:00:00,16.48,16.52,16.26,16.42,16.16,114600.00
2019-07-10 00:00:00,16.50,16.50,16.22,16.32,16.06,164700.00
2019-07-11 00:00:00,16.30,16.45,16.01,16.07,15.81,188300.00
2019-07-12 00:00:00,16.06,16.12,15.54,15.65,15.40,316400.00
2019-07-15 00:00:00,15.64,15.75,15.40,15.45,15.20,400200.00
2019-07-16 00:00:00,15.51,15.52,15.17,15.20,14.96,295700.00
2019-07-17 00:00:00,15.24,15.58,15.10,15.36,15.12,371700.00
2019-07-18 00:00:00,15.39,15.90,15.18,15.80,15.55,391100.00
2019-07-19 00:00:00,15.74,16.16,15.52,16.06,15.80,345200.00
2019-07-22 00:00:00,16.12,16.29,15.86,15.88,15.63,394800.00
2019-07-23 00:00:00,16.16,16.66,16.07,16.54,16.28,403100.00
2019-07-24 00:00:00,16.46,17.33,16.18,17.31,17.04,607000.00
2019-07-25 00:00:00,17.34,17.51,16.99,17.49,17.21,381600.00
2019-07-26 00:00:00,17.21,18.36,17.21,17.99,17.70,721700.00
2019-07-29 00:00:00,18.14,18.14,17.30,17.73,17.45,323600.00
2019-07-30 00:00:00,17.52,18.08,17.52,17.98,17.69,299700.00
2019-07-31 00:00:00,17.94,18.19,17.55,17.56,17.28,234700.00
2019-08-01 00:00:00,17.56,17.73,17.31,17.38,17.10,354100.00
2019-08-02 00:00:00,17.28,17.36,16.92,17.16,16.89,179800.00
