Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,74.06,74.45,73.17,73.22,73.22,1230500.00
2019-06-18 00:00:00,73.61,74.22,73.17,73.37,73.37,1494900.00
2019-06-19 00:00:00,73.34,74.11,72.76,74.07,74.07,1266600.00
2019-06-20 00:00:00,74.87,75.00,74.14,74.75,74.75,1988700.00
2019-06-21 00:00:00,74.41,75.23,73.16,73.94,73.94,3014000.00
2019-06-24 00:00:00,74.21,74.32,73.73,73.77,73.77,1436000.00
2019-06-25 00:00:00,73.86,74.09,73.20,73.38,73.38,1898900.00
2019-06-26 00:00:00,73.66,73.97,73.03,73.39,73.39,1132900.00
2019-06-27 00:00:00,73.39,73.80,73.00,73.36,73.36,692400.00
2019-06-28 00:00:00,73.26,75.09,72.88,74.74,74.74,2436900.00
2019-07-01 00:00:00,75.51,75.90,74.59,74.97,74.97,1468400.00
2019-07-02 00:00:00,74.97,75.37,74.34,74.80,74.80,1378200.00
2019-07-03 00:00:00,75.07,75.21,74.72,74.97,74.97,517400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,74.69,74.76,74.12,74.60,74.60,657600.00
2019-07-08 00:00:00,74.47,74.47,73.57,74.14,74.14,1022400.00
2019-07-09 00:00:00,74.00,75.31,73.92,75.26,75.26,910700.00
2019-07-10 00:00:00,75.60,76.34,75.28,75.78,75.78,823200.00
2019-07-11 00:00:00,75.96,76.92,75.60,76.79,76.79,833900.00
2019-07-12 00:00:00,76.96,77.59,76.70,77.33,77.33,747800.00
2019-07-15 00:00:00,77.34,77.66,76.91,77.50,77.50,734700.00
2019-07-16 00:00:00,77.36,77.89,77.30,77.47,77.47,625700.00
2019-07-17 00:00:00,77.56,78.13,77.00,77.04,77.04,952200.00
2019-07-18 00:00:00,77.21,78.21,77.09,77.81,77.81,957200.00
2019-07-19 00:00:00,78.18,78.74,77.45,77.51,77.51,1106300.00
2019-07-22 00:00:00,77.52,78.72,77.50,78.24,78.24,772200.00
2019-07-23 00:00:00,78.74,79.57,78.41,79.23,79.23,931800.00
2019-07-24 00:00:00,78.86,79.51,78.55,79.37,79.37,911400.00
2019-07-25 00:00:00,79.25,79.58,78.85,79.14,79.14,1040600.00
2019-07-26 00:00:00,79.25,79.74,78.91,79.43,79.43,1109600.00
2019-07-29 00:00:00,79.51,79.66,77.77,78.30,78.30,1500200.00
2019-07-30 00:00:00,77.85,78.92,77.66,77.82,77.82,1036200.00
2019-07-31 00:00:00,78.00,78.55,76.93,77.53,77.53,1664900.00
2019-08-01 00:00:00,77.28,78.48,76.45,76.74,76.74,1709400.00
