Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,151.04,151.98,149.48,150.01,150.01,6248200.00
2019-06-17 00:00:00,150.20,151.28,149.87,150.29,150.29,4491800.00
2019-06-18 00:00:00,151.88,152.95,150.50,150.59,150.59,7317800.00
2019-06-19 00:00:00,151.69,154.47,150.51,154.14,154.14,8095300.00
2019-06-20 00:00:00,156.29,158.29,155.42,157.20,157.20,10153600.00
2019-06-21 00:00:00,156.67,157.79,155.94,156.84,156.84,9706900.00
2019-06-24 00:00:00,157.39,157.73,152.51,152.56,152.56,6378200.00
2019-06-25 00:00:00,152.83,152.97,148.59,149.34,149.34,7362500.00
2019-06-26 00:00:00,151.28,151.38,148.92,149.04,149.04,5844900.00
2019-06-27 00:00:00,149.89,150.76,148.47,150.69,150.69,6832800.00
2019-06-28 00:00:00,150.42,151.77,149.60,151.73,151.73,6936600.00
2019-07-01 00:00:00,154.57,154.74,151.85,154.06,154.06,6476400.00
2019-07-02 00:00:00,154.29,154.36,152.58,154.12,154.12,4736300.00
2019-07-03 00:00:00,154.54,155.75,154.16,155.59,155.59,3885400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,153.95,154.81,152.57,154.58,154.58,3940900.00
2019-07-08 00:00:00,153.52,153.69,152.04,152.81,152.81,4717400.00
2019-07-09 00:00:00,152.08,154.19,151.68,153.95,153.95,4979100.00
2019-07-10 00:00:00,154.57,156.40,154.57,156.27,156.27,4966300.00
2019-07-11 00:00:00,156.82,159.30,156.62,158.90,158.90,7083200.00
2019-07-12 00:00:00,159.40,159.62,157.40,158.08,158.08,4348000.00
2019-07-15 00:00:00,158.76,159.84,157.48,159.65,159.65,3603700.00
2019-07-16 00:00:00,159.96,161.61,156.80,157.13,157.13,6913100.00
2019-07-17 00:00:00,157.68,159.92,157.66,158.24,158.24,4160500.00
2019-07-18 00:00:00,157.00,158.58,156.21,157.98,157.98,3724000.00
2019-07-19 00:00:00,159.73,160.74,156.29,156.75,156.75,5218800.00
2019-07-22 00:00:00,157.65,159.05,157.15,157.70,157.70,2909500.00
2019-07-23 00:00:00,157.98,158.45,155.28,156.25,156.25,4865800.00
2019-07-24 00:00:00,155.98,160.25,155.70,159.75,159.75,4110500.00
2019-07-25 00:00:00,160.12,161.13,158.67,159.35,159.35,6934500.00
2019-07-26 00:00:00,159.56,160.82,158.73,159.97,159.97,4979100.00
2019-07-29 00:00:00,160.40,161.20,155.52,156.21,156.21,8880500.00
2019-07-30 00:00:00,155.34,158.22,154.62,156.96,156.96,4241600.00
2019-07-31 00:00:00,157.39,157.89,152.30,154.50,154.50,7454200.00
2019-08-01 00:00:00,154.73,157.78,150.41,150.81,150.81,26124700.00
2019-08-02 00:00:00,149.80,149.90,145.31,145.70,145.70,13138900.00
2019-08-05 00:00:00,141.34,143.75,139.80,142.82,142.82,13070100.00
