Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,54.99,55.47,54.86,55.40,51.67,20392600.00
2019-06-18 00:00:00,56.07,56.65,55.75,56.05,52.27,21173200.00
2019-06-19 00:00:00,56.04,56.37,55.77,56.13,52.35,21096300.00
2019-06-20 00:00:00,57.00,57.54,56.68,57.41,53.54,20969800.00
2019-06-21 00:00:00,57.41,58.15,56.98,57.03,53.19,57588800.00
2019-06-24 00:00:00,57.25,57.29,56.69,57.18,53.33,17794100.00
2019-06-25 00:00:00,57.06,57.20,56.01,56.08,52.30,25520600.00
2019-06-26 00:00:00,56.54,57.05,56.36,56.60,52.78,19286100.00
2019-06-27 00:00:00,56.94,57.25,55.47,55.73,51.97,23959900.00
2019-06-28 00:00:00,55.91,55.98,54.03,54.73,51.04,103123400.00
2019-07-01 00:00:00,55.26,55.35,54.23,54.74,51.05,28410000.00
2019-07-02 00:00:00,54.83,55.92,54.78,55.81,52.05,20307100.00
2019-07-03 00:00:00,55.77,56.54,55.54,56.48,53.00,13866800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,56.00,56.73,55.71,56.60,53.12,14273900.00
2019-07-08 00:00:00,56.25,56.48,55.96,56.19,52.73,15835100.00
2019-07-09 00:00:00,56.37,56.69,56.04,56.34,52.87,19564000.00
2019-07-10 00:00:00,56.69,57.65,56.60,57.13,53.61,19362600.00
2019-07-11 00:00:00,57.37,57.62,56.92,57.30,53.77,15994600.00
2019-07-12 00:00:00,57.58,57.99,57.57,57.95,54.38,13660400.00
2019-07-15 00:00:00,58.00,58.23,57.87,58.05,54.48,8809700.00
2019-07-16 00:00:00,58.13,58.26,57.46,57.62,54.07,11501100.00
2019-07-17 00:00:00,57.57,57.79,57.19,57.21,53.69,9266900.00
2019-07-18 00:00:00,57.05,57.79,56.90,57.74,54.19,10287400.00
2019-07-19 00:00:00,57.81,58.07,57.32,57.36,53.83,13882400.00
2019-07-22 00:00:00,57.46,58.01,57.37,57.73,54.18,10485600.00
2019-07-23 00:00:00,58.06,58.10,57.48,57.71,54.16,12692200.00
2019-07-24 00:00:00,57.58,57.68,57.11,57.23,53.71,18177000.00
2019-07-25 00:00:00,57.36,57.50,56.37,56.62,53.14,15127200.00
2019-07-26 00:00:00,56.68,56.84,56.37,56.53,53.05,15243000.00
2019-07-29 00:00:00,56.69,57.15,56.54,56.93,53.43,12051100.00
2019-07-30 00:00:00,56.85,56.90,56.35,56.47,53.00,9623400.00
2019-07-31 00:00:00,56.33,56.83,54.90,55.40,51.99,17441200.00
2019-08-01 00:00:00,55.84,56.89,55.16,55.39,51.98,19020600.00
