Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,,,,,,
2019-06-18 00:00:00,,,,,,
2019-06-19 00:00:00,,,,,,
2019-06-20 00:00:00,,,,,,
2019-06-21 00:00:00,,,,,,
2019-06-24 00:00:00,,,,,,
2019-06-25 00:00:00,,,,,,
2019-06-26 00:00:00,,,,,,
2019-06-27 00:00:00,,,,,,
2019-06-28 00:00:00,,,,,,
2019-07-01 00:00:00,,,,,,
2019-07-02 00:00:00,,,,,,
2019-07-03 00:00:00,,,,,,
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,,,,,,
2019-07-08 00:00:00,,,,,,
2019-07-09 00:00:00,,,,,,
2019-07-10 00:00:00,,,,,,
2019-07-11 00:00:00,,,,,,
2019-07-12 00:00:00,,,,,,
2019-07-15 00:00:00,,,,,,
2019-07-16 00:00:00,,,,,,
2019-07-17 00:00:00,,,,,,
2019-07-18 00:00:00,,,,,,
2019-07-19 00:00:00,,,,,,
2019-07-22 00:00:00,,,,,,
2019-07-23 00:00:00,,,,,,
2019-07-24 00:00:00,,,,,,
2019-07-25 00:00:00,20.00,21.99,17.11,21.40,21.40,2156400.00
2019-07-26 00:00:00,21.50,24.75,21.50,22.99,22.99,509200.00
2019-07-29 00:00:00,22.97,24.52,22.84,23.99,23.99,368100.00
2019-07-30 00:00:00,23.93,23.93,21.02,22.81,22.81,122100.00
2019-07-31 00:00:00,22.95,22.95,19.64,19.65,19.65,294500.00
2019-08-01 00:00:00,19.81,21.98,19.81,21.95,21.95,149200.00
2019-08-02 00:00:00,21.77,22.59,21.25,21.81,21.81,85100.00
2019-08-05 00:00:00,21.67,21.91,20.00,20.99,20.99,116200.00
2019-08-06 00:00:00,20.99,22.16,20.65,21.43,21.43,38800.00
2019-08-07 00:00:00,21.81,21.99,19.56,19.90,19.90,183800.00
2019-08-08 00:00:00,19.42,20.49,19.05,19.56,19.56,87400.00
2019-08-09 00:00:00,19.20,21.81,19.16,21.51,21.51,48500.00
2019-08-12 00:00:00,21.45,21.45,20.25,20.76,20.76,73000.00
2019-08-13 00:00:00,20.88,21.91,20.57,21.47,21.47,69000.00
2019-08-14 00:00:00,21.25,21.59,19.87,21.45,21.45,54300.00
2019-08-15 00:00:00,21.28,21.59,20.19,20.50,20.50,65800.00
2019-08-16 00:00:00,20.51,20.72,19.57,20.25,20.25,45200.00
2019-08-19 00:00:00,20.40,21.25,18.68,19.50,19.50,182600.00
2019-08-20 00:00:00,19.14,19.41,18.64,18.92,18.92,61900.00
2019-08-21 00:00:00,19.00,20.59,18.55,19.93,19.93,133700.00
