Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,25.53,26.90,25.45,25.95,24.86,13710100.00
2019-06-18 00:00:00,26.03,27.57,25.75,27.30,26.15,14485400.00
2019-06-19 00:00:00,27.48,27.48,26.87,27.15,26.01,10228800.00
2019-06-20 00:00:00,27.37,27.60,26.42,27.16,26.02,7728000.00
2019-06-21 00:00:00,26.87,27.71,26.87,27.21,26.07,12548900.00
2019-06-24 00:00:00,27.14,28.45,27.05,28.01,26.83,6494900.00
2019-06-25 00:00:00,28.02,28.09,27.48,27.67,26.51,6698600.00
2019-06-26 00:00:00,27.93,29.38,27.85,29.26,28.03,6735100.00
2019-06-27 00:00:00,29.38,30.33,29.26,29.57,28.33,5879600.00
2019-06-28 00:00:00,29.60,29.75,29.26,29.57,28.33,15517800.00
2019-07-01 00:00:00,29.58,30.75,28.95,29.68,28.43,5272900.00
2019-07-02 00:00:00,29.50,29.60,28.14,28.99,27.77,5438300.00
2019-07-03 00:00:00,28.78,28.90,28.20,28.80,27.59,2234900.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,28.45,29.32,28.26,28.64,27.44,2888200.00
2019-07-08 00:00:00,28.39,28.39,27.64,27.77,26.60,3478600.00
2019-07-09 00:00:00,27.47,27.77,26.83,26.99,25.86,5285700.00
2019-07-10 00:00:00,26.81,27.00,26.44,26.50,25.39,5133700.00
2019-07-11 00:00:00,26.55,26.80,25.96,26.43,25.32,6066200.00
2019-07-12 00:00:00,26.42,27.73,26.26,27.60,26.44,5154500.00
2019-07-15 00:00:00,27.41,28.27,27.40,28.08,26.90,3443100.00
2019-07-16 00:00:00,27.93,28.50,27.72,27.86,26.69,3735900.00
2019-07-17 00:00:00,27.60,27.71,26.85,26.88,25.75,3999300.00
2019-07-18 00:00:00,26.58,26.98,26.41,26.65,25.53,3009800.00
2019-07-19 00:00:00,26.79,27.48,26.64,27.39,26.24,4694800.00
2019-07-22 00:00:00,27.34,27.85,27.21,27.76,26.59,2546100.00
2019-07-23 00:00:00,27.65,28.48,27.45,28.12,26.94,2921400.00
2019-07-24 00:00:00,27.77,28.52,27.63,28.32,27.13,2311800.00
2019-07-25 00:00:00,28.10,28.40,27.75,28.02,26.84,3532200.00
2019-07-26 00:00:00,27.72,28.52,27.65,28.48,27.28,3052700.00
2019-07-29 00:00:00,28.36,28.95,28.32,28.78,27.57,6245200.00
2019-07-30 00:00:00,28.00,29.29,27.80,29.13,28.03,7142300.00
2019-07-31 00:00:00,29.10,30.15,28.71,29.50,28.39,7662000.00
2019-08-01 00:00:00,29.50,32.78,29.31,31.25,30.07,11564200.00
