Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,120.72,121.84,120.38,121.39,105.88,4219100.00
2019-06-18 00:00:00,121.95,123.87,121.86,122.93,107.23,4884300.00
2019-06-19 00:00:00,122.51,123.48,122.22,122.89,107.19,3847100.00
2019-06-20 00:00:00,124.31,124.70,123.60,124.28,108.40,7771700.00
2019-06-21 00:00:00,124.80,126.20,124.23,124.93,108.97,14287900.00
2019-06-24 00:00:00,124.54,125.38,124.42,124.91,108.95,5542600.00
2019-06-25 00:00:00,124.84,125.11,123.49,123.64,107.85,4713300.00
2019-06-26 00:00:00,124.57,124.88,123.88,123.93,108.10,5054800.00
2019-06-27 00:00:00,123.92,124.20,122.89,123.11,107.38,3551700.00
2019-06-28 00:00:00,123.41,124.48,123.12,124.44,108.54,7048300.00
2019-07-01 00:00:00,125.36,125.84,124.36,124.84,108.89,5526900.00
2019-07-02 00:00:00,124.55,124.72,122.39,122.93,107.23,5747700.00
2019-07-03 00:00:00,122.93,123.37,122.33,123.35,107.59,2725800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,123.14,123.74,122.64,123.54,107.76,3458900.00
2019-07-08 00:00:00,123.66,124.09,123.42,123.60,107.81,3505200.00
2019-07-09 00:00:00,123.90,124.14,123.07,123.35,107.59,3955600.00
2019-07-10 00:00:00,124.11,125.62,124.11,125.44,109.42,4743500.00
2019-07-11 00:00:00,125.68,125.68,124.60,125.43,109.41,3548000.00
2019-07-12 00:00:00,125.38,126.25,125.13,125.98,109.89,3974400.00
2019-07-15 00:00:00,126.06,126.40,125.27,125.72,109.66,3739200.00
2019-07-16 00:00:00,125.50,125.78,124.26,124.76,108.82,4697600.00
2019-07-17 00:00:00,124.66,125.28,124.06,124.14,108.28,3874200.00
2019-07-18 00:00:00,124.12,125.05,123.36,124.68,108.75,5770700.00
2019-07-19 00:00:00,124.68,125.41,124.60,125.04,109.07,4880900.00
2019-07-22 00:00:00,125.37,125.75,124.47,125.31,109.30,3275800.00
2019-07-23 00:00:00,125.24,126.22,124.78,125.82,109.75,4295300.00
2019-07-24 00:00:00,125.87,126.94,125.66,126.54,110.37,4796900.00
2019-07-25 00:00:00,127.00,127.00,125.33,125.63,109.58,4586800.00
2019-07-26 00:00:00,125.24,125.25,123.30,123.72,107.91,6971700.00
2019-07-29 00:00:00,123.48,124.64,123.38,124.23,108.36,4377500.00
2019-07-30 00:00:00,124.10,124.75,123.38,124.34,108.46,3871700.00
2019-07-31 00:00:00,123.71,124.69,122.48,123.11,107.38,7199500.00
2019-08-01 00:00:00,122.00,123.75,120.31,120.74,105.32,7928400.00
