Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,8.08,8.28,8.03,8.16,8.16,1701500.00
2019-06-18 00:00:00,8.22,8.49,8.20,8.35,8.35,1104800.00
2019-06-19 00:00:00,8.37,8.40,8.22,8.34,8.34,785400.00
2019-06-20 00:00:00,8.40,8.53,8.35,8.46,8.46,889500.00
2019-06-21 00:00:00,8.40,8.99,8.38,8.95,8.95,5165900.00
2019-06-24 00:00:00,9.13,9.19,8.41,8.49,8.49,2373300.00
2019-06-25 00:00:00,8.50,8.87,8.50,8.66,8.66,1492700.00
2019-06-26 00:00:00,8.70,8.90,8.65,8.81,8.81,1066300.00
2019-06-27 00:00:00,8.82,9.00,8.70,8.80,8.80,1059600.00
2019-06-28 00:00:00,8.81,9.18,8.81,9.10,9.10,2538600.00
2019-07-01 00:00:00,9.23,9.38,8.93,9.09,9.09,1494600.00
2019-07-02 00:00:00,9.08,9.20,8.75,8.92,8.92,1271200.00
2019-07-03 00:00:00,8.90,9.05,8.83,9.02,9.02,594400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,8.95,9.00,8.75,8.92,8.92,1184100.00
2019-07-08 00:00:00,8.82,8.94,8.67,8.94,8.94,818000.00
2019-07-09 00:00:00,8.90,9.18,8.89,9.11,9.11,1264200.00
2019-07-10 00:00:00,9.20,9.23,8.87,9.08,9.08,893400.00
2019-07-11 00:00:00,9.13,9.20,8.84,9.05,9.05,1135400.00
2019-07-12 00:00:00,9.01,9.02,8.36,8.78,8.78,2176000.00
2019-07-15 00:00:00,8.79,8.90,8.69,8.89,8.89,916500.00
2019-07-16 00:00:00,8.89,9.04,8.74,8.86,8.86,861900.00
2019-07-17 00:00:00,8.86,9.05,8.82,8.95,8.95,1165400.00
2019-07-18 00:00:00,8.92,8.96,8.76,8.77,8.77,1118100.00
2019-07-19 00:00:00,8.77,8.86,8.73,8.74,8.74,956600.00
2019-07-22 00:00:00,8.81,8.95,8.73,8.76,8.76,1369000.00
2019-07-23 00:00:00,8.79,8.89,8.58,8.61,8.61,1248000.00
2019-07-24 00:00:00,8.58,9.14,8.58,9.11,9.11,1590800.00
2019-07-25 00:00:00,8.83,9.13,8.74,8.75,8.75,1346900.00
2019-07-26 00:00:00,8.77,9.13,8.76,9.07,9.07,1260900.00
2019-07-29 00:00:00,9.02,9.07,8.84,9.00,9.00,932300.00
2019-07-30 00:00:00,8.94,9.20,8.80,9.18,9.18,1354000.00
2019-07-31 00:00:00,9.14,9.37,9.00,9.02,9.02,1747700.00
2019-08-01 00:00:00,9.00,9.08,8.62,8.76,8.76,1645200.00
