Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,174.48,174.86,172.78,173.15,173.15,326900.00
2019-06-18 00:00:00,173.97,176.12,173.44,174.82,174.82,286700.00
2019-06-19 00:00:00,174.65,174.98,172.62,174.40,174.40,300100.00
2019-06-20 00:00:00,176.03,176.41,172.70,174.05,174.05,406000.00
2019-06-21 00:00:00,172.92,175.83,172.61,175.50,175.50,508000.00
2019-06-24 00:00:00,175.62,176.65,173.02,173.40,173.40,371100.00
2019-06-25 00:00:00,174.14,175.00,171.77,171.93,171.93,382600.00
2019-06-26 00:00:00,172.78,175.61,172.78,173.69,173.69,354600.00
2019-06-27 00:00:00,173.83,175.38,173.24,175.24,175.24,346800.00
2019-06-28 00:00:00,175.56,176.66,173.86,175.97,175.97,644300.00
2019-07-01 00:00:00,177.73,180.76,174.81,175.79,175.79,400100.00
2019-07-02 00:00:00,175.71,175.71,171.91,173.41,173.41,449500.00
2019-07-03 00:00:00,174.19,176.34,172.10,176.08,176.08,223200.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,175.56,177.28,174.78,176.92,176.92,216200.00
2019-07-08 00:00:00,176.17,177.96,175.89,177.92,177.92,345300.00
2019-07-09 00:00:00,176.60,177.64,173.77,174.19,174.19,415400.00
2019-07-10 00:00:00,175.00,175.98,174.06,175.61,175.61,318500.00
2019-07-11 00:00:00,176.46,176.46,172.25,172.99,172.99,401800.00
2019-07-12 00:00:00,173.84,179.47,173.84,178.49,178.49,334700.00
2019-07-15 00:00:00,178.02,178.78,174.75,176.36,176.36,269400.00
2019-07-16 00:00:00,176.35,177.47,174.87,176.40,176.40,315200.00
2019-07-17 00:00:00,176.57,176.57,172.01,175.14,175.14,349000.00
2019-07-18 00:00:00,175.17,176.95,174.44,176.38,176.38,269000.00
2019-07-19 00:00:00,177.26,177.51,174.01,174.24,174.24,294500.00
2019-07-22 00:00:00,175.32,177.65,174.23,175.54,175.54,485700.00
2019-07-23 00:00:00,176.20,178.69,175.08,178.14,178.14,321200.00
2019-07-24 00:00:00,178.50,179.66,176.71,179.06,179.06,296100.00
2019-07-25 00:00:00,178.98,179.65,176.60,177.58,177.58,391700.00
2019-07-26 00:00:00,174.70,177.50,152.73,159.52,159.52,1789600.00
2019-07-29 00:00:00,159.94,160.66,156.19,159.36,159.36,799200.00
2019-07-30 00:00:00,158.76,158.88,153.52,155.60,155.60,710700.00
2019-07-31 00:00:00,155.67,157.69,154.17,156.28,156.28,617500.00
2019-08-01 00:00:00,156.30,157.43,148.33,149.65,149.65,698000.00
