Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,77.61,77.63,76.34,77.45,72.33,1937800.00
2019-06-17 00:00:00,77.54,77.63,76.76,76.88,71.80,1995700.00
2019-06-18 00:00:00,77.13,78.76,76.77,77.82,72.67,1477600.00
2019-06-19 00:00:00,77.89,78.22,76.76,77.01,71.92,1508900.00
2019-06-20 00:00:00,77.88,78.56,77.35,78.39,73.21,1395700.00
2019-06-21 00:00:00,78.57,78.65,78.08,78.38,73.20,2569500.00
2019-06-24 00:00:00,78.24,78.87,77.50,77.59,72.46,2245700.00
2019-06-25 00:00:00,77.50,77.73,76.71,77.42,72.30,1204600.00
2019-06-26 00:00:00,77.70,78.26,77.27,77.59,72.46,1304200.00
2019-06-27 00:00:00,77.65,77.97,77.35,77.59,72.46,1717700.00
2019-06-28 00:00:00,77.59,78.11,77.00,77.59,72.46,3766600.00
2019-07-01 00:00:00,78.73,79.66,78.13,78.58,73.38,1994000.00
2019-07-02 00:00:00,78.64,79.32,78.51,78.87,73.65,1463100.00
2019-07-03 00:00:00,79.25,80.44,79.25,80.38,75.06,824000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,80.50,80.71,79.88,80.20,74.90,1038800.00
2019-07-08 00:00:00,79.84,80.56,79.77,80.28,74.97,1281400.00
2019-07-09 00:00:00,79.66,80.63,79.60,80.52,75.20,1796100.00
2019-07-10 00:00:00,80.73,81.77,79.93,80.10,74.80,1303900.00
2019-07-11 00:00:00,80.38,81.16,80.16,80.59,75.26,1491400.00
2019-07-12 00:00:00,80.68,81.47,80.52,81.29,75.91,1110100.00
2019-07-15 00:00:00,81.46,81.46,80.36,81.03,75.67,1110600.00
2019-07-16 00:00:00,81.29,81.98,80.88,80.94,75.59,1845300.00
2019-07-17 00:00:00,80.76,81.13,79.98,80.02,74.73,1283800.00
2019-07-18 00:00:00,79.73,81.66,79.71,81.63,76.23,1854800.00
2019-07-19 00:00:00,81.86,82.22,81.25,81.74,76.33,2404100.00
2019-07-22 00:00:00,81.66,82.57,81.59,82.33,76.89,3052900.00
2019-07-23 00:00:00,82.88,84.79,82.68,84.48,78.89,3563100.00
2019-07-24 00:00:00,87.66,92.37,87.27,92.00,85.92,7057400.00
2019-07-25 00:00:00,92.91,92.91,91.30,91.76,85.69,3344200.00
2019-07-26 00:00:00,91.82,92.98,91.00,92.91,86.77,2698000.00
2019-07-29 00:00:00,92.75,92.75,91.49,91.77,85.70,2271800.00
2019-07-30 00:00:00,90.88,91.96,90.52,91.05,85.03,2326900.00
2019-07-31 00:00:00,90.49,90.73,89.21,89.74,83.81,2604600.00
2019-08-01 00:00:00,89.75,90.05,87.02,87.62,81.83,3264700.00
2019-08-02 00:00:00,87.26,87.57,85.33,86.68,80.95,2574200.00
2019-08-05 00:00:00,84.83,84.96,82.55,83.20,77.70,3157400.00
2019-08-06 00:00:00,84.14,84.39,83.02,84.31,78.73,2440200.00
2019-08-07 00:00:00,82.68,83.94,81.86,83.77,78.23,2625000.00
2019-08-08 00:00:00,84.25,85.32,83.83,84.63,79.03,2146600.00
2019-08-09 00:00:00,84.23,84.68,83.51,83.99,78.44,1263600.00
2019-08-12 00:00:00,83.21,83.41,81.49,81.56,76.17,1212000.00
2019-08-13 00:00:00,81.24,83.55,81.00,82.95,77.46,1984900.00
2019-08-14 00:00:00,80.98,81.43,79.36,79.42,74.17,1879400.00
2019-08-15 00:00:00,79.84,80.50,78.54,79.03,73.80,1913600.00
2019-08-16 00:00:00,79.56,80.90,79.44,80.35,75.04,1853600.00
2019-08-19 00:00:00,81.65,81.81,80.70,80.88,75.53,1650600.00
2019-08-20 00:00:00,80.48,80.84,79.69,79.75,74.48,1445900.00
2019-08-21 00:00:00,80.06,80.24,79.58,79.77,74.91,1135200.00
2019-08-22 00:00:00,80.22,80.72,79.37,79.68,74.82,976700.00
2019-08-23 00:00:00,79.20,79.77,76.26,76.76,72.08,1670300.00
2019-08-26 00:00:00,77.50,78.09,76.63,78.06,73.30,1410800.00
2019-08-27 00:00:00,78.57,78.68,77.03,77.49,72.77,2018900.00
2019-08-28 00:00:00,77.17,79.36,77.16,78.96,74.15,1563100.00
2019-08-29 00:00:00,79.90,80.47,79.54,80.00,75.12,960400.00
2019-08-30 00:00:00,80.73,80.73,79.32,79.97,75.10,1498400.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,79.11,79.34,77.56,78.46,73.68,1734300.00
2019-09-04 00:00:00,79.27,79.66,78.71,79.33,74.49,1968200.00
2019-09-05 00:00:00,80.55,82.14,80.38,81.82,76.83,1943400.00
2019-09-06 00:00:00,81.99,82.63,81.50,82.25,77.24,1792600.00
2019-09-09 00:00:00,83.08,85.69,83.08,84.47,79.32,2212300.00
2019-09-10 00:00:00,84.21,85.08,83.40,84.32,79.18,1939800.00
2019-09-11 00:00:00,84.34,84.40,83.01,84.39,79.25,1868700.00
2019-09-12 00:00:00,84.52,84.96,83.59,84.50,79.35,1954000.00
2019-09-13 00:00:00,85.21,85.63,84.44,84.78,79.61,1651000.00
2019-09-16 00:00:00,83.92,83.92,82.35,83.59,78.50,1808900.00
2019-09-17 00:00:00,83.38,84.12,82.80,83.90,78.79,1855200.00
2019-09-18 00:00:00,83.74,84.46,82.94,84.31,79.17,1226300.00
2019-09-19 00:00:00,84.09,84.95,83.66,83.74,78.64,1108100.00
2019-09-20 00:00:00,84.05,84.57,82.94,82.94,77.88,2911000.00
2019-09-23 00:00:00,82.08,83.59,82.01,83.31,78.23,1529200.00
2019-09-24 00:00:00,83.73,84.25,81.60,82.00,77.00,2365800.00
2019-09-25 00:00:00,81.98,82.30,80.95,81.75,76.77,2133600.00
2019-09-26 00:00:00,81.93,82.17,81.15,81.35,76.39,1387800.00
2019-09-27 00:00:00,81.99,82.67,81.06,81.51,76.54,1102700.00
2019-09-30 00:00:00,81.87,81.95,80.89,81.09,76.15,1829700.00
2019-10-01 00:00:00,81.71,81.85,78.78,78.94,74.13,1979900.00
2019-10-02 00:00:00,78.15,78.36,76.20,76.81,72.13,1930600.00
2019-10-03 00:00:00,76.43,77.02,74.85,76.51,71.85,1807100.00
2019-10-04 00:00:00,76.52,77.95,76.52,77.89,73.14,1298700.00
2019-10-07 00:00:00,77.55,78.65,77.49,77.70,72.96,1600800.00
2019-10-08 00:00:00,76.78,76.78,75.16,75.17,70.59,1469100.00
2019-10-09 00:00:00,75.96,76.86,75.75,76.14,71.50,1712400.00
2019-10-10 00:00:00,76.29,77.48,76.21,76.50,71.84,1477000.00
2019-10-11 00:00:00,77.73,78.64,77.28,77.36,72.64,2011200.00
2019-10-14 00:00:00,76.80,78.00,76.56,77.75,73.01,1613600.00
2019-10-15 00:00:00,78.30,79.68,77.83,78.95,74.14,1470800.00
2019-10-16 00:00:00,78.77,79.44,78.47,78.56,73.77,1681500.00
2019-10-17 00:00:00,78.89,79.62,78.46,79.23,74.40,1848500.00
2019-10-18 00:00:00,79.22,79.63,78.73,78.94,74.13,1662000.00
2019-10-21 00:00:00,79.68,80.65,79.61,80.44,75.54,1748600.00
2019-10-22 00:00:00,79.96,82.09,79.96,81.15,76.20,3516400.00
2019-10-23 00:00:00,82.34,83.33,80.04,80.52,75.61,2692200.00
2019-10-24 00:00:00,80.41,80.95,78.67,79.74,74.88,1486600.00
2019-10-25 00:00:00,79.59,80.53,79.01,80.14,75.26,1420300.00
2019-10-28 00:00:00,80.62,81.54,80.50,81.43,76.47,2203500.00
2019-10-29 00:00:00,81.13,82.16,81.08,81.22,76.27,1360200.00
2019-10-30 00:00:00,81.25,81.26,80.14,81.15,76.20,1197500.00
2019-10-31 00:00:00,80.70,81.15,79.52,80.26,75.37,1331600.00
2019-11-01 00:00:00,81.06,81.94,80.83,81.72,76.74,1075600.00
2019-11-04 00:00:00,82.42,82.74,82.01,82.66,77.62,1336700.00
2019-11-05 00:00:00,82.84,83.73,82.69,83.10,78.04,1752400.00
2019-11-06 00:00:00,83.24,83.76,82.69,83.18,78.11,1732100.00
2019-11-07 00:00:00,83.78,85.27,83.78,84.35,79.21,1500300.00
2019-11-08 00:00:00,84.25,84.71,83.45,84.71,79.55,1201600.00
2019-11-11 00:00:00,83.92,84.80,83.92,84.12,78.99,669000.00
2019-11-12 00:00:00,84.14,84.63,83.71,84.45,79.30,1402300.00
2019-11-13 00:00:00,84.00,84.52,83.37,84.31,79.17,1513600.00
2019-11-14 00:00:00,84.04,85.05,84.04,84.81,79.64,1331400.00
2019-11-15 00:00:00,85.20,85.20,84.04,84.52,79.37,1631700.00
2019-11-18 00:00:00,84.23,84.73,83.55,84.15,79.02,1721600.00
2019-11-19 00:00:00,84.46,84.88,83.83,83.91,78.80,1421500.00
2019-11-20 00:00:00,83.24,83.55,82.31,82.86,78.22,1173500.00
2019-11-21 00:00:00,82.97,83.11,82.29,82.92,78.28,987100.00
2019-11-22 00:00:00,83.20,84.04,82.93,83.87,79.17,955000.00
2019-11-25 00:00:00,83.98,85.27,83.97,85.18,80.41,1093000.00
2019-11-26 00:00:00,84.81,85.16,84.24,84.73,79.99,1054300.00
2019-11-27 00:00:00,85.00,85.33,84.59,85.12,80.35,990400.00
2019-11-28 00:00:00,,,,,,
2019-11-29 00:00:00,84.90,85.22,84.66,84.87,80.12,606300.00
2019-12-02 00:00:00,85.26,85.54,83.96,84.06,79.35,1295000.00
2019-12-03 00:00:00,82.99,83.18,81.59,82.96,78.31,1785400.00
2019-12-04 00:00:00,82.96,83.99,82.96,83.63,78.95,1603300.00
2019-12-05 00:00:00,82.80,83.32,82.15,83.13,78.47,2368000.00
2019-12-06 00:00:00,84.19,84.93,84.05,84.31,79.59,1644700.00
2019-12-09 00:00:00,83.98,84.89,83.80,84.21,79.49,1425300.00
2019-12-10 00:00:00,84.00,84.92,83.78,84.86,80.11,1104900.00
2019-12-11 00:00:00,84.92,85.25,84.04,84.23,79.51,1215300.00
2019-12-12 00:00:00,84.39,86.56,84.14,86.38,81.54,1536800.00
2019-12-13 00:00:00,86.48,87.39,85.88,86.68,81.83,1331600.00
2019-12-16 00:00:00,87.14,87.37,86.03,86.13,81.31,1787600.00
2019-12-17 00:00:00,86.39,86.97,85.82,86.51,81.67,1710100.00
2019-12-18 00:00:00,86.47,86.94,86.22,86.51,81.67,2004900.00
2019-12-19 00:00:00,86.44,86.68,86.06,86.32,81.49,1872600.00
2019-12-20 00:00:00,86.84,87.43,86.50,86.70,81.84,2909000.00
2019-12-23 00:00:00,86.79,86.79,85.22,85.34,80.56,1035500.00
2019-12-24 00:00:00,85.38,85.65,84.97,85.28,80.50,450400.00
2019-12-25 00:00:00,,,,,,
2019-12-26 00:00:00,85.42,85.65,85.08,85.49,80.70,787700.00
2019-12-27 00:00:00,85.65,85.65,84.85,84.95,80.19,556100.00
2019-12-30 00:00:00,85.29,85.39,84.35,84.53,79.80,775500.00
2019-12-31 00:00:00,84.29,84.99,84.29,84.82,80.07,894100.00
2020-01-02 00:00:00,85.11,85.31,84.47,85.30,80.52,1559200.00
2020-01-03 00:00:00,84.01,84.43,83.35,83.88,79.18,1068300.00
2020-01-06 00:00:00,83.01,83.38,81.67,82.40,77.79,2278300.00
2020-01-07 00:00:00,81.96,82.39,81.39,81.49,76.93,1926300.00
2020-01-08 00:00:00,81.67,83.06,81.35,82.37,77.76,2092300.00
2020-01-09 00:00:00,82.94,83.49,82.92,83.43,78.76,1580100.00
2020-01-10 00:00:00,83.44,83.59,82.54,82.68,78.05,909100.00
