Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,139.42,140.25,139.09,139.63,138.02,2297200.00
2019-06-17 00:00:00,139.99,140.23,138.65,139.35,137.74,2199600.00
2019-06-18 00:00:00,140.46,141.54,139.62,141.01,139.38,1830100.00
2019-06-19 00:00:00,140.75,143.18,140.75,142.54,140.90,1923100.00
2019-06-20 00:00:00,143.93,144.57,142.63,143.65,141.99,2053700.00
2019-06-21 00:00:00,143.30,144.08,142.57,143.73,142.07,3016100.00
2019-06-24 00:00:00,143.63,144.09,142.12,142.15,140.51,2170600.00
2019-06-25 00:00:00,142.43,143.59,141.81,142.20,140.56,2333800.00
2019-06-26 00:00:00,142.01,142.49,139.83,140.91,139.29,2317400.00
2019-06-27 00:00:00,141.76,142.10,140.61,141.98,140.51,1616100.00
2019-06-28 00:00:00,141.98,143.11,140.73,142.92,141.44,3777800.00
2019-07-01 00:00:00,144.04,144.88,143.36,144.00,142.51,1516400.00
2019-07-02 00:00:00,144.41,144.51,143.00,144.14,142.65,1770900.00
2019-07-03 00:00:00,144.54,145.34,144.19,145.31,143.81,1453400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,144.57,145.50,143.11,144.45,142.96,1124700.00
2019-07-08 00:00:00,143.97,144.00,142.65,143.62,142.14,1955000.00
2019-07-09 00:00:00,143.08,143.31,142.10,142.29,140.82,2502000.00
2019-07-10 00:00:00,142.73,143.62,142.56,142.60,141.13,2352300.00
2019-07-11 00:00:00,143.19,143.23,141.96,142.71,141.24,2320100.00
2019-07-12 00:00:00,142.40,142.64,139.51,140.03,138.58,4283800.00
2019-07-15 00:00:00,140.38,141.36,139.53,141.11,139.65,2434100.00
2019-07-16 00:00:00,141.45,141.73,139.70,139.83,138.38,2178600.00
2019-07-17 00:00:00,140.39,141.32,139.43,139.65,138.21,2755200.00
2019-07-18 00:00:00,141.45,144.00,140.87,143.00,141.52,4990100.00
2019-07-19 00:00:00,143.50,143.70,141.43,141.61,140.15,3821800.00
2019-07-22 00:00:00,142.00,142.32,141.03,141.62,140.16,2391200.00
2019-07-23 00:00:00,141.86,142.86,141.51,142.51,141.04,3298400.00
2019-07-24 00:00:00,142.44,142.88,141.05,142.69,141.22,2946300.00
2019-07-25 00:00:00,142.60,143.71,141.78,143.21,141.73,1317600.00
2019-07-26 00:00:00,144.04,144.14,141.96,142.28,140.81,1567800.00
2019-07-29 00:00:00,142.35,143.19,141.64,142.68,141.21,1468000.00
2019-07-30 00:00:00,141.98,143.08,141.46,142.70,141.23,2040900.00
2019-07-31 00:00:00,142.49,142.78,139.27,140.50,139.05,1986400.00
2019-08-01 00:00:00,140.84,142.36,139.14,140.22,138.77,2489800.00
2019-08-02 00:00:00,140.28,140.43,138.63,139.19,137.75,2021200.00
2019-08-05 00:00:00,137.17,137.96,134.11,135.70,134.30,2780300.00
2019-08-06 00:00:00,136.29,138.25,135.79,138.23,136.80,2984100.00
2019-08-07 00:00:00,136.29,138.68,134.50,138.20,136.77,2064600.00
2019-08-08 00:00:00,139.09,141.07,138.61,140.89,139.43,1870000.00
2019-08-09 00:00:00,140.75,141.51,139.19,140.31,138.86,1306800.00
2019-08-12 00:00:00,139.56,140.72,138.03,138.41,136.98,1222300.00
2019-08-13 00:00:00,137.72,141.44,137.72,140.54,139.09,1675900.00
2019-08-14 00:00:00,139.13,140.24,136.29,136.36,134.95,2390700.00
2019-08-15 00:00:00,137.74,139.40,136.48,137.19,135.77,2248300.00
2019-08-16 00:00:00,138.57,140.55,137.88,140.35,138.90,1988700.00
2019-08-19 00:00:00,141.82,142.14,140.23,141.71,140.25,1604200.00
2019-08-20 00:00:00,141.91,142.50,140.00,140.07,138.62,1551900.00
2019-08-21 00:00:00,141.40,141.58,139.20,140.32,138.87,1458500.00
2019-08-22 00:00:00,140.75,141.55,138.77,139.56,138.12,1244600.00
2019-08-23 00:00:00,139.52,140.20,134.54,135.40,134.00,2258800.00
2019-08-26 00:00:00,136.38,136.95,134.97,136.40,134.99,1461700.00
2019-08-27 00:00:00,137.98,138.80,137.01,138.25,136.82,3026100.00
2019-08-28 00:00:00,137.43,139.79,137.25,139.49,138.05,1636100.00
2019-08-29 00:00:00,140.64,142.28,140.05,141.68,140.22,2204200.00
2019-08-30 00:00:00,142.82,143.38,141.22,142.09,140.62,1960300.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,140.55,141.00,138.97,139.87,138.42,1920700.00
2019-09-04 00:00:00,140.48,142.00,139.44,140.26,138.81,1564700.00
2019-09-05 00:00:00,141.88,143.45,140.99,142.95,141.47,2231500.00
2019-09-06 00:00:00,143.59,144.93,143.12,144.33,142.84,1712100.00
2019-09-09 00:00:00,144.10,144.27,139.08,139.36,137.92,2026400.00
2019-09-10 00:00:00,138.29,138.36,133.84,136.59,135.18,3862300.00
2019-09-11 00:00:00,136.55,139.76,135.48,139.50,138.06,2860800.00
2019-09-12 00:00:00,140.36,142.15,140.11,141.74,140.28,2180700.00
2019-09-13 00:00:00,141.39,142.75,140.02,141.02,139.56,2151700.00
2019-09-16 00:00:00,140.33,141.65,139.57,140.65,139.20,2313200.00
2019-09-17 00:00:00,140.65,142.71,140.52,142.33,140.86,1818000.00
2019-09-18 00:00:00,142.39,144.76,141.83,143.95,142.46,2610100.00
2019-09-19 00:00:00,144.00,146.93,143.90,145.75,144.24,2621800.00
2019-09-20 00:00:00,146.66,147.33,145.83,146.47,144.96,5103500.00
2019-09-23 00:00:00,145.30,146.34,144.21,144.60,143.11,1799500.00
