Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,18.13,18.37,18.12,18.12,15.47,852700.00
2019-06-17 00:00:00,18.16,18.42,18.16,18.37,15.68,685400.00
2019-06-18 00:00:00,18.52,18.59,18.13,18.17,15.51,986500.00
2019-06-19 00:00:00,18.16,18.36,17.97,18.28,15.61,1085000.00
2019-06-20 00:00:00,18.32,18.52,18.29,18.40,15.71,1269000.00
2019-06-21 00:00:00,18.27,18.27,17.85,17.89,15.27,2235500.00
2019-06-24 00:00:00,17.99,18.06,17.75,17.85,15.24,1219600.00
2019-06-25 00:00:00,17.89,18.05,17.68,17.68,15.09,1168400.00
2019-06-26 00:00:00,17.70,17.70,16.86,17.04,14.55,2717500.00
2019-06-27 00:00:00,17.14,17.26,17.04,17.26,14.73,1545900.00
2019-06-28 00:00:00,17.28,17.63,17.28,17.44,14.89,2668700.00
2019-07-01 00:00:00,17.62,17.62,17.01,17.29,14.76,2138900.00
2019-07-02 00:00:00,17.15,17.38,17.11,17.26,14.93,2013500.00
2019-07-03 00:00:00,17.31,17.58,17.28,17.50,15.14,807300.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,17.36,17.54,17.08,17.51,15.15,1354700.00
2019-07-08 00:00:00,17.52,17.75,17.48,17.62,15.24,1169600.00
2019-07-09 00:00:00,17.60,17.74,17.53,17.69,15.30,1186100.00
2019-07-10 00:00:00,17.80,17.91,17.67,17.77,15.37,1132800.00
2019-07-11 00:00:00,17.75,17.75,17.46,17.51,15.15,2219700.00
2019-07-12 00:00:00,17.53,17.62,17.36,17.55,15.18,1373400.00
2019-07-15 00:00:00,17.59,17.59,17.30,17.47,15.11,1190500.00
2019-07-16 00:00:00,17.34,17.50,17.24,17.30,14.97,1051000.00
2019-07-17 00:00:00,17.33,17.46,17.24,17.36,15.02,1321800.00
2019-07-18 00:00:00,17.42,17.47,17.23,17.39,15.05,984800.00
2019-07-19 00:00:00,17.31,17.36,16.90,16.92,14.64,1555600.00
2019-07-22 00:00:00,16.97,17.06,16.84,16.87,14.60,717200.00
2019-07-23 00:00:00,16.90,17.12,16.83,17.08,14.78,957500.00
2019-07-24 00:00:00,17.13,17.25,16.86,17.06,14.76,1636500.00
2019-07-25 00:00:00,17.04,17.07,16.82,16.88,14.60,1622800.00
2019-07-26 00:00:00,16.92,17.21,16.83,17.16,14.85,1236300.00
2019-07-29 00:00:00,17.25,17.33,17.10,17.16,14.85,524800.00
2019-07-30 00:00:00,17.09,17.36,17.09,17.34,15.00,806700.00
2019-07-31 00:00:00,17.36,17.49,17.11,17.21,14.89,1457100.00
2019-08-01 00:00:00,17.22,17.30,16.95,16.96,14.67,1407800.00
2019-08-02 00:00:00,16.94,17.17,16.90,17.08,14.78,882200.00
2019-08-05 00:00:00,17.00,17.00,16.55,16.86,14.59,1781500.00
2019-08-06 00:00:00,16.86,17.19,16.75,17.01,14.72,1165900.00
2019-08-07 00:00:00,16.79,17.41,16.55,17.12,14.81,1947600.00
2019-08-08 00:00:00,17.16,17.53,16.90,17.48,15.12,1260300.00
2019-08-09 00:00:00,17.40,17.53,17.28,17.47,15.11,801700.00
2019-08-12 00:00:00,17.42,17.50,17.22,17.31,14.98,1303100.00
2019-08-13 00:00:00,17.27,17.40,17.16,17.24,14.92,727200.00
2019-08-14 00:00:00,17.26,17.28,17.06,17.10,14.79,951000.00
2019-08-15 00:00:00,17.08,17.33,17.06,17.33,14.99,1702300.00
2019-08-16 00:00:00,17.37,17.66,17.33,17.62,15.24,1465700.00
2019-08-19 00:00:00,17.67,17.82,17.54,17.76,15.37,1143700.00
2019-08-20 00:00:00,17.82,17.87,17.62,17.65,15.27,1112800.00
2019-08-21 00:00:00,17.69,17.72,17.50,17.59,15.22,1104100.00
2019-08-22 00:00:00,17.60,17.73,17.55,17.63,15.25,2405300.00
2019-08-23 00:00:00,17.62,17.83,17.24,17.27,14.94,1770900.00
2019-08-26 00:00:00,17.41,17.43,17.25,17.40,15.05,1203200.00
2019-08-27 00:00:00,17.52,17.66,17.35,17.36,15.02,2257600.00
2019-08-28 00:00:00,17.37,17.46,17.24,17.29,14.96,1279100.00
2019-08-29 00:00:00,17.38,17.42,17.26,17.33,14.99,1547100.00
2019-08-30 00:00:00,17.33,17.40,17.29,17.32,14.98,1188100.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,17.29,17.64,17.28,17.48,15.12,2429400.00
2019-09-04 00:00:00,17.54,17.61,17.41,17.45,15.10,1595500.00
2019-09-05 00:00:00,17.40,17.44,17.20,17.25,14.92,1207500.00
2019-09-06 00:00:00,17.29,17.39,17.21,17.25,14.92,1084600.00
2019-09-09 00:00:00,17.34,17.59,17.17,17.57,15.20,2170000.00
2019-09-10 00:00:00,17.49,17.52,17.12,17.18,14.86,1534200.00
2019-09-11 00:00:00,17.24,17.40,17.16,17.32,14.98,1497000.00
2019-09-12 00:00:00,17.51,17.54,17.24,17.27,14.94,1807700.00
2019-09-13 00:00:00,17.24,17.57,17.16,17.23,14.91,1658000.00
2019-09-16 00:00:00,17.29,17.39,17.18,17.36,15.02,1343700.00
2019-09-17 00:00:00,17.36,17.58,17.35,17.56,15.19,1214900.00
2019-09-18 00:00:00,17.72,17.72,17.23,17.40,15.05,1423800.00
2019-09-19 00:00:00,17.42,17.55,17.37,17.40,15.05,1497700.00
2019-09-20 00:00:00,17.42,17.61,17.39,17.47,15.11,2274500.00
2019-09-23 00:00:00,17.50,17.76,17.46,17.68,15.30,1111400.00
2019-09-24 00:00:00,17.72,17.77,17.52,17.68,15.30,1241000.00
2019-09-25 00:00:00,17.65,17.75,17.53,17.65,15.27,1392100.00
2019-09-26 00:00:00,17.71,17.83,17.62,17.78,15.38,811100.00
2019-09-27 00:00:00,17.80,17.88,17.67,17.77,15.37,952000.00
2019-09-30 00:00:00,17.79,17.88,17.68,17.75,15.36,1089400.00
2019-10-01 00:00:00,17.76,17.79,17.50,17.54,15.18,1151800.00
2019-10-02 00:00:00,17.45,17.48,17.25,17.38,15.24,893800.00
2019-10-03 00:00:00,17.36,17.60,17.32,17.48,15.32,1194400.00
