Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,50.90,53.37,50.80,52.75,52.75,3103900.00
2019-06-18 00:00:00,53.19,54.20,52.66,53.51,53.51,3024200.00
2019-06-19 00:00:00,53.56,53.88,52.12,53.09,53.09,1755200.00
2019-06-20 00:00:00,54.00,54.96,53.70,54.87,54.87,2727300.00
2019-06-21 00:00:00,54.25,54.87,52.65,52.83,52.83,3092300.00
2019-06-24 00:00:00,52.95,53.38,50.86,51.01,51.01,2731000.00
2019-06-25 00:00:00,50.95,51.57,49.73,49.83,49.83,1790800.00
2019-06-26 00:00:00,50.16,50.65,49.49,49.49,49.49,2086000.00
2019-06-27 00:00:00,49.65,51.14,49.55,50.65,50.65,2626000.00
2019-06-28 00:00:00,50.69,51.08,49.23,49.71,49.71,6188800.00
2019-07-01 00:00:00,50.53,51.16,49.52,50.65,50.65,1891700.00
2019-07-02 00:00:00,50.84,51.86,50.21,51.34,51.34,1834700.00
2019-07-03 00:00:00,51.44,51.80,50.65,51.65,51.65,1287800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,50.91,52.20,50.70,52.16,52.16,1292900.00
2019-07-08 00:00:00,52.00,52.24,51.33,51.65,51.65,1199100.00
2019-07-09 00:00:00,51.46,52.52,51.27,52.00,52.00,2480800.00
2019-07-10 00:00:00,52.34,53.00,51.34,51.35,51.35,1999500.00
2019-07-11 00:00:00,51.76,53.88,51.74,53.80,53.80,2353500.00
2019-07-12 00:00:00,53.85,53.90,52.53,53.20,53.20,1210700.00
2019-07-15 00:00:00,53.50,54.17,52.90,54.05,54.05,845900.00
2019-07-16 00:00:00,54.00,54.09,53.32,53.62,53.62,953900.00
2019-07-17 00:00:00,54.28,54.30,52.39,52.77,52.77,1720900.00
2019-07-18 00:00:00,52.51,53.30,52.41,53.05,53.05,2874300.00
2019-07-19 00:00:00,53.49,53.49,52.16,52.42,52.42,1180700.00
2019-07-22 00:00:00,52.68,52.97,52.02,52.37,52.37,2029300.00
2019-07-23 00:00:00,52.51,53.23,52.21,52.94,52.94,836800.00
2019-07-24 00:00:00,52.67,54.53,52.53,54.35,54.35,1211500.00
2019-07-25 00:00:00,54.30,54.30,52.23,52.47,52.47,2386500.00
2019-07-26 00:00:00,52.81,54.78,52.67,54.68,54.68,2809100.00
2019-07-29 00:00:00,54.66,54.69,52.36,53.90,53.90,1370500.00
2019-07-30 00:00:00,53.55,54.41,53.18,54.15,54.15,1190200.00
2019-07-31 00:00:00,54.17,54.20,51.30,51.72,51.72,1981400.00
2019-08-01 00:00:00,51.73,53.00,49.52,49.93,49.93,2106600.00
