Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,86.20,87.14,84.65,84.77,84.77,113300.00
2019-06-18 00:00:00,85.45,86.27,84.98,85.41,85.41,86700.00
2019-06-19 00:00:00,85.18,86.48,83.87,86.32,86.32,101300.00
2019-06-20 00:00:00,86.83,88.46,86.83,88.40,88.40,115800.00
2019-06-21 00:00:00,88.10,88.86,86.02,86.46,86.46,223700.00
2019-06-24 00:00:00,86.47,86.53,84.72,85.42,85.42,111700.00
2019-06-25 00:00:00,85.63,86.78,84.55,84.76,84.76,148500.00
2019-06-26 00:00:00,85.27,85.27,83.31,83.81,83.81,199300.00
2019-06-27 00:00:00,84.49,85.73,84.47,85.72,85.72,162100.00
2019-06-28 00:00:00,86.01,88.33,85.88,87.14,87.14,278700.00
2019-07-01 00:00:00,88.19,89.65,86.18,87.52,87.52,180000.00
2019-07-02 00:00:00,87.62,88.80,85.39,86.36,86.36,141700.00
2019-07-03 00:00:00,86.95,87.90,85.70,87.27,87.27,90900.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,86.83,88.17,86.44,87.99,87.99,68600.00
2019-07-08 00:00:00,87.90,87.90,83.38,83.54,83.54,265400.00
2019-07-09 00:00:00,83.39,83.39,80.01,80.85,80.85,185600.00
2019-07-10 00:00:00,80.76,81.69,78.66,80.72,80.72,578400.00
2019-07-11 00:00:00,80.77,81.56,78.79,79.18,79.18,150200.00
2019-07-12 00:00:00,79.59,82.32,78.32,81.84,81.84,135900.00
2019-07-15 00:00:00,82.18,82.58,80.44,82.32,82.32,168300.00
2019-07-16 00:00:00,81.81,83.88,81.30,82.38,82.38,116200.00
2019-07-17 00:00:00,82.88,82.97,81.52,81.55,81.55,172400.00
2019-07-18 00:00:00,81.98,82.42,81.00,82.17,82.17,117700.00
2019-07-19 00:00:00,82.46,84.32,81.92,82.09,82.09,164100.00
2019-07-22 00:00:00,82.21,83.36,81.53,81.86,81.86,112400.00
2019-07-23 00:00:00,82.62,84.30,82.34,83.99,83.99,137800.00
2019-07-24 00:00:00,83.93,85.49,82.31,85.10,85.10,137100.00
2019-07-25 00:00:00,85.00,85.76,84.13,84.72,84.72,125100.00
2019-07-26 00:00:00,85.06,85.79,84.28,84.76,84.76,150200.00
2019-07-29 00:00:00,84.66,85.00,82.54,82.92,82.92,140900.00
2019-07-30 00:00:00,77.00,77.00,67.39,73.05,73.05,866400.00
2019-07-31 00:00:00,72.61,74.89,71.28,71.88,71.88,421800.00
2019-08-01 00:00:00,71.82,72.61,68.79,69.01,69.01,346300.00
2019-08-02 00:00:00,68.87,70.06,67.56,69.17,69.17,336700.00
