Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,96.01,96.33,95.38,95.41,91.29,429900.00
2019-06-18 00:00:00,96.01,97.03,95.85,96.36,92.20,642700.00
2019-06-19 00:00:00,96.53,97.32,95.71,96.94,92.76,609200.00
2019-06-20 00:00:00,98.00,98.49,96.96,98.05,93.82,954700.00
2019-06-21 00:00:00,98.13,98.26,97.09,97.22,93.03,1344000.00
2019-06-24 00:00:00,97.50,98.29,96.87,97.95,93.72,656000.00
2019-06-25 00:00:00,97.97,98.67,97.52,98.61,94.36,709200.00
2019-06-26 00:00:00,98.65,99.12,98.09,98.35,94.11,596300.00
2019-06-27 00:00:00,98.55,98.62,97.69,98.54,94.29,788200.00
2019-06-28 00:00:00,98.80,100.43,98.59,100.20,95.88,1917000.00
2019-07-01 00:00:00,101.30,102.69,100.60,102.34,97.92,1569900.00
2019-07-02 00:00:00,102.49,103.19,101.83,102.19,97.78,1508200.00
2019-07-03 00:00:00,102.34,103.47,102.23,103.39,98.93,643500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,102.57,103.09,101.50,102.74,98.31,1019100.00
2019-07-08 00:00:00,102.50,102.50,100.75,101.26,96.89,731600.00
2019-07-09 00:00:00,100.44,100.78,100.04,100.39,96.06,1003300.00
2019-07-10 00:00:00,101.08,101.17,98.50,98.54,94.29,993300.00
2019-07-11 00:00:00,98.59,98.94,96.72,97.63,93.42,1140400.00
2019-07-12 00:00:00,98.02,100.09,97.97,100.06,95.74,854900.00
2019-07-15 00:00:00,99.97,100.10,99.00,99.34,95.05,644300.00
2019-07-16 00:00:00,99.02,99.81,98.63,99.32,95.03,651700.00
2019-07-17 00:00:00,99.08,99.08,95.27,95.46,91.34,1346000.00
2019-07-18 00:00:00,94.98,98.48,93.76,97.22,93.03,1961900.00
2019-07-19 00:00:00,97.88,99.13,97.73,98.12,93.89,1184400.00
2019-07-22 00:00:00,98.13,98.67,96.81,97.20,93.01,1277800.00
2019-07-23 00:00:00,97.84,98.22,96.54,98.11,93.88,1318500.00
2019-07-24 00:00:00,97.10,98.03,96.29,97.71,93.49,1047600.00
2019-07-25 00:00:00,97.81,98.93,96.75,98.78,94.52,1179800.00
2019-07-26 00:00:00,98.38,98.97,98.00,98.21,93.97,631600.00
2019-07-29 00:00:00,98.35,98.35,96.70,96.77,92.59,557300.00
2019-07-30 00:00:00,95.07,97.89,95.07,97.89,93.67,624500.00
2019-07-31 00:00:00,97.69,97.97,95.94,96.85,92.67,913500.00
2019-08-01 00:00:00,96.66,96.99,94.13,94.39,90.32,1113800.00
