Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,110.39,110.87,109.45,110.42,101.41,1282395.00
2019-06-18 00:00:00,110.64,110.90,109.04,109.76,100.81,1575088.00
2019-06-19 00:00:00,109.25,111.41,109.22,111.04,101.98,853168.00
2019-06-20 00:00:00,111.16,111.84,110.58,111.64,102.54,688315.00
2019-06-21 00:00:00,111.63,111.88,110.28,111.58,102.48,1670498.00
2019-06-24 00:00:00,112.01,112.07,111.25,111.99,102.86,903928.00
2019-06-25 00:00:00,112.19,112.23,110.54,110.83,101.79,1023073.00
2019-06-26 00:00:00,110.54,110.92,108.44,108.49,99.64,786663.00
2019-06-27 00:00:00,108.71,109.06,108.06,108.56,99.71,696188.00
2019-06-28 00:00:00,108.34,109.36,108.20,108.83,99.96,1312475.00
2019-07-01 00:00:00,108.89,109.20,107.39,109.17,100.27,1055973.00
2019-07-02 00:00:00,109.46,110.60,109.46,110.50,101.49,973958.00
2019-07-03 00:00:00,110.91,111.98,110.90,111.57,102.47,537093.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,110.72,111.51,109.45,111.38,102.30,628743.00
2019-07-08 00:00:00,111.55,111.86,110.72,111.51,102.42,854930.00
2019-07-09 00:00:00,111.40,111.82,110.77,111.68,102.57,1144920.00
2019-07-10 00:00:00,111.81,112.29,111.38,111.97,102.84,756113.00
2019-07-11 00:00:00,111.97,112.42,110.96,112.02,102.88,791715.00
2019-07-12 00:00:00,112.24,112.24,110.74,110.98,101.93,671630.00
2019-07-15 00:00:00,110.83,111.49,110.23,110.63,101.61,1350780.00
2019-07-16 00:00:00,110.28,110.89,109.44,110.26,101.27,859513.00
2019-07-17 00:00:00,110.71,111.20,110.45,110.71,101.68,816273.00
2019-07-18 00:00:00,110.88,111.83,109.90,111.80,102.68,921670.00
2019-07-19 00:00:00,111.58,111.74,109.56,109.61,100.67,778320.00
2019-07-22 00:00:00,109.62,109.91,108.48,109.46,100.53,719335.00
2019-07-23 00:00:00,109.41,109.54,108.30,109.08,100.19,1102268.00
2019-07-24 00:00:00,109.62,109.62,108.00,108.69,99.83,1219298.00
2019-07-25 00:00:00,108.59,109.78,108.28,108.99,100.10,889710.00
2019-07-26 00:00:00,108.94,110.15,108.69,110.10,101.12,1093690.00
2019-07-29 00:00:00,110.64,110.64,108.79,109.77,100.82,1346315.00
2019-07-30 00:00:00,109.86,110.38,108.30,108.89,100.01,911800.00
2019-07-31 00:00:00,108.85,109.45,107.61,108.18,99.36,1168655.00
2019-08-01 00:00:00,108.09,110.41,107.63,109.83,100.87,951280.00
