Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,88.08,88.59,87.52,87.95,78.55,2448600.00
2019-06-18 00:00:00,88.36,88.50,86.32,87.24,77.92,2532600.00
2019-06-19 00:00:00,86.90,88.12,86.68,87.65,78.28,2683200.00
2019-06-20 00:00:00,88.14,88.84,87.68,88.58,79.11,2428300.00
2019-06-21 00:00:00,88.64,89.60,87.97,89.53,79.96,6867500.00
2019-06-24 00:00:00,89.62,90.13,89.22,89.91,80.30,3305700.00
2019-06-25 00:00:00,89.91,90.68,89.78,90.12,80.49,3996800.00
2019-06-26 00:00:00,89.84,89.94,87.93,87.98,78.58,3437000.00
2019-06-27 00:00:00,88.07,88.72,87.77,88.55,79.09,2726700.00
2019-06-28 00:00:00,88.49,89.14,87.94,88.24,78.81,3875700.00
2019-07-01 00:00:00,88.01,88.24,87.24,88.01,78.60,2848000.00
2019-07-02 00:00:00,88.17,89.45,88.16,89.14,79.61,2039000.00
2019-07-03 00:00:00,89.20,90.60,89.20,90.10,80.47,1717600.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,89.42,89.77,88.21,89.68,80.10,1744000.00
2019-07-08 00:00:00,89.90,90.06,89.06,89.66,80.08,2046900.00
2019-07-09 00:00:00,90.25,90.27,88.87,89.40,79.84,2598000.00
2019-07-10 00:00:00,89.80,90.14,89.30,89.63,80.05,2401700.00
2019-07-11 00:00:00,89.49,90.03,88.61,89.45,79.89,2379100.00
2019-07-12 00:00:00,89.59,89.59,88.44,88.70,79.22,2101400.00
2019-07-15 00:00:00,88.81,89.53,88.55,89.38,79.83,1847700.00
2019-07-16 00:00:00,89.11,89.53,88.37,89.03,79.51,1727100.00
2019-07-17 00:00:00,89.34,89.69,88.89,89.14,79.61,2102700.00
2019-07-18 00:00:00,89.21,89.85,88.66,89.79,80.19,1911700.00
2019-07-19 00:00:00,89.64,89.82,88.43,88.45,79.00,2408000.00
2019-07-22 00:00:00,88.60,88.69,87.84,88.15,78.73,2160300.00
2019-07-23 00:00:00,88.18,88.24,87.37,87.68,78.31,3141800.00
2019-07-24 00:00:00,87.95,87.98,86.80,87.18,77.86,2386500.00
2019-07-25 00:00:00,86.90,87.39,86.17,86.49,77.25,2680300.00
2019-07-26 00:00:00,86.50,87.08,86.27,86.91,77.62,2426000.00
2019-07-29 00:00:00,87.23,87.88,87.02,87.79,78.41,2442900.00
2019-07-30 00:00:00,87.61,88.18,86.91,87.74,78.36,2693400.00
2019-07-31 00:00:00,87.62,87.83,86.31,86.72,77.45,2824800.00
2019-08-01 00:00:00,86.80,88.02,86.38,87.50,78.15,3055000.00
