Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,25.52,26.46,25.34,26.40,23.57,5624000.00
2019-06-18 00:00:00,26.57,27.34,26.47,26.90,24.02,5800900.00
2019-06-19 00:00:00,26.85,27.24,26.50,26.91,24.03,7122000.00
2019-06-20 00:00:00,27.65,28.30,27.56,28.07,25.07,7345900.00
2019-06-21 00:00:00,28.24,28.57,27.96,28.24,25.22,6676700.00
2019-06-24 00:00:00,28.22,28.52,27.71,27.92,24.93,5202100.00
2019-06-25 00:00:00,27.81,28.22,27.65,27.92,24.93,4782200.00
2019-06-26 00:00:00,28.47,29.20,28.42,28.73,25.65,6219400.00
2019-06-27 00:00:00,28.73,28.96,28.18,28.30,25.27,4934200.00
2019-06-28 00:00:00,28.37,28.77,28.12,28.52,25.47,8134800.00
2019-07-01 00:00:00,29.12,29.36,28.65,28.90,25.81,4932400.00
2019-07-02 00:00:00,28.73,28.73,27.44,27.54,24.59,9228000.00
2019-07-03 00:00:00,27.75,27.75,27.21,27.52,24.57,4011000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,27.44,27.94,27.35,27.90,24.91,4754100.00
2019-07-08 00:00:00,27.71,28.72,27.65,27.94,24.95,7030300.00
2019-07-09 00:00:00,27.84,28.12,27.42,28.08,25.07,4639800.00
2019-07-10 00:00:00,28.41,29.13,28.29,28.84,25.75,5116800.00
2019-07-11 00:00:00,28.86,28.97,28.41,28.66,25.59,4207300.00
2019-07-12 00:00:00,28.72,29.05,28.62,28.65,25.58,4853500.00
2019-07-15 00:00:00,28.75,28.85,27.58,27.65,24.69,5786100.00
2019-07-16 00:00:00,27.63,27.73,26.59,26.80,23.93,7598100.00
2019-07-17 00:00:00,26.77,26.96,25.92,25.93,23.15,5634600.00
2019-07-18 00:00:00,25.78,25.96,25.44,25.70,22.95,6051400.00
2019-07-19 00:00:00,25.76,26.42,25.48,26.34,23.52,6905300.00
2019-07-22 00:00:00,26.39,26.81,26.14,26.41,23.58,4518100.00
2019-07-23 00:00:00,25.92,26.31,25.58,26.21,23.40,7234600.00
2019-07-24 00:00:00,26.23,26.89,26.21,26.51,23.67,6577200.00
2019-07-25 00:00:00,26.61,26.67,25.48,25.57,22.83,5530200.00
2019-07-26 00:00:00,25.53,25.92,25.34,25.54,22.81,4823600.00
2019-07-29 00:00:00,25.35,25.63,24.92,25.52,22.79,5301700.00
2019-07-30 00:00:00,25.51,27.13,25.43,26.88,24.00,6911300.00
2019-07-31 00:00:00,26.81,27.60,26.62,27.00,24.11,5991300.00
2019-08-01 00:00:00,26.50,26.50,24.83,25.16,22.47,9688500.00
