Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,37.15,37.84,37.00,37.58,37.58,4782800.00
2019-06-18 00:00:00,38.05,38.35,37.74,38.13,38.13,5094400.00
2019-06-19 00:00:00,38.21,38.53,37.69,38.44,38.44,3252000.00
2019-06-20 00:00:00,38.74,39.38,38.54,38.92,38.92,3701600.00
2019-06-21 00:00:00,38.53,38.79,37.58,37.70,37.70,4741600.00
2019-06-24 00:00:00,37.71,37.99,36.75,36.92,36.92,4045200.00
2019-06-25 00:00:00,37.01,37.03,35.83,35.88,35.88,4330800.00
2019-06-26 00:00:00,36.07,36.25,34.81,35.38,35.38,3986800.00
2019-06-27 00:00:00,35.62,36.77,35.56,36.46,36.46,3321200.00
2019-06-28 00:00:00,36.67,37.58,36.46,37.46,37.46,5202000.00
2019-07-01 00:00:00,37.87,38.27,37.74,37.86,37.86,3815600.00
2019-07-02 00:00:00,37.96,37.96,36.08,36.42,36.42,4568800.00
2019-07-03 00:00:00,36.50,36.74,35.80,35.84,35.84,3551600.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,35.53,36.83,35.33,36.75,36.75,2286800.00
2019-07-08 00:00:00,36.62,37.12,36.03,36.40,36.40,3269600.00
2019-07-09 00:00:00,36.23,36.97,35.99,36.94,36.94,2200800.00
2019-07-10 00:00:00,37.02,38.24,37.02,37.72,37.72,4375200.00
2019-07-11 00:00:00,37.88,38.21,37.22,38.12,38.12,2483200.00
2019-07-12 00:00:00,38.08,38.14,36.47,37.29,37.29,3674400.00
2019-07-15 00:00:00,37.43,38.07,37.01,37.78,37.78,3604000.00
2019-07-16 00:00:00,37.88,38.25,37.20,37.46,37.46,3170000.00
2019-07-17 00:00:00,37.40,37.40,36.19,36.89,36.89,2846400.00
2019-07-18 00:00:00,36.92,39.00,36.60,38.35,38.35,3634400.00
2019-07-19 00:00:00,38.43,38.76,37.97,38.15,38.15,2204800.00
2019-07-22 00:00:00,38.13,39.25,38.13,38.78,38.78,3126800.00
2019-07-23 00:00:00,38.76,39.12,37.88,37.99,37.99,1857600.00
2019-07-24 00:00:00,38.13,38.47,37.55,38.24,38.24,2145200.00
2019-07-25 00:00:00,38.00,38.37,37.67,37.87,37.87,1609200.00
2019-07-26 00:00:00,38.23,38.78,37.81,38.44,38.44,2022400.00
2019-07-29 00:00:00,38.46,38.74,37.48,38.38,38.38,1849200.00
2019-07-30 00:00:00,38.03,39.28,38.03,39.10,39.10,2473600.00
2019-07-31 00:00:00,39.37,40.00,38.62,39.22,39.22,6158400.00
2019-08-01 00:00:00,39.25,40.33,35.12,37.08,37.08,13305600.00
