Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,0.24,0.26,0.24,0.24,0.24,35500.00
2019-06-17 00:00:00,0.24,0.24,0.22,0.22,0.22,88445.00
2019-06-18 00:00:00,0.23,0.23,0.22,0.22,0.22,14625.00
2019-06-19 00:00:00,0.23,0.25,0.23,0.25,0.25,19770.00
2019-06-20 00:00:00,0.25,0.27,0.25,0.25,0.25,102036.00
2019-06-21 00:00:00,0.25,0.25,0.24,0.24,0.24,23000.00
2019-06-24 00:00:00,0.25,0.25,0.25,0.25,0.25,21000.00
2019-06-25 00:00:00,0.25,0.25,0.22,0.23,0.23,173283.00
2019-06-26 00:00:00,0.23,0.23,0.22,0.22,0.22,94868.00
2019-06-27 00:00:00,0.24,0.25,0.23,0.25,0.25,135819.00
2019-06-28 00:00:00,0.25,0.25,0.25,0.25,0.25,41387.00
2019-07-01 00:00:00,,,,,,
2019-07-02 00:00:00,0.27,0.27,0.26,0.27,0.27,520005.00
2019-07-03 00:00:00,0.28,0.29,0.28,0.29,0.29,151702.00
2019-07-04 00:00:00,0.28,0.29,0.26,0.29,0.29,216993.00
2019-07-05 00:00:00,0.30,0.31,0.26,0.26,0.26,232332.00
2019-07-08 00:00:00,0.28,0.28,0.27,0.28,0.28,199038.00
2019-07-09 00:00:00,0.37,0.44,0.35,0.43,0.43,7935276.00
2019-07-10 00:00:00,0.48,0.52,0.41,0.46,0.46,6521210.00
2019-07-11 00:00:00,0.41,0.44,0.38,0.43,0.43,2818385.00
2019-07-12 00:00:00,0.41,0.41,0.40,0.41,0.41,977875.00
2019-07-15 00:00:00,0.41,0.41,0.40,0.41,0.41,595465.00
2019-07-16 00:00:00,0.42,0.43,0.42,0.43,0.43,258456.00
2019-07-17 00:00:00,0.43,0.43,0.43,0.43,0.43,835674.00
2019-07-18 00:00:00,0.44,0.46,0.43,0.45,0.45,1643603.00
2019-07-19 00:00:00,0.44,0.49,0.44,0.47,0.47,799895.00
2019-07-22 00:00:00,0.50,0.52,0.49,0.50,0.50,775228.00
2019-07-23 00:00:00,0.54,0.54,0.47,0.50,0.50,1783968.00
2019-07-24 00:00:00,0.49,0.49,0.47,0.48,0.48,411955.00
2019-07-25 00:00:00,0.50,0.50,0.44,0.48,0.48,1328745.00
2019-07-26 00:00:00,0.47,0.49,0.46,0.49,0.49,547077.00
2019-07-29 00:00:00,0.49,0.51,0.47,0.51,0.51,436317.00
2019-07-30 00:00:00,0.50,0.50,0.49,0.49,0.49,173018.00
2019-07-31 00:00:00,0.48,0.48,0.46,0.47,0.47,243280.00
2019-08-01 00:00:00,0.47,0.49,0.46,0.47,0.47,149750.00
2019-08-02 00:00:00,0.47,0.49,0.47,0.49,0.49,275279.00
2019-08-05 00:00:00,,,,,,
2019-08-06 00:00:00,0.47,0.49,0.46,0.47,0.47,599465.00
2019-08-07 00:00:00,0.47,0.47,0.38,0.45,0.45,464681.00
2019-08-08 00:00:00,0.44,0.46,0.44,0.46,0.46,151150.00
2019-08-09 00:00:00,0.44,0.45,0.44,0.45,0.45,88282.00
2019-08-12 00:00:00,0.44,0.46,0.39,0.42,0.42,652017.00
2019-08-13 00:00:00,0.41,0.42,0.38,0.42,0.42,446717.00
2019-08-14 00:00:00,0.41,0.42,0.40,0.41,0.41,192350.00
2019-08-15 00:00:00,0.39,0.40,0.36,0.37,0.37,499662.00
2019-08-16 00:00:00,0.38,0.39,0.36,0.38,0.38,383345.00
2019-08-19 00:00:00,0.40,0.42,0.40,0.42,0.42,193320.00
2019-08-20 00:00:00,0.47,0.48,0.44,0.47,0.47,755436.00
2019-08-21 00:00:00,0.49,0.49,0.46,0.47,0.47,365080.00
2019-08-22 00:00:00,0.49,0.49,0.44,0.46,0.46,213153.00
2019-08-23 00:00:00,0.44,0.46,0.42,0.43,0.43,291200.00
2019-08-26 00:00:00,0.58,0.61,0.45,0.49,0.49,4317993.00
2019-08-27 00:00:00,0.51,0.51,0.48,0.51,0.51,751013.00
2019-08-28 00:00:00,0.52,0.52,0.47,0.49,0.49,604450.00
2019-08-29 00:00:00,0.50,0.50,0.49,0.50,0.50,319845.00
2019-08-30 00:00:00,0.49,0.50,0.49,0.49,0.49,399135.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,0.49,0.50,0.47,0.49,0.49,396320.00
2019-09-04 00:00:00,0.49,0.49,0.47,0.49,0.49,637691.00
2019-09-05 00:00:00,0.49,0.49,0.46,0.46,0.46,381800.00
2019-09-06 00:00:00,0.47,0.47,0.46,0.46,0.46,428590.00
2019-09-09 00:00:00,0.47,0.47,0.44,0.44,0.44,415890.00
2019-09-10 00:00:00,0.45,0.47,0.44,0.47,0.47,191474.00
2019-09-11 00:00:00,0.47,0.49,0.47,0.47,0.47,474579.00
2019-09-12 00:00:00,0.49,0.49,0.47,0.47,0.47,168080.00
2019-09-13 00:00:00,0.47,0.50,0.47,0.50,0.50,391676.00
2019-09-16 00:00:00,0.51,0.53,0.49,0.51,0.51,388038.00
2019-09-17 00:00:00,0.50,0.52,0.49,0.49,0.49,110800.00
2019-09-18 00:00:00,0.49,0.51,0.49,0.51,0.51,148102.00
2019-09-19 00:00:00,0.52,0.53,0.51,0.53,0.53,369737.00
2019-09-20 00:00:00,0.52,0.54,0.52,0.54,0.54,659866.00
2019-09-23 00:00:00,0.56,0.60,0.56,0.59,0.59,1394573.00
2019-09-24 00:00:00,0.62,0.64,0.60,0.62,0.62,1950197.00
2019-09-25 00:00:00,0.62,0.68,0.62,0.66,0.66,1335956.00
2019-09-26 00:00:00,0.65,0.65,0.60,0.62,0.62,1441145.00
2019-09-27 00:00:00,0.63,0.64,0.60,0.61,0.61,514995.00
2019-09-30 00:00:00,0.59,0.61,0.54,0.57,0.57,657154.00
2019-10-01 00:00:00,0.58,0.58,0.55,0.58,0.58,1623015.00
2019-10-02 00:00:00,0.55,0.56,0.50,0.55,0.55,1401088.00
2019-10-03 00:00:00,0.56,0.56,0.53,0.53,0.53,120185.00
2019-10-04 00:00:00,0.54,0.58,0.54,0.56,0.56,292039.00
2019-10-07 00:00:00,0.57,0.57,0.55,0.56,0.56,220304.00
2019-10-08 00:00:00,0.56,0.56,0.55,0.55,0.55,115852.00
2019-10-09 00:00:00,0.56,0.56,0.54,0.54,0.54,192610.00
2019-10-10 00:00:00,0.54,0.54,0.49,0.49,0.49,656182.00
2019-10-11 00:00:00,0.50,0.52,0.50,0.50,0.50,432630.00
2019-10-14 00:00:00,,,,,,
2019-10-15 00:00:00,0.50,0.50,0.50,0.50,0.50,0.00
2019-10-16 00:00:00,0.58,0.63,0.56,0.58,0.58,1407663.00
2019-10-17 00:00:00,0.58,0.58,0.55,0.55,0.55,104467.00
2019-10-18 00:00:00,0.57,0.57,0.55,0.56,0.56,103067.00
2019-10-21 00:00:00,0.56,0.56,0.52,0.52,0.52,201436.00
2019-10-22 00:00:00,0.53,0.54,0.53,0.53,0.53,73355.00
2019-10-23 00:00:00,0.54,0.54,0.52,0.52,0.52,124691.00
2019-10-24 00:00:00,0.53,0.56,0.52,0.55,0.55,203359.00
2019-10-25 00:00:00,0.54,0.54,0.53,0.54,0.54,119000.00
2019-10-28 00:00:00,0.54,0.54,0.52,0.52,0.52,106885.00
2019-10-29 00:00:00,0.53,0.54,0.51,0.52,0.52,252047.00
2019-10-30 00:00:00,0.51,0.52,0.51,0.51,0.51,42252.00
2019-10-31 00:00:00,0.51,0.52,0.51,0.52,0.52,34700.00
2019-11-01 00:00:00,0.52,0.52,0.50,0.50,0.50,53013.00
2019-11-04 00:00:00,0.52,0.52,0.51,0.51,0.51,56300.00
2019-11-05 00:00:00,0.51,0.52,0.51,0.52,0.52,52950.00
2019-11-06 00:00:00,0.48,0.52,0.48,0.50,0.50,414528.00
2019-11-07 00:00:00,0.50,0.50,0.49,0.50,0.50,205633.00
2019-11-08 00:00:00,0.50,0.50,0.47,0.47,0.47,206463.00
2019-11-11 00:00:00,0.44,0.44,0.40,0.41,0.41,357870.00
2019-11-12 00:00:00,0.44,0.47,0.44,0.46,0.46,342090.00
2019-11-13 00:00:00,0.48,0.50,0.47,0.47,0.47,417950.00
2019-11-14 00:00:00,0.49,0.49,0.48,0.48,0.48,340771.00
2019-11-15 00:00:00,0.48,0.49,0.47,0.48,0.48,47310.00
2019-11-18 00:00:00,0.49,0.53,0.49,0.51,0.51,239483.00
2019-11-19 00:00:00,0.50,0.51,0.47,0.48,0.48,183590.00
2019-11-20 00:00:00,0.48,0.49,0.44,0.44,0.44,1382225.00
2019-11-21 00:00:00,0.47,0.49,0.46,0.48,0.48,347447.00
2019-11-22 00:00:00,0.47,0.47,0.45,0.47,0.47,2630804.00
2019-11-25 00:00:00,0.49,0.50,0.47,0.47,0.47,389740.00
2019-11-26 00:00:00,0.47,0.47,0.46,0.47,0.47,213715.00
2019-11-27 00:00:00,0.48,0.48,0.47,0.47,0.47,273165.00
2019-11-28 00:00:00,0.47,0.48,0.47,0.47,0.47,98845.00
2019-11-29 00:00:00,0.54,0.56,0.50,0.50,0.50,2619545.00
2019-12-02 00:00:00,0.53,0.53,0.49,0.50,0.50,445385.00
2019-12-03 00:00:00,0.50,0.51,0.49,0.50,0.50,483910.00
2019-12-04 00:00:00,0.51,0.51,0.49,0.49,0.49,63510.00
2019-12-05 00:00:00,0.50,0.52,0.50,0.52,0.52,325620.00
2019-12-06 00:00:00,0.50,0.51,0.50,0.50,0.50,135921.00
2019-12-09 00:00:00,0.51,0.52,0.50,0.52,0.52,158350.00
2019-12-10 00:00:00,0.51,0.53,0.50,0.50,0.50,481410.00
2019-12-11 00:00:00,0.50,0.50,0.49,0.49,0.49,253800.00
2019-12-12 00:00:00,0.49,0.51,0.49,0.49,0.49,131600.00
2019-12-13 00:00:00,0.50,0.52,0.50,0.52,0.52,233323.00
2019-12-16 00:00:00,0.54,0.57,0.53,0.54,0.54,2383086.00
2019-12-17 00:00:00,0.54,0.55,0.53,0.53,0.53,665050.00
2019-12-18 00:00:00,0.54,0.55,0.52,0.52,0.52,343233.00
2019-12-19 00:00:00,0.54,0.55,0.51,0.55,0.55,841237.00
2019-12-20 00:00:00,0.55,0.59,0.54,0.59,0.59,1448477.00
2019-12-23 00:00:00,0.59,0.71,0.57,0.67,0.67,2650029.00
2019-12-24 00:00:00,0.68,0.70,0.65,0.67,0.67,274008.00
2019-12-25 00:00:00,,,,,,
2019-12-26 00:00:00,,,,,,
2019-12-27 00:00:00,0.70,0.73,0.68,0.70,0.70,1078509.00
2019-12-30 00:00:00,0.72,0.79,0.72,0.75,0.75,1730909.00
2019-12-31 00:00:00,0.75,0.75,0.71,0.71,0.71,531337.00
2020-01-02 00:00:00,0.77,0.81,0.76,0.78,0.78,1256598.00
2020-01-03 00:00:00,0.74,0.75,0.71,0.72,0.72,612957.00
2020-01-06 00:00:00,0.71,0.72,0.69,0.71,0.71,289692.00
2020-01-07 00:00:00,0.74,0.77,0.73,0.76,0.76,631412.00
2020-01-08 00:00:00,0.76,0.79,0.74,0.75,0.75,470082.00
2020-01-09 00:00:00,0.76,0.79,0.74,0.76,0.76,971169.00
2020-01-10 00:00:00,0.79,0.88,0.78,0.85,0.85,3249018.00
2020-01-13 00:00:00,0.94,1.03,0.94,1.00,1.00,5790854.00
2020-01-14 00:00:00,1.02,1.05,0.88,0.93,0.93,3945546.00
2020-01-15 00:00:00,0.94,0.97,0.94,0.97,0.97,1078568.00
2020-01-16 00:00:00,0.98,0.99,0.94,0.96,0.96,751631.00
2020-01-17 00:00:00,0.97,0.97,0.95,0.96,0.96,214279.00
2020-01-20 00:00:00,0.99,1.00,0.97,0.99,0.99,653161.00
2020-01-21 00:00:00,0.98,0.99,0.94,0.94,0.94,651870.00
2020-01-22 00:00:00,0.97,1.01,0.97,0.98,0.98,1000813.00
2020-01-23 00:00:00,0.96,0.96,0.91,0.93,0.93,829146.00
2020-01-24 00:00:00,0.97,0.97,0.92,0.92,0.92,777957.00
2020-01-27 00:00:00,0.88,0.89,0.81,0.82,0.82,1044187.00
2020-01-28 00:00:00,0.87,0.95,0.86,0.94,0.94,1423136.00
2020-01-29 00:00:00,0.94,0.95,0.89,0.91,0.91,515430.00
2020-01-30 00:00:00,0.88,0.90,0.87,0.88,0.88,360670.00
2020-01-31 00:00:00,0.88,0.88,0.85,0.86,0.86,227140.00
2020-02-03 00:00:00,0.86,0.90,0.86,0.88,0.88,291949.00
2020-02-04 00:00:00,0.87,0.89,0.86,0.87,0.87,232407.00
2020-02-05 00:00:00,0.88,0.90,0.88,0.90,0.90,235547.00
2020-02-06 00:00:00,0.92,0.95,0.91,0.94,0.94,860691.00
2020-02-07 00:00:00,0.94,0.94,0.91,0.92,0.92,246867.00
2020-02-10 00:00:00,0.93,0.93,0.88,0.88,0.88,295582.00
2020-02-11 00:00:00,0.89,0.90,0.88,0.89,0.89,208880.00
2020-02-12 00:00:00,0.87,0.89,0.85,0.85,0.85,279624.00
2020-02-13 00:00:00,0.86,0.87,0.85,0.86,0.86,154149.00
2020-02-14 00:00:00,0.89,0.89,0.86,0.87,0.87,253029.00
2020-02-17 00:00:00,,,,,,
2020-02-18 00:00:00,0.91,1.00,0.91,0.95,0.95,1355158.00
2020-02-19 00:00:00,1.02,1.10,1.00,1.10,1.10,4655457.00
2020-02-20 00:00:00,1.14,1.25,1.13,1.24,1.24,6102570.00
2020-02-21 00:00:00,1.22,1.23,1.14,1.19,1.19,2099771.00
2020-02-24 00:00:00,1.06,1.09,1.00,1.01,1.01,2128300.00
2020-02-25 00:00:00,1.07,1.08,0.99,1.06,1.06,1504199.00
2020-02-26 00:00:00,0.99,1.15,0.96,1.10,1.10,3280711.00
2020-02-27 00:00:00,1.01,1.03,0.96,1.01,1.01,1851775.00
2020-02-28 00:00:00,0.86,0.90,0.80,0.80,0.80,3780154.00
2020-03-02 00:00:00,0.86,0.96,0.85,0.93,0.93,3591751.00
2020-03-03 00:00:00,0.97,1.00,0.88,0.91,0.91,2260879.00
2020-03-04 00:00:00,0.94,0.95,0.89,0.95,0.95,1125924.00
2020-03-05 00:00:00,0.91,0.91,0.88,0.91,0.91,926386.00
2020-03-06 00:00:00,0.87,0.88,0.82,0.87,0.87,1472546.00
2020-03-09 00:00:00,0.78,0.78,0.67,0.69,0.69,2132418.00
2020-03-10 00:00:00,0.75,0.82,0.72,0.80,0.80,2230009.00
2020-03-11 00:00:00,0.75,0.76,0.63,0.67,0.67,1895096.00
2020-03-12 00:00:00,0.53,0.61,0.53,0.55,0.55,2312359.00
2020-03-13 00:00:00,0.62,0.63,0.53,0.55,0.55,2198505.00
2020-03-16 00:00:00,0.46,0.50,0.42,0.43,0.43,3749643.00
2020-03-17 00:00:00,0.46,0.47,0.40,0.41,0.41,1988896.00
2020-03-18 00:00:00,0.39,0.41,0.32,0.34,0.34,2426548.00
2020-03-19 00:00:00,0.38,0.43,0.35,0.42,0.42,2490375.00
2020-03-20 00:00:00,0.46,0.47,0.41,0.44,0.44,1377042.00
2020-03-23 00:00:00,0.45,0.45,0.40,0.42,0.42,1294208.00
2020-03-24 00:00:00,0.47,0.49,0.45,0.47,0.47,1088841.00
2020-03-25 00:00:00,0.50,0.60,0.50,0.60,0.60,2026814.00
2020-03-26 00:00:00,0.60,0.64,0.53,0.55,0.55,1438784.00
2020-03-27 00:00:00,0.53,0.57,0.50,0.56,0.56,729368.00
2020-03-30 00:00:00,0.55,0.55,0.53,0.53,0.53,1214480.00
2020-03-31 00:00:00,0.54,0.56,0.47,0.47,0.47,1695964.00
2020-04-01 00:00:00,0.51,0.52,0.49,0.49,0.49,1218436.00
2020-04-02 00:00:00,0.51,0.52,0.49,0.49,0.49,389383.00
2020-04-03 00:00:00,0.52,0.52,0.49,0.52,0.52,538513.00
2020-04-06 00:00:00,0.54,0.57,0.51,0.55,0.55,948675.00
2020-04-07 00:00:00,0.58,0.61,0.56,0.56,0.56,1229925.00
2020-04-08 00:00:00,0.58,0.60,0.57,0.58,0.58,401337.00
2020-04-09 00:00:00,0.60,0.61,0.58,0.61,0.61,562737.00
2020-04-13 00:00:00,0.60,0.61,0.57,0.61,0.61,363905.00
2020-04-14 00:00:00,0.64,0.67,0.63,0.65,0.65,894634.00
2020-04-15 00:00:00,0.66,0.66,0.63,0.63,0.63,486042.00
2020-04-16 00:00:00,0.65,0.65,0.63,0.64,0.64,312496.00
2020-04-17 00:00:00,0.66,0.70,0.66,0.68,0.68,897752.00
2020-04-20 00:00:00,0.67,0.67,0.61,0.62,0.62,1034459.00
2020-04-21 00:00:00,0.63,0.65,0.61,0.64,0.64,277338.00
2020-04-22 00:00:00,0.64,0.66,0.64,0.65,0.65,191552.00
2020-04-23 00:00:00,0.66,0.66,0.64,0.66,0.66,174204.00
2020-04-24 00:00:00,0.65,0.65,0.62,0.64,0.64,226824.00
2020-04-27 00:00:00,0.65,0.67,0.63,0.64,0.64,625907.00
2020-04-28 00:00:00,0.64,0.65,0.61,0.61,0.61,470696.00
2020-04-29 00:00:00,0.64,0.65,0.62,0.63,0.63,817092.00
2020-04-30 00:00:00,0.61,0.63,0.57,0.61,0.61,1455658.00
2020-05-01 00:00:00,0.60,0.64,0.59,0.64,0.64,758476.00
2020-05-04 00:00:00,0.62,0.62,0.60,0.61,0.61,362823.00
2020-05-05 00:00:00,0.63,0.63,0.61,0.61,0.61,378042.00
2020-05-06 00:00:00,0.61,0.62,0.58,0.62,0.62,494681.00
2020-05-07 00:00:00,0.60,0.62,0.60,0.60,0.60,299024.00
2020-05-08 00:00:00,0.62,0.62,0.60,0.60,0.60,403687.00
2020-05-11 00:00:00,0.67,0.77,0.67,0.68,0.68,3487183.00
2020-05-12 00:00:00,0.71,0.74,0.68,0.68,0.68,1753901.00
2020-05-13 00:00:00,0.69,0.69,0.62,0.64,0.64,873429.00
2020-05-14 00:00:00,0.68,0.70,0.62,0.62,0.62,1352585.00
2020-05-15 00:00:00,0.67,0.68,0.64,0.65,0.65,506549.00
2020-05-18 00:00:00,,,,,,
2020-05-19 00:00:00,0.69,0.70,0.67,0.67,0.67,1003491.00
2020-05-20 00:00:00,0.70,0.70,0.67,0.69,0.69,731662.00
2020-05-21 00:00:00,0.69,0.70,0.68,0.69,0.69,354585.00
2020-05-22 00:00:00,0.70,0.72,0.69,0.72,0.72,433598.00
2020-05-25 00:00:00,0.72,0.75,0.72,0.75,0.75,479835.00
2020-05-26 00:00:00,0.75,0.87,0.75,0.85,0.85,1223332.00
2020-05-27 00:00:00,0.94,0.94,0.82,0.85,0.85,1360938.00
2020-05-28 00:00:00,0.85,0.87,0.78,0.84,0.84,923918.00
2020-05-29 00:00:00,0.82,0.82,0.78,0.79,0.79,482987.00
2020-06-01 00:00:00,0.80,0.83,0.78,0.82,0.82,505372.00
2020-06-02 00:00:00,0.79,0.82,0.77,0.81,0.81,1268868.00
2020-06-03 00:00:00,0.75,0.79,0.70,0.79,0.79,1027843.00
2020-06-04 00:00:00,0.77,0.79,0.75,0.76,0.76,745622.00
