Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,39.14,39.32,38.86,38.91,37.33,7550100.00
2019-06-17 00:00:00,38.94,39.32,38.72,39.01,37.43,11564700.00
2019-06-18 00:00:00,39.40,39.93,39.24,39.67,38.06,9352800.00
2019-06-19 00:00:00,39.78,40.22,39.60,40.13,38.50,6520000.00
2019-06-20 00:00:00,40.54,40.55,39.88,39.92,38.30,11852200.00
2019-06-21 00:00:00,39.92,40.21,39.63,40.05,38.43,20769600.00
2019-06-24 00:00:00,40.02,40.18,39.64,39.71,38.10,7365600.00
2019-06-25 00:00:00,39.78,39.78,38.92,39.02,37.44,7834000.00
2019-06-26 00:00:00,39.13,39.37,39.05,39.20,37.61,4739400.00
2019-06-27 00:00:00,39.35,39.58,39.26,39.29,37.70,8254200.00
2019-06-28 00:00:00,39.33,39.56,39.11,39.50,37.90,14763400.00
2019-07-01 00:00:00,39.97,39.99,39.58,39.89,38.27,4879400.00
2019-07-02 00:00:00,39.91,40.19,39.71,40.08,38.46,6368100.00
2019-07-03 00:00:00,40.13,40.23,39.85,39.90,38.28,3419500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,39.76,40.00,39.46,39.80,38.19,3862400.00
2019-07-08 00:00:00,39.71,39.80,39.40,39.54,37.94,5477000.00
2019-07-09 00:00:00,39.58,39.98,39.52,39.94,38.32,5962900.00
2019-07-10 00:00:00,40.19,40.38,39.66,40.01,38.39,5443700.00
2019-07-11 00:00:00,39.86,39.94,39.28,39.60,38.00,5831200.00
2019-07-12 00:00:00,39.70,40.10,39.60,40.06,38.44,5286700.00
2019-07-15 00:00:00,40.09,40.32,39.74,40.27,38.64,5660400.00
2019-07-16 00:00:00,40.11,40.17,39.63,39.92,38.30,7612000.00
2019-07-17 00:00:00,39.99,41.11,38.93,39.03,37.45,15260600.00
2019-07-18 00:00:00,41.11,42.00,39.02,39.77,38.16,27078000.00
2019-07-19 00:00:00,39.85,40.33,39.47,40.21,38.58,13045800.00
2019-07-22 00:00:00,40.26,41.07,40.18,40.67,39.02,9627200.00
2019-07-23 00:00:00,40.88,41.16,40.68,41.03,39.37,8740500.00
2019-07-24 00:00:00,40.87,41.18,40.78,41.03,39.37,6391500.00
