Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,132.39,133.15,131.65,132.60,129.47,558600.00
2019-06-18 00:00:00,133.50,134.27,132.55,132.76,129.62,396900.00
2019-06-19 00:00:00,132.99,134.20,132.29,133.87,130.71,633700.00
2019-06-20 00:00:00,134.60,136.21,134.29,134.98,131.79,854500.00
2019-06-21 00:00:00,134.50,135.07,134.06,134.07,130.90,1601500.00
2019-06-24 00:00:00,134.39,134.39,133.03,133.16,130.01,554400.00
2019-06-25 00:00:00,132.99,132.99,130.86,130.98,127.89,605100.00
2019-06-26 00:00:00,131.11,131.43,130.41,131.10,128.00,709700.00
2019-06-27 00:00:00,131.61,132.71,130.81,132.43,129.30,716500.00
2019-06-28 00:00:00,132.64,135.64,132.64,135.24,132.05,1839700.00
2019-07-01 00:00:00,136.84,136.99,135.15,135.83,132.62,813100.00
2019-07-02 00:00:00,135.80,136.68,135.02,136.11,132.90,884100.00
2019-07-03 00:00:00,136.91,138.85,136.67,138.61,135.34,459400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,138.07,138.42,136.35,138.06,134.80,419400.00
2019-07-08 00:00:00,137.69,137.69,135.78,136.20,132.98,863800.00
2019-07-09 00:00:00,135.97,137.24,135.34,137.19,133.95,612200.00
2019-07-10 00:00:00,137.72,137.95,135.05,135.25,132.06,674100.00
2019-07-11 00:00:00,135.48,136.87,135.05,136.67,133.44,403400.00
2019-07-12 00:00:00,136.89,137.77,135.96,137.66,134.41,499200.00
2019-07-15 00:00:00,137.89,137.89,136.48,137.21,133.97,623200.00
2019-07-16 00:00:00,137.21,137.53,136.81,137.42,134.17,388400.00
2019-07-17 00:00:00,137.09,138.85,137.09,137.99,134.73,462900.00
2019-07-18 00:00:00,137.79,139.26,136.93,139.24,135.95,599300.00
2019-07-19 00:00:00,140.52,140.52,137.26,137.30,134.06,531700.00
2019-07-22 00:00:00,139.09,140.28,137.66,137.84,134.58,586900.00
2019-07-23 00:00:00,138.01,140.80,138.01,140.49,137.17,730300.00
2019-07-24 00:00:00,140.15,142.90,139.54,142.25,138.89,1540000.00
2019-07-25 00:00:00,142.42,144.03,136.91,137.59,134.34,1846400.00
2019-07-26 00:00:00,138.33,143.05,137.99,142.34,138.98,887900.00
2019-07-29 00:00:00,142.34,143.03,141.65,142.72,139.35,666000.00
2019-07-30 00:00:00,142.12,142.18,140.25,141.40,138.06,1034200.00
2019-07-31 00:00:00,141.56,141.80,138.14,139.09,135.80,976000.00
2019-08-01 00:00:00,139.21,140.32,137.34,138.20,134.94,1290200.00
