Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,115.56,116.14,115.04,115.41,107.67,258300.00
2019-06-17 00:00:00,115.66,116.50,115.42,116.22,108.43,399500.00
2019-06-18 00:00:00,116.75,117.63,116.06,116.84,109.01,176100.00
2019-06-19 00:00:00,116.60,117.86,116.00,117.70,109.81,230600.00
2019-06-20 00:00:00,118.51,119.13,117.78,118.19,110.27,210700.00
2019-06-21 00:00:00,117.23,117.28,115.85,116.60,108.78,407900.00
2019-06-24 00:00:00,116.86,116.90,115.60,116.09,108.31,226200.00
2019-06-25 00:00:00,116.36,117.32,115.38,115.49,107.75,198100.00
2019-06-26 00:00:00,115.65,115.65,112.17,112.44,104.90,280700.00
2019-06-27 00:00:00,112.33,113.77,112.33,113.77,106.83,260700.00
2019-06-28 00:00:00,113.85,116.04,113.64,115.98,108.90,729300.00
2019-07-01 00:00:00,117.13,117.13,114.32,116.10,109.01,285300.00
2019-07-02 00:00:00,116.35,118.01,116.35,117.73,110.55,153200.00
2019-07-03 00:00:00,118.07,119.20,118.07,119.12,111.85,101400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,118.38,119.23,116.64,119.02,111.76,103000.00
2019-07-08 00:00:00,118.85,119.66,118.56,119.57,112.27,208300.00
2019-07-09 00:00:00,119.38,120.06,119.38,119.71,112.40,178200.00
2019-07-10 00:00:00,120.25,120.61,119.66,120.52,113.17,192800.00
2019-07-11 00:00:00,120.45,120.49,118.32,119.16,111.89,215100.00
2019-07-12 00:00:00,119.38,119.55,118.37,119.05,111.78,221400.00
2019-07-15 00:00:00,119.06,119.70,118.19,118.48,111.25,148300.00
2019-07-16 00:00:00,118.35,119.50,118.02,118.91,111.65,166200.00
2019-07-17 00:00:00,119.10,119.58,117.84,118.47,111.24,191900.00
2019-07-18 00:00:00,118.23,119.38,117.89,119.06,111.79,203800.00
2019-07-19 00:00:00,118.92,119.38,116.42,116.57,109.46,132300.00
2019-07-22 00:00:00,116.82,117.32,116.40,116.93,109.79,121900.00
2019-07-23 00:00:00,117.87,118.55,116.91,118.24,111.02,272300.00
2019-07-24 00:00:00,118.41,119.33,117.31,119.05,111.78,194400.00
2019-07-25 00:00:00,119.28,120.58,118.41,120.13,112.80,229000.00
2019-07-26 00:00:00,120.76,121.52,119.89,120.90,113.52,193400.00
2019-07-29 00:00:00,121.44,122.20,120.75,121.28,113.88,239200.00
2019-07-30 00:00:00,121.07,122.24,120.56,121.75,114.32,242300.00
2019-07-31 00:00:00,121.72,122.40,120.02,120.48,113.13,289500.00
2019-08-01 00:00:00,120.79,121.65,120.14,120.71,113.34,270500.00
2019-08-02 00:00:00,120.44,120.73,119.50,119.96,112.64,219300.00
2019-08-05 00:00:00,119.00,119.04,115.68,117.41,110.25,223500.00
2019-08-06 00:00:00,117.56,119.60,117.14,119.00,111.74,227800.00
2019-08-07 00:00:00,118.39,120.66,117.04,120.24,112.90,266100.00
2019-08-08 00:00:00,120.68,122.64,119.71,122.36,114.89,375900.00
2019-08-09 00:00:00,121.84,122.37,120.80,122.06,114.61,321500.00
2019-08-12 00:00:00,121.78,123.01,121.60,121.73,114.30,248300.00
2019-08-13 00:00:00,121.68,123.03,121.01,122.79,115.30,278600.00
2019-08-14 00:00:00,121.93,122.83,121.50,121.87,114.43,242900.00
2019-08-15 00:00:00,122.08,123.06,121.38,122.84,115.34,176700.00
2019-08-16 00:00:00,123.20,125.62,121.38,124.75,117.14,1089200.00
2019-08-19 00:00:00,125.32,125.45,123.82,124.90,117.28,329400.00
2019-08-20 00:00:00,124.95,125.17,122.33,122.62,115.14,287300.00
2019-08-21 00:00:00,123.25,124.15,122.66,123.23,115.71,247200.00
2019-08-22 00:00:00,123.35,124.14,122.25,124.00,116.43,149000.00
2019-08-23 00:00:00,123.73,124.48,121.93,122.26,114.80,201100.00
2019-08-26 00:00:00,123.14,123.17,121.93,122.67,115.18,284700.00
2019-08-27 00:00:00,123.54,123.97,121.67,121.75,114.32,210000.00
2019-08-28 00:00:00,121.72,123.03,121.28,122.61,115.13,141500.00
2019-08-29 00:00:00,123.55,124.52,123.23,123.96,116.40,147300.00
2019-08-30 00:00:00,124.22,124.88,123.43,124.52,116.92,230400.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,124.02,125.62,123.46,125.50,117.84,193200.00
2019-09-04 00:00:00,126.19,127.97,125.77,126.30,118.59,222400.00
2019-09-05 00:00:00,126.44,126.44,124.69,125.95,118.26,277400.00
2019-09-06 00:00:00,126.28,126.28,124.96,125.53,117.87,243500.00
2019-09-09 00:00:00,125.42,125.42,124.02,124.65,117.04,188600.00
2019-09-10 00:00:00,124.31,124.50,121.48,122.89,115.39,251900.00
2019-09-11 00:00:00,122.76,123.29,121.80,123.18,115.66,238900.00
2019-09-12 00:00:00,124.26,125.72,123.96,125.56,117.90,217800.00
2019-09-13 00:00:00,125.57,126.85,124.53,125.26,117.62,189500.00
2019-09-16 00:00:00,125.33,126.12,124.94,125.78,118.10,207200.00
2019-09-17 00:00:00,125.67,127.18,125.61,126.91,119.17,178900.00
2019-09-18 00:00:00,127.69,127.69,125.12,126.26,118.55,203000.00
2019-09-19 00:00:00,126.86,127.12,126.22,126.41,118.70,174200.00
2019-09-20 00:00:00,126.25,127.64,126.25,127.11,119.35,584600.00
2019-09-23 00:00:00,126.92,128.30,126.53,126.66,118.93,190900.00
2019-09-24 00:00:00,127.23,127.55,125.28,125.71,118.04,205900.00
2019-09-25 00:00:00,125.64,126.08,125.35,125.78,118.10,302200.00
2019-09-26 00:00:00,126.17,126.96,125.88,126.68,118.95,217400.00
2019-09-27 00:00:00,126.35,127.09,124.38,125.00,118.07,130400.00
2019-09-30 00:00:00,125.02,125.95,124.83,125.02,118.09,234200.00
2019-10-01 00:00:00,125.15,125.34,123.16,123.45,116.61,229900.00
2019-10-02 00:00:00,123.24,124.11,123.05,124.11,117.23,193800.00
2019-10-03 00:00:00,124.13,126.03,123.54,125.57,118.61,123200.00
2019-10-04 00:00:00,125.72,126.45,125.51,126.12,119.13,95400.00
2019-10-07 00:00:00,125.54,127.75,124.99,126.86,119.83,186900.00
2019-10-08 00:00:00,126.46,127.06,124.91,125.74,118.77,225200.00
2019-10-09 00:00:00,126.53,127.98,125.12,125.59,118.63,166400.00
2019-10-10 00:00:00,125.57,126.23,125.27,125.76,118.79,145100.00
2019-10-11 00:00:00,125.98,127.00,125.23,126.21,119.21,144200.00
2019-10-14 00:00:00,126.32,126.94,125.75,126.83,119.80,137900.00
2019-10-15 00:00:00,126.76,127.44,126.17,126.60,119.58,202300.00
2019-10-16 00:00:00,126.60,126.60,125.21,126.25,119.25,131500.00
2019-10-17 00:00:00,126.70,127.75,126.56,127.55,120.48,131000.00
2019-10-18 00:00:00,127.33,128.22,127.19,127.96,120.87,160000.00
2019-10-21 00:00:00,128.44,128.83,127.76,128.82,121.68,95600.00
2019-10-22 00:00:00,129.15,129.15,127.82,128.18,121.07,118700.00
2019-10-23 00:00:00,128.64,129.41,127.49,129.25,122.09,164700.00
2019-10-24 00:00:00,130.75,133.97,129.37,133.78,126.36,260900.00
2019-10-25 00:00:00,133.82,133.82,131.96,132.75,125.39,180000.00
2019-10-28 00:00:00,133.07,133.89,132.50,133.15,125.77,381800.00
2019-10-29 00:00:00,133.34,134.03,132.85,133.46,126.06,252100.00
2019-10-30 00:00:00,134.00,134.69,133.35,134.30,126.86,257300.00
2019-10-31 00:00:00,134.42,135.45,133.68,133.95,126.52,232800.00
2019-11-01 00:00:00,134.65,134.86,132.27,133.71,126.30,254300.00
2019-11-04 00:00:00,133.61,134.26,133.13,133.98,126.55,159000.00
2019-11-05 00:00:00,133.80,133.80,130.45,130.79,123.54,174100.00
2019-11-06 00:00:00,131.23,131.88,130.92,131.73,124.43,194000.00
2019-11-07 00:00:00,131.77,132.01,130.69,130.99,123.73,197400.00
2019-11-08 00:00:00,130.96,131.45,130.58,130.92,123.66,185000.00
2019-11-11 00:00:00,130.94,131.29,130.28,130.79,123.54,167400.00
2019-11-12 00:00:00,130.95,131.46,129.60,129.81,122.61,292600.00
2019-11-13 00:00:00,129.71,131.36,129.50,130.91,123.65,206800.00
2019-11-14 00:00:00,131.04,132.52,130.81,132.28,124.95,133300.00
2019-11-15 00:00:00,132.50,132.71,131.55,132.00,124.68,211800.00
2019-11-18 00:00:00,132.21,132.69,131.76,132.14,124.82,453900.00
2019-11-19 00:00:00,132.55,134.06,131.83,133.61,126.20,195000.00
2019-11-20 00:00:00,133.44,134.65,132.82,133.94,126.52,210200.00
2019-11-21 00:00:00,133.83,133.83,132.20,132.55,125.20,193000.00
2019-11-22 00:00:00,133.04,133.09,131.89,132.26,124.93,135800.00
2019-11-25 00:00:00,132.64,134.00,132.64,133.48,126.08,206700.00
2019-11-26 00:00:00,133.65,136.15,133.65,136.05,128.51,239900.00
2019-11-27 00:00:00,136.28,137.68,135.72,137.62,129.99,192700.00
2019-11-28 00:00:00,,,,,,
2019-11-29 00:00:00,137.80,138.15,135.98,136.19,128.64,163400.00
2019-12-02 00:00:00,136.09,136.53,134.69,134.92,127.44,190400.00
2019-12-03 00:00:00,134.72,136.07,134.72,135.71,128.19,192100.00
2019-12-04 00:00:00,135.75,137.30,134.98,135.12,127.63,191100.00
2019-12-05 00:00:00,135.15,135.94,134.37,135.04,127.55,231500.00
2019-12-06 00:00:00,135.42,136.69,134.50,136.20,128.65,226100.00
2019-12-09 00:00:00,135.97,136.39,135.16,136.05,128.51,179900.00
2019-12-10 00:00:00,136.32,136.62,135.38,135.81,128.28,91200.00
2019-12-11 00:00:00,136.14,136.14,133.60,134.08,126.65,171100.00
2019-12-12 00:00:00,134.06,134.65,131.89,132.28,124.95,196900.00
2019-12-13 00:00:00,132.27,132.91,130.52,132.51,125.16,265000.00
2019-12-16 00:00:00,133.02,133.45,131.75,132.98,125.61,232500.00
2019-12-17 00:00:00,133.31,133.31,131.97,132.26,124.93,193800.00
2019-12-18 00:00:00,132.59,132.93,131.47,131.55,124.26,304300.00
2019-12-19 00:00:00,131.42,131.79,130.13,131.75,124.45,269200.00
2019-12-20 00:00:00,132.08,134.04,132.08,133.21,125.83,691500.00
2019-12-23 00:00:00,133.46,133.46,130.62,130.85,123.60,141000.00
2019-12-24 00:00:00,131.15,131.87,130.95,131.15,123.88,56800.00
2019-12-25 00:00:00,,,,,,
2019-12-26 00:00:00,131.28,132.07,130.93,131.46,124.17,70400.00
2019-12-27 00:00:00,131.20,131.80,130.73,131.39,124.82,106800.00
2019-12-30 00:00:00,131.06,132.09,130.65,132.03,125.43,107300.00
2019-12-31 00:00:00,131.76,133.13,131.76,132.67,126.03,148500.00
2020-01-02 00:00:00,133.21,133.21,129.79,131.00,124.45,149600.00
2020-01-03 00:00:00,129.99,133.07,129.99,132.59,125.96,132100.00
2020-01-06 00:00:00,132.09,133.59,131.71,132.14,125.53,182400.00
2020-01-07 00:00:00,131.55,131.57,129.64,130.16,123.65,145300.00
2020-01-08 00:00:00,130.08,130.90,129.83,130.29,123.77,136100.00
2020-01-09 00:00:00,130.46,131.41,129.95,130.80,124.26,165600.00
2020-01-10 00:00:00,130.86,131.72,130.56,131.47,124.89,125600.00
2020-01-13 00:00:00,131.52,133.11,131.46,133.07,126.41,159000.00
2020-01-14 00:00:00,133.14,133.14,131.76,132.66,126.03,150700.00
2020-01-15 00:00:00,132.93,134.64,132.93,134.00,127.30,227100.00
2020-01-16 00:00:00,134.38,135.21,133.80,134.89,128.14,299100.00
2020-01-17 00:00:00,135.34,135.69,134.24,135.58,128.80,138300.00
2020-01-20 00:00:00,,,,,,
2020-01-21 00:00:00,135.58,136.78,135.43,136.76,129.92,140200.00
2020-01-22 00:00:00,137.28,137.46,135.25,135.81,129.02,194400.00
2020-01-23 00:00:00,135.72,138.08,134.84,137.55,130.67,189400.00
2020-01-24 00:00:00,137.77,138.36,136.63,137.17,130.31,97600.00
2020-01-27 00:00:00,136.15,137.39,136.15,136.76,129.92,130700.00
2020-01-28 00:00:00,137.17,137.99,136.66,137.32,130.45,155100.00
2020-01-29 00:00:00,137.43,138.44,136.69,137.94,131.04,139100.00
2020-01-30 00:00:00,137.33,138.70,137.26,138.18,131.27,106600.00
2020-01-31 00:00:00,137.88,138.30,135.29,136.07,129.26,263900.00
2020-02-03 00:00:00,136.68,137.54,136.34,137.00,130.15,166000.00
2020-02-04 00:00:00,137.57,138.69,136.80,137.81,130.92,263700.00
2020-02-05 00:00:00,138.26,138.49,136.73,137.28,130.41,190000.00
2020-02-06 00:00:00,137.65,138.33,137.11,137.66,130.78,123200.00
2020-02-07 00:00:00,136.50,139.76,135.35,138.09,131.18,167600.00
2020-02-10 00:00:00,138.35,139.36,137.98,139.33,132.36,137400.00
2020-02-11 00:00:00,139.57,140.53,139.57,140.04,133.04,132900.00
2020-02-12 00:00:00,140.28,141.20,139.10,140.38,133.36,119700.00
2020-02-13 00:00:00,140.09,141.97,140.09,141.63,134.55,99100.00
2020-02-14 00:00:00,141.85,142.69,141.32,141.90,134.80,175300.00
2020-02-17 00:00:00,,,,,,
2020-02-18 00:00:00,141.99,142.44,141.24,142.01,134.91,154700.00
2020-02-19 00:00:00,142.15,142.15,140.32,140.66,133.63,133600.00
2020-02-20 00:00:00,140.47,142.51,139.76,142.36,135.24,226100.00
2020-02-21 00:00:00,142.64,142.69,141.77,142.16,135.05,181600.00
2020-02-24 00:00:00,140.06,141.14,139.05,139.55,132.57,164700.00
2020-02-25 00:00:00,139.75,140.75,134.82,135.23,128.47,194800.00
2020-02-26 00:00:00,135.63,137.05,134.61,134.96,128.21,153500.00
2020-02-27 00:00:00,132.95,134.16,127.91,128.16,121.75,230000.00
2020-02-28 00:00:00,125.61,126.03,120.53,125.73,119.44,532200.00
2020-03-02 00:00:00,126.46,129.54,123.81,129.52,123.04,258700.00
2020-03-03 00:00:00,129.59,133.28,128.37,129.94,123.44,239400.00
