Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,299.94,303.08,299.94,302.32,278.14,194800.00
2019-06-18 00:00:00,302.84,303.63,299.05,301.11,277.03,244500.00
2019-06-19 00:00:00,299.74,303.68,298.34,301.65,277.52,285500.00
2019-06-20 00:00:00,302.64,305.23,302.31,302.91,278.68,373700.00
2019-06-21 00:00:00,302.16,302.16,297.73,299.98,275.99,599500.00
2019-06-24 00:00:00,300.61,300.61,297.25,298.00,274.17,263700.00
2019-06-25 00:00:00,298.89,300.18,293.94,294.18,270.65,212500.00
2019-06-26 00:00:00,294.50,294.56,287.27,288.30,265.24,319900.00
2019-06-27 00:00:00,289.22,291.77,287.42,288.37,267.11,313600.00
2019-06-28 00:00:00,288.89,293.15,288.42,291.93,270.41,666900.00
2019-07-01 00:00:00,293.15,294.49,287.83,294.03,272.36,274300.00
2019-07-02 00:00:00,294.35,299.52,294.28,298.57,276.56,215300.00
2019-07-03 00:00:00,299.64,302.05,299.59,301.68,279.44,101900.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,299.68,301.88,294.87,301.10,278.90,138900.00
2019-07-08 00:00:00,300.89,305.00,300.89,303.94,281.54,166200.00
2019-07-09 00:00:00,303.90,305.99,302.49,305.38,282.87,204100.00
2019-07-10 00:00:00,308.04,308.73,303.70,308.18,285.46,175000.00
2019-07-11 00:00:00,308.28,308.29,303.92,305.97,283.42,159200.00
2019-07-12 00:00:00,306.04,306.77,303.19,303.95,281.54,344500.00
2019-07-15 00:00:00,304.28,306.67,302.66,304.87,282.40,177900.00
2019-07-16 00:00:00,304.61,304.84,302.71,304.29,281.86,167300.00
2019-07-17 00:00:00,304.78,305.80,301.25,303.60,281.22,163900.00
2019-07-18 00:00:00,303.26,303.71,299.56,303.01,280.67,181500.00
2019-07-19 00:00:00,303.05,303.50,294.49,294.90,273.16,266100.00
2019-07-22 00:00:00,295.00,296.39,292.00,292.05,270.52,363400.00
2019-07-23 00:00:00,292.47,295.66,291.11,295.61,273.82,354000.00
2019-07-24 00:00:00,296.16,296.16,292.65,293.75,272.10,364400.00
2019-07-25 00:00:00,296.52,299.76,293.69,298.60,276.59,546000.00
2019-07-26 00:00:00,299.40,304.27,299.40,304.07,281.66,319500.00
2019-07-29 00:00:00,305.14,308.92,303.98,307.83,285.14,336100.00
2019-07-30 00:00:00,307.85,310.54,305.00,306.68,284.07,327400.00
2019-07-31 00:00:00,306.53,309.09,300.31,302.22,279.94,347700.00
2019-08-01 00:00:00,302.22,306.71,296.50,304.88,282.41,338000.00
2019-08-02 00:00:00,305.22,307.23,304.13,305.39,282.88,364600.00
