Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,78.20,78.47,77.46,77.64,43.57,1315700.00
2019-06-18 00:00:00,78.12,79.76,78.08,79.47,44.60,1732100.00
2019-06-19 00:00:00,79.77,80.23,79.40,79.95,44.86,2498600.00
2019-06-20 00:00:00,81.40,82.92,81.18,82.64,46.37,4201200.00
2019-06-21 00:00:00,82.86,83.74,82.23,83.22,46.70,4828400.00
2019-06-24 00:00:00,82.92,83.31,81.85,82.27,46.17,2754800.00
2019-06-25 00:00:00,82.37,82.67,81.94,82.08,46.06,3184200.00
2019-06-26 00:00:00,82.35,82.89,82.16,82.63,46.37,1859200.00
2019-06-27 00:00:00,82.83,83.39,81.94,82.72,46.42,2214700.00
2019-06-28 00:00:00,82.87,83.48,82.72,83.28,46.73,3083500.00
2019-07-01 00:00:00,84.55,84.70,82.90,83.18,46.68,2299900.00
2019-07-02 00:00:00,82.88,82.88,80.99,81.74,45.87,2848200.00
2019-07-03 00:00:00,81.75,82.37,81.33,82.32,46.19,1082000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,81.66,81.84,80.48,81.81,45.91,1322700.00
2019-07-08 00:00:00,81.22,82.22,80.86,81.26,45.60,1339000.00
2019-07-09 00:00:00,80.60,80.83,79.91,80.25,45.03,3711800.00
2019-07-10 00:00:00,80.59,81.06,78.98,79.04,44.35,2177500.00
2019-07-11 00:00:00,79.29,79.34,78.24,79.15,44.42,2869200.00
2019-07-12 00:00:00,79.62,81.55,79.30,81.21,45.57,2058500.00
2019-07-15 00:00:00,81.22,81.41,80.32,80.69,45.28,1988400.00
2019-07-16 00:00:00,80.61,81.41,80.20,81.15,45.54,2163100.00
2019-07-17 00:00:00,81.05,81.14,79.32,79.35,44.53,1705900.00
2019-07-18 00:00:00,79.27,79.43,78.70,79.06,44.36,2721600.00
2019-07-19 00:00:00,79.63,80.48,79.38,79.86,44.81,2380400.00
2019-07-22 00:00:00,80.04,80.48,79.46,79.56,44.65,1699500.00
2019-07-23 00:00:00,80.13,81.87,79.65,81.81,45.91,2702600.00
2019-07-24 00:00:00,81.23,82.86,80.91,82.73,46.42,2009900.00
2019-07-25 00:00:00,82.56,82.76,81.57,81.98,46.00,2180300.00
2019-07-26 00:00:00,81.62,82.10,81.13,81.57,45.77,1783700.00
2019-07-29 00:00:00,81.45,81.65,80.67,81.07,45.49,2472500.00
2019-07-30 00:00:00,80.59,83.94,79.74,83.12,46.64,3136800.00
2019-07-31 00:00:00,83.08,83.38,81.33,82.19,46.12,4566400.00
2019-08-01 00:00:00,81.23,82.84,79.68,79.97,45.27,3125000.00
