Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,101.26,102.47,101.26,102.04,91.76,1429100.00
2019-06-17 00:00:00,102.22,102.78,101.11,101.76,91.51,2088200.00
2019-06-18 00:00:00,102.19,102.33,100.60,101.30,91.09,1038800.00
2019-06-19 00:00:00,100.81,102.85,100.81,102.48,92.15,1353400.00
2019-06-20 00:00:00,103.00,103.79,102.53,103.44,93.02,1763800.00
2019-06-21 00:00:00,103.50,104.41,102.62,104.26,93.75,2815300.00
2019-06-24 00:00:00,104.32,104.48,103.44,103.69,93.24,1264200.00
2019-06-25 00:00:00,103.47,103.85,102.99,103.24,92.84,1818500.00
2019-06-26 00:00:00,103.22,103.31,101.09,101.21,91.01,2325500.00
2019-06-27 00:00:00,101.40,102.07,100.87,101.66,91.42,1153700.00
2019-06-28 00:00:00,101.51,103.07,101.49,102.93,92.56,3015700.00
2019-07-01 00:00:00,102.81,102.93,101.13,102.00,91.72,2360700.00
2019-07-02 00:00:00,102.47,104.09,102.35,103.69,93.24,1863600.00
2019-07-03 00:00:00,103.79,105.14,103.79,104.54,94.01,1454500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,103.49,104.43,102.61,104.34,93.83,1159400.00
2019-07-08 00:00:00,104.46,104.89,103.68,104.37,93.85,1470400.00
2019-07-09 00:00:00,104.27,104.49,103.35,104.24,93.74,2149500.00
2019-07-10 00:00:00,104.66,105.55,104.17,104.67,94.12,1193400.00
2019-07-11 00:00:00,104.33,105.25,103.55,104.45,93.93,1317000.00
2019-07-12 00:00:00,104.71,104.71,103.40,103.87,93.40,1107700.00
2019-07-15 00:00:00,104.13,104.84,103.40,104.84,94.28,1612100.00
2019-07-16 00:00:00,104.70,104.99,103.96,104.88,94.31,1250800.00
2019-07-17 00:00:00,105.30,105.92,105.05,105.54,94.91,963000.00
2019-07-18 00:00:00,105.61,106.78,104.96,106.75,95.99,1059900.00
2019-07-19 00:00:00,106.62,107.35,105.59,105.60,94.96,1583400.00
2019-07-22 00:00:00,106.06,106.06,104.99,105.40,94.78,1343500.00
