Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,68.32,69.35,67.59,68.46,68.46,1316200.00
2019-06-18 00:00:00,69.00,69.66,65.94,66.95,66.95,2433400.00
2019-06-19 00:00:00,67.29,68.49,66.23,68.14,68.14,1443700.00
2019-06-20 00:00:00,69.38,69.96,68.11,68.83,68.83,1699600.00
2019-06-21 00:00:00,68.39,68.64,65.66,65.78,65.78,2333700.00
2019-06-24 00:00:00,66.36,66.40,63.87,63.93,63.93,2252400.00
2019-06-25 00:00:00,63.68,64.50,61.27,61.79,61.79,3151300.00
2019-06-26 00:00:00,62.14,62.89,59.91,60.36,60.36,2348300.00
2019-06-27 00:00:00,60.44,62.80,60.29,62.36,62.36,3215100.00
2019-06-28 00:00:00,62.27,62.55,61.09,61.37,61.37,16253800.00
2019-07-01 00:00:00,63.58,63.75,61.25,62.06,62.06,4576500.00
2019-07-02 00:00:00,61.74,62.67,60.69,62.64,62.64,2735000.00
2019-07-03 00:00:00,62.55,64.52,62.55,64.28,64.28,1028900.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,63.87,63.89,62.71,63.38,63.38,1462600.00
2019-07-08 00:00:00,63.08,64.32,62.31,64.01,64.01,1624000.00
2019-07-09 00:00:00,64.32,67.12,63.99,66.86,66.86,3057100.00
2019-07-10 00:00:00,67.53,68.36,66.11,66.45,66.45,2326700.00
2019-07-11 00:00:00,66.46,66.95,64.34,64.99,64.99,1455600.00
2019-07-12 00:00:00,65.32,65.77,64.10,64.60,64.60,1401300.00
2019-07-15 00:00:00,65.13,65.69,64.47,65.55,65.55,1194300.00
2019-07-16 00:00:00,65.28,65.53,63.56,64.21,64.21,1422400.00
2019-07-17 00:00:00,64.36,64.70,63.34,63.42,63.42,1628900.00
2019-07-18 00:00:00,63.48,65.33,63.34,65.20,65.20,1981900.00
2019-07-19 00:00:00,65.50,66.22,65.30,65.85,65.85,1354100.00
2019-07-22 00:00:00,66.38,68.62,65.81,68.53,68.53,2109100.00
2019-07-23 00:00:00,68.97,69.16,67.10,67.82,67.82,2647600.00
2019-07-24 00:00:00,67.74,68.67,67.58,68.05,68.05,2303300.00
2019-07-25 00:00:00,68.95,69.95,67.71,68.73,68.73,2460700.00
2019-07-26 00:00:00,68.64,71.08,68.64,70.86,70.86,2370200.00
2019-07-29 00:00:00,70.55,70.60,68.11,69.12,69.12,1500500.00
2019-07-30 00:00:00,68.58,69.09,67.86,68.00,68.00,1285300.00
2019-07-31 00:00:00,68.04,68.59,66.00,67.02,67.02,1957100.00
2019-08-01 00:00:00,67.27,70.10,66.27,68.14,68.14,5424300.00
