Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,86.77,90.00,86.63,89.48,89.48,559400.00
2019-06-18 00:00:00,91.33,92.11,88.47,88.56,88.56,527800.00
2019-06-19 00:00:00,88.47,91.44,88.47,91.32,91.32,1262900.00
2019-06-20 00:00:00,94.01,97.15,92.90,97.02,97.02,1233800.00
2019-06-21 00:00:00,96.53,97.68,92.10,92.81,92.81,1061200.00
2019-06-24 00:00:00,93.10,94.29,89.16,89.69,89.69,3529200.00
2019-06-25 00:00:00,90.23,90.35,87.38,87.52,87.52,649000.00
2019-06-26 00:00:00,87.73,88.63,85.10,85.63,85.63,763900.00
2019-06-27 00:00:00,86.28,87.85,85.47,87.23,87.23,427300.00
2019-06-28 00:00:00,87.59,89.58,87.00,89.42,89.42,1033900.00
2019-07-01 00:00:00,91.32,91.57,87.63,90.09,90.09,362300.00
2019-07-02 00:00:00,90.32,91.04,89.38,90.97,90.97,241500.00
2019-07-03 00:00:00,91.39,93.40,91.05,93.39,93.39,276800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,92.81,93.84,91.35,93.76,93.76,555000.00
2019-07-08 00:00:00,93.27,94.67,92.10,94.24,94.24,347300.00
2019-07-09 00:00:00,93.51,96.64,93.51,96.01,96.01,337200.00
2019-07-10 00:00:00,96.74,99.25,96.05,97.32,97.32,412200.00
2019-07-11 00:00:00,97.88,99.35,96.86,98.36,98.36,273300.00
2019-07-12 00:00:00,98.80,99.49,97.43,99.22,99.22,202500.00
2019-07-15 00:00:00,99.60,99.67,97.41,98.76,98.76,215800.00
2019-07-16 00:00:00,99.07,99.07,95.30,96.17,96.17,264700.00
2019-07-17 00:00:00,96.57,98.23,96.40,98.00,98.00,284500.00
2019-07-18 00:00:00,98.01,98.52,96.81,97.97,97.97,457900.00
2019-07-19 00:00:00,98.40,100.09,97.49,98.09,98.09,298600.00
2019-07-22 00:00:00,98.34,100.52,98.15,99.25,99.25,288500.00
2019-07-23 00:00:00,100.07,100.07,95.87,97.11,97.11,243800.00
2019-07-24 00:00:00,96.80,99.73,96.29,99.55,99.55,283800.00
2019-07-25 00:00:00,99.47,99.64,97.61,98.92,98.92,314600.00
2019-07-26 00:00:00,99.39,103.37,99.39,102.51,102.51,474300.00
2019-07-29 00:00:00,102.61,103.39,98.15,101.52,101.52,530100.00
2019-07-30 00:00:00,100.65,103.58,100.65,103.23,103.23,336800.00
2019-07-31 00:00:00,103.58,103.83,100.75,102.30,102.30,486200.00
2019-08-01 00:00:00,102.53,104.22,100.13,100.37,100.37,381200.00
