Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,60.91,61.00,60.07,60.26,55.33,1607400.00
2019-06-18 00:00:00,60.98,61.24,60.01,60.37,55.43,1212500.00
2019-06-19 00:00:00,60.12,61.02,60.12,60.90,55.92,1309400.00
2019-06-20 00:00:00,60.93,61.45,60.52,61.31,56.29,1245300.00
2019-06-21 00:00:00,61.31,61.49,60.75,61.24,56.23,3288100.00
2019-06-24 00:00:00,61.36,61.52,61.00,61.18,56.17,1075700.00
2019-06-25 00:00:00,61.30,61.54,61.11,61.34,56.32,1420000.00
2019-06-26 00:00:00,61.09,61.30,59.62,59.65,54.77,1606400.00
2019-06-27 00:00:00,59.94,60.39,59.85,60.07,55.16,908400.00
2019-06-28 00:00:00,59.96,60.65,59.88,60.15,55.23,2765200.00
2019-07-01 00:00:00,60.12,60.74,59.54,60.16,55.24,2049200.00
2019-07-02 00:00:00,60.54,60.99,60.17,60.65,55.69,1091300.00
2019-07-03 00:00:00,60.76,61.88,60.65,61.36,56.34,1227800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,60.99,61.57,60.55,61.53,56.50,1051400.00
2019-07-08 00:00:00,61.67,61.87,61.10,61.29,56.28,1029600.00
2019-07-09 00:00:00,61.31,61.50,61.00,61.45,56.42,1220300.00
2019-07-10 00:00:00,61.59,62.12,61.48,61.69,56.64,846000.00
2019-07-11 00:00:00,61.56,62.05,61.14,61.55,56.51,1470600.00
2019-07-12 00:00:00,61.77,61.95,60.94,61.14,56.14,1877300.00
2019-07-15 00:00:00,60.74,61.17,60.22,60.98,55.99,1492700.00
2019-07-16 00:00:00,60.78,61.48,60.68,61.06,56.06,1201800.00
2019-07-17 00:00:00,61.34,61.51,60.94,61.02,56.03,1035900.00
2019-07-18 00:00:00,60.95,61.55,60.75,61.51,56.48,1436500.00
2019-07-19 00:00:00,61.44,61.65,60.73,60.79,55.82,1989800.00
2019-07-22 00:00:00,60.84,61.04,60.29,60.58,55.62,1454700.00
2019-07-23 00:00:00,60.50,60.93,60.11,60.67,55.71,1250600.00
2019-07-24 00:00:00,60.76,61.00,60.15,60.73,55.76,1139600.00
2019-07-25 00:00:00,60.72,60.90,60.24,60.58,55.62,1289300.00
2019-07-26 00:00:00,60.60,60.79,60.19,60.72,55.75,843100.00
2019-07-29 00:00:00,60.96,61.24,60.59,61.20,56.19,1970200.00
2019-07-30 00:00:00,61.17,61.66,60.62,60.82,55.84,1261800.00
2019-07-31 00:00:00,60.89,61.09,60.05,60.49,55.54,1807400.00
2019-08-01 00:00:00,60.40,61.00,60.23,60.57,55.61,1986000.00
