Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,61.54,61.80,61.10,61.58,61.58,3212400.00
2019-06-18 00:00:00,61.89,63.49,61.78,63.10,63.10,3420000.00
2019-06-19 00:00:00,63.13,63.96,62.83,63.66,63.66,5916900.00
2019-06-20 00:00:00,64.17,64.96,63.40,64.29,64.29,7109700.00
2019-06-21 00:00:00,64.52,65.00,63.80,64.41,64.41,7141500.00
2019-06-24 00:00:00,64.49,64.50,63.71,63.92,63.92,4497300.00
2019-06-25 00:00:00,63.87,64.58,63.83,63.99,63.99,5898300.00
2019-06-26 00:00:00,63.82,63.95,62.14,62.35,62.35,3286500.00
2019-06-27 00:00:00,62.81,62.81,61.54,61.81,61.81,4941000.00
2019-06-28 00:00:00,61.89,62.06,61.35,61.58,61.58,12762300.00
2019-07-01 00:00:00,62.22,62.42,61.30,61.76,61.76,5523300.00
2019-07-02 00:00:00,61.65,62.18,61.00,61.55,61.55,4950900.00
2019-07-03 00:00:00,61.72,62.52,61.62,62.47,62.47,2281800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,62.06,62.91,61.94,62.77,62.77,2854800.00
2019-07-08 00:00:00,62.51,62.65,62.16,62.25,62.25,2775900.00
2019-07-09 00:00:00,62.08,63.53,62.07,63.33,63.33,4002300.00
2019-07-10 00:00:00,63.01,64.33,63.01,63.73,63.73,3510000.00
2019-07-11 00:00:00,64.23,65.02,63.78,65.01,65.01,2598300.00
2019-07-12 00:00:00,64.92,64.92,63.09,63.82,63.82,3078300.00
2019-07-15 00:00:00,63.90,63.95,63.51,63.63,63.63,2994600.00
2019-07-16 00:00:00,63.79,63.79,62.47,62.51,62.51,2461800.00
2019-07-17 00:00:00,62.67,63.40,62.39,63.25,63.25,2771700.00
2019-07-18 00:00:00,63.39,64.74,63.26,64.36,64.36,4345500.00
2019-07-19 00:00:00,64.57,65.08,64.38,64.78,64.78,3974400.00
2019-07-22 00:00:00,65.07,65.58,64.57,64.67,64.67,4221900.00
2019-07-23 00:00:00,64.72,65.39,64.37,65.15,65.15,3602700.00
2019-07-24 00:00:00,72.72,73.24,70.24,71.63,71.63,10900500.00
2019-07-25 00:00:00,70.85,71.38,69.90,70.82,70.82,4079100.00
2019-07-26 00:00:00,70.64,71.64,70.35,70.95,70.95,4142100.00
2019-07-29 00:00:00,70.93,72.19,70.33,72.09,72.09,3401400.00
2019-07-30 00:00:00,71.87,72.59,71.55,72.29,72.29,2965800.00
2019-07-31 00:00:00,72.10,72.48,70.25,70.95,70.95,2286000.00
2019-08-01 00:00:00,71.10,72.66,71.10,71.69,71.69,3764400.00
