Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,87.49,88.68,87.25,88.08,87.20,347500.00
2019-06-18 00:00:00,88.82,90.05,88.52,88.54,87.65,261300.00
2019-06-19 00:00:00,88.49,88.51,86.51,87.75,86.87,341200.00
2019-06-20 00:00:00,88.86,89.38,88.06,88.39,87.60,375900.00
2019-06-21 00:00:00,87.91,89.07,87.91,88.72,87.93,789000.00
2019-06-24 00:00:00,88.96,88.96,86.99,87.08,86.31,404500.00
2019-06-25 00:00:00,87.07,87.91,86.72,87.03,86.26,379700.00
2019-06-26 00:00:00,87.10,89.06,86.82,88.72,87.93,440000.00
2019-06-27 00:00:00,88.90,89.65,87.98,88.94,88.15,1216700.00
2019-06-28 00:00:00,89.19,93.07,88.81,92.70,91.88,823000.00
2019-07-01 00:00:00,91.07,92.51,88.05,88.09,87.31,663100.00
2019-07-02 00:00:00,88.10,88.12,86.66,88.11,87.33,469200.00
2019-07-03 00:00:00,88.35,89.71,88.00,89.41,88.62,282200.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,88.87,89.92,88.78,89.39,88.60,269800.00
2019-07-08 00:00:00,88.89,88.89,87.14,87.54,86.76,306500.00
2019-07-09 00:00:00,87.40,87.90,86.80,86.93,86.16,318100.00
2019-07-10 00:00:00,87.25,87.64,84.85,84.98,84.22,586700.00
2019-07-11 00:00:00,83.81,84.49,82.93,83.99,83.24,730400.00
2019-07-12 00:00:00,83.84,85.62,83.63,85.36,84.60,901100.00
2019-07-15 00:00:00,85.95,86.94,84.51,86.50,85.73,458400.00
2019-07-16 00:00:00,86.86,88.06,86.64,86.68,85.91,562400.00
2019-07-17 00:00:00,86.63,87.13,84.76,86.42,85.65,366200.00
2019-07-18 00:00:00,85.08,85.96,83.37,85.52,84.76,619700.00
2019-07-19 00:00:00,85.65,87.64,85.59,86.01,85.25,383800.00
2019-07-22 00:00:00,86.33,87.30,85.21,85.23,84.47,494800.00
2019-07-23 00:00:00,85.42,87.65,85.42,87.63,86.85,481500.00
2019-07-24 00:00:00,87.30,90.41,87.30,90.21,89.41,562400.00
2019-07-25 00:00:00,90.38,91.30,88.39,88.51,87.72,385700.00
2019-07-26 00:00:00,88.74,89.97,88.38,89.21,88.42,306300.00
2019-07-29 00:00:00,88.45,88.63,86.32,87.50,86.72,383600.00
2019-07-30 00:00:00,87.32,90.56,86.84,90.27,89.47,570200.00
2019-07-31 00:00:00,83.38,86.99,82.54,82.78,82.04,1764300.00
2019-08-01 00:00:00,82.11,83.41,80.11,81.30,80.58,801900.00
